year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,9.828000000000001,1.657,,,,,,
1755,10.453000000000001,1.149,,,,,,
1756,10.933,1.922,10.234,1.437,,,,
1757,10.604000000000001,2.036,10.317,1.522,,,,
1758,9.353000000000002,1.986,10.191,1.529,10.306000000000001,1.307,,
1759,10.243,5.041,10.23,1.516,10.290000000000001,1.33,,
1760,9.822000000000001,3.558,10.239,1.373,10.375,1.308,,
1761,11.13,2.166,10.301,1.249,10.311,1.313,,
1762,10.645000000000001,1.42,10.361,1.143,10.282,1.232,,
1763,9.664000000000001,2.769,10.49,1.127,10.245000000000001,1.162,10.286000000000001,1.335
1764,10.546000000000001,2.814,10.296000000000001,1.229,10.222000000000001,1.319,10.291,1.3050000000000002
1765,10.463000000000001,1.914,10.158000000000001,1.302,10.206000000000001,1.2189999999999999,10.319,1.2850000000000001
1766,10.163,2.835,10.120000000000001,1.944,10.227,1.26,10.33,1.2530000000000001
1767,9.952,2.018,10.07,2.002,10.121,1.189,10.313,1.213
1768,9.478000000000002,1.792,9.896,1.856,10.266,1.903,10.312000000000001,1.1360000000000001
1769,10.295,4.445,9.904,1.715,10.291,1.742,10.352,1.089
1770,9.592,1.673,10.117,1.693,10.263,1.752,10.408000000000001,1.057
1771,10.201,1.666,10.381,1.377,10.350000000000001,1.0190000000000001,10.424000000000001,1.056
1772,11.020000000000001,2.077,10.598,1.3439999999999999,10.344000000000001,1.05,10.424000000000001,1.0310000000000001
1773,10.798,1.613,10.716000000000001,1.4609999999999999,10.378,1.046,10.423,1.124
1774,11.378,1.985,10.784,1.121,10.481,0.9139999999999999,10.434000000000001,1.072
1775,10.182,2.544,10.546000000000001,1.053,10.610000000000001,1.036,10.394,0.988
1776,10.541,1.35,10.563,0.993,10.622,1.1139999999999999,10.374,0.958
1777,9.831000000000001,1.691,10.456000000000001,1.1680000000000001,10.728000000000002,0.9570000000000001,10.356,0.887
1778,10.885000000000002,2.0700000000000003,10.636000000000001,0.954,10.579,0.9430000000000001,10.396,0.725
1779,10.839,1.925,10.641,0.993,10.578000000000001,0.858,10.428,0.687
