year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1856,8.537,1.048,,,,,,
1857,8.648,1.093,8.868,0.875,,,,
1858,8.775,1.234,8.809,0.859,8.832,0.8089999999999999,,
1859,9.074,1.114,8.839,0.8440000000000001,8.795,0.8380000000000001,,
1860,9.011,0.9850000000000001,8.89,0.8939999999999999,8.765,0.8340000000000001,,
1861,8.685,0.966,8.789,0.9610000000000001,8.805,0.8280000000000001,8.866,0.728
1862,8.907,1.252,8.728,0.921,8.842,0.837,8.849,0.7290000000000001
1863,8.268,1.314,8.698,0.935,8.871,0.8320000000000001,8.84,0.714
1864,8.77,0.905,8.801,0.9099999999999999,8.905,0.8109999999999999,8.861,0.718
1865,8.861,0.9770000000000001,8.807,0.845,8.854,0.823,8.843,0.7230000000000001
1866,9.199,0.8600000000000001,8.962,0.8029999999999999,8.854,0.8580000000000001,8.833,0.722
1867,8.938,0.972,8.995000000000001,0.8280000000000001,8.839,0.8300000000000001,8.865,0.7
1868,9.039,1.022,9.005,0.837,8.848,0.78,8.906,0.672
1869,8.939,0.98,8.894,0.881,8.926,0.759,8.93,0.646
1870,8.909,0.9890000000000001,8.82,0.8400000000000001,8.92,0.757,8.925,0.616
1871,8.644,0.9830000000000001,8.814,0.786,8.862,0.753,8.944,0.6080000000000001
1872,8.57,0.8580000000000001,8.817,0.753,8.889,0.6990000000000001,8.953,0.5780000000000001
1873,9.01,0.855,8.803,0.732,8.942,0.648,8.976,0.56
1874,8.95,0.9870000000000001,8.868,0.671,8.956,0.628,9.002,0.537
1875,8.842,0.885,9.039,0.696,8.996,0.62,8.984,0.537
1876,8.968,0.8,9.111,0.74,9.034,0.633,8.951,0.531
1877,9.426,1.347,9.155,0.81,9.066,0.662,8.936,0.532
1878,9.372,1.04,9.237,0.891,9.104,0.6739999999999999,8.934,0.529
1879,9.166,1.022,9.239,0.935,9.077,0.66,8.926,0.529
1880,9.252,0.8820000000000001,9.137,0.8109999999999999,9.048,0.666,8.912,0.53
1881,8.981,0.8999999999999999,9.05,0.696,9.04,0.6839999999999999,8.914,0.535
1882,8.916,0.751,8.96,0.6000000000000001,8.983,0.643,8.935,0.556
1883,8.936,0.841,8.797,0.5800000000000001,8.927,0.5960000000000001,8.938,0.5680000000000001
1884,8.714,0.8500000000000001,8.767,0.595,8.897,0.583,8.922,0.5800000000000001
1885,8.438,0.747,8.77,0.622,8.827,0.562,8.934,0.5940000000000001
1886,8.831,0.742,8.765,0.618,8.795,0.571,8.966,0.5920000000000001
1887,8.931000000000001,0.8340000000000001,8.78,0.637,8.804,0.5760000000000001,8.987,0.5700000000000001
1888,8.911,0.819,8.799,0.649,8.772,0.585,8.967,0.546
