year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,7.419999999999999,1.2530000000000001,,,,,,
1755,7.823999999999999,0.715,,,,,,
1756,8.567,1.7810000000000001,7.869,1.326,,,,
1757,8.226999999999999,2.039,8.093,1.468,,,,
1758,7.308999999999999,2.2039999999999997,8.053999999999998,1.5059999999999998,8.029,1.158,,
1759,8.536999999999999,6.178,8.165999999999999,1.455,8.046,1.1789999999999998,,
1760,7.627999999999999,4.387,8.181,1.2650000000000001,8.117999999999999,1.169,,
1761,9.128,2.067,8.133999999999999,1.0510000000000002,8.052,1.197,,
1762,8.299999999999999,1.0550000000000002,8.157,0.903,8.008999999999999,1.081,,
1763,7.076,3.053,8.136999999999999,0.893,7.976999999999999,0.982,7.935,1.2559999999999998
1764,8.652999999999999,2.9659999999999997,7.8919999999999995,1.021,7.9639999999999995,1.1629999999999998,7.944999999999999,1.2149999999999999
1765,7.526,1.8399999999999999,7.6819999999999995,1.081,7.919999999999999,1.0230000000000001,7.970999999999999,1.201
1766,7.904999999999999,3.1149999999999998,7.787999999999999,2.119,7.845999999999999,1.108,7.983999999999999,1.162
1767,7.247999999999999,1.8719999999999999,7.654999999999999,2.231,7.686999999999999,1.054,7.988999999999999,1.109
1768,7.609999999999999,1.9489999999999998,7.587999999999999,1.8679999999999999,7.840999999999999,1.936,7.9799999999999995,0.992
1769,7.986999999999999,4.937,7.523,1.6869999999999998,7.845,1.742,8.006,0.92
1770,7.193,1.467,7.6499999999999995,1.556,7.823999999999999,1.751,8.075,0.858
1771,7.576999999999999,1.3079999999999998,7.866,1.1829999999999998,7.9159999999999995,0.86,8.065,0.837
1772,7.882999999999999,1.8599999999999999,8.052999999999999,1.042,7.967999999999999,0.929,8.096,0.781
1773,8.690999999999999,1.3050000000000002,8.222999999999999,1.1280000000000001,7.981999999999999,0.897,8.113,0.854
1774,8.918999999999999,1.6059999999999999,8.335999999999999,0.694,8.049,0.627,8.107,0.786
1775,8.046,2.633,8.251999999999999,0.661,8.229999999999999,0.693,8.065999999999999,0.6880000000000001
1776,8.138,1.0,8.231,0.618,8.283999999999999,0.751,8.033,0.5860000000000001
