year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1867,,,,,,,,
1868,,,,,,,,
1869,24.262999999999998,0.5900000000000001,,,,,,
1870,,,24.613,0.431,,,,
1871,24.742,0.77,24.622,0.432,,,,
1872,24.936,0.722,,,,,,
1873,24.567999999999998,0.5469999999999999,24.694,0.444,,,,
1874,,,24.678,0.428,,,,
1875,,,,,,,,
1876,24.663999999999998,0.666,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,24.147,0.484,,,,,,
1885,24.175,0.423,24.221,0.365,,,,
1886,24.005,0.896,24.214,0.368,,,,
1887,24.378,0.521,,,,,,
1888,,,,,24.354,0.348,,
1889,,,,,24.389,0.33899999999999997,,
1890,,,,,24.455,0.357,24.505,0.28900000000000003
1891,24.372999999999998,0.5429999999999999,,,24.509999999999998,0.359,24.503,0.28200000000000003
1892,24.447,0.5529999999999999,24.506999999999998,0.395,24.541999999999998,0.364,24.489,0.277
1893,24.644,0.516,24.567,0.47200000000000003,24.576999999999998,0.363,24.476,0.274
1894,24.708,0.707,24.619,0.523,24.639,0.392,24.497999999999998,0.277
1895,24.665,0.92,24.676,0.492,24.619,0.351,24.514,0.28300000000000003
1896,24.633,0.581,24.727,0.492,24.622999999999998,0.323,24.54,0.277
1897,24.729,0.396,24.724999999999998,0.45,24.634999999999998,0.269,24.558,0.28
1898,24.902,0.389,24.674,0.29500000000000004,24.596999999999998,0.273,24.557,0.28200000000000003
1899,24.694,0.479,24.660999999999998,0.44,24.607,0.29300000000000004,24.561,0.278
1900,24.412,0.767,24.567999999999998,0.5880000000000001,24.573,0.364,24.56,0.268
1901,24.567,1.127,24.471999999999998,0.643,24.57,0.4,24.587,0.28300000000000003
1902,24.262,1.137,24.468999999999998,0.707,24.575,0.42,24.614,0.29600000000000004
1903,24.426,0.468,24.436,0.603,24.537,0.425,24.617,0.29000000000000004
1904,24.678,0.722,24.451,0.46,24.483999999999998,0.485,24.61,0.28400000000000003
1905,24.246,0.516,24.509,0.386,24.500999999999998,0.448,24.602,0.29600000000000004
1906,24.642,0.511,24.54,0.40800000000000003,24.551,0.447,24.622,0.307
1907,24.553,0.524,24.502,0.381,24.593,0.389,24.637,0.32
1908,24.582,0.5820000000000001,24.636,0.391,24.637,0.388,24.633,0.326
1909,24.485,0.503,24.674,0.44,24.613,0.329,24.619,0.346
1910,24.916999999999998,0.677,24.735,0.46,24.631,0.29000000000000004,24.625999999999998,0.316
1911,24.833,0.819,24.698999999999998,0.405,24.673,0.28800000000000003,24.627,0.28500000000000003
1912,24.858999999999998,0.47300000000000003,24.747999999999998,0.325,24.698,0.28400000000000003,24.648,0.245
1913,24.404,0.47100000000000003,24.682,0.324,24.73,0.28600000000000003,24.674,0.239
1914,24.727999999999998,0.7,24.703,0.427,24.753999999999998,0.29200000000000004,24.649,0.23299999999999998
1915,24.589,0.902,24.708,0.318,24.750999999999998,0.271,24.676,0.23299999999999998
1916,24.936999999999998,0.33799999999999997,24.778,0.278,24.703,0.28400000000000003,24.681,0.231
1917,24.881999999999998,1.0859999999999999,24.766,0.28900000000000003,24.703,0.309,24.676,0.227
1918,24.752,0.424,24.75,0.277,24.712,0.311,24.730999999999998,0.229
1919,24.671,0.345,24.739,0.26,24.686,0.28700000000000003,24.759,0.226
1920,24.506999999999998,0.985,24.692,0.361,24.72,0.245,24.784,0.225
1921,24.886,0.489,24.66,0.425,24.688,0.231,24.759999999999998,0.244
1922,24.644,0.362,24.624,0.441,24.654,0.255,24.764,0.253
1923,24.593999999999998,0.376,24.662,0.29800000000000004,24.732,0.308,24.802,0.253
1924,24.491,0.321,24.558,0.27,24.765,0.323,24.831,0.243
1925,24.694,0.355,24.692999999999998,0.275,24.817,0.28900000000000003,24.852,0.235
1926,24.366,0.307,24.825,0.29100000000000004,24.816,0.252,24.869,0.243
1927,25.320999999999998,0.461,24.956,0.31,24.823999999999998,0.258,24.887999999999998,0.251
1928,25.250999999999998,0.4,24.999,0.315,24.891,0.271,24.913,0.274
1929,25.148,0.448,25.048,0.315,24.977,0.29100000000000004,24.944,0.29200000000000004
