year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,12.273,1.265,,,,,,
1755,12.854000000000001,0.9199999999999999,,,,,,
1756,12.93,1.526,12.468,0.9890000000000001,,,,
1757,12.497,1.291,12.533000000000001,1.1239999999999999,,,,
1758,11.788,2.032,12.42,1.126,12.566,0.946,,
1759,12.594000000000001,5.072,12.487,1.214,12.537,0.933,,
1760,12.293000000000001,3.613,12.568,1.179,12.578000000000001,0.9450000000000001,,
1761,13.266,1.974,12.57,0.9870000000000001,12.512,0.9630000000000001,,
1762,12.897,1.072,12.614,0.855,12.535,0.9159999999999999,,
1763,11.799,2.6790000000000003,12.688,0.8620000000000001,12.554,0.8300000000000001,12.596,0.869
1764,12.815,2.6430000000000002,12.469000000000001,0.831,12.585,0.9039999999999999,12.58,0.8460000000000001
1765,12.665000000000001,1.666,12.42,0.8360000000000001,12.569,0.762,12.611,0.817
1766,12.171000000000001,2.5660000000000003,12.532,1.677,12.564,0.798,12.616,0.7989999999999999
1767,12.649000000000001,1.647,12.516,1.8099999999999998,12.49,0.8049999999999999,12.645,0.798
1768,12.36,1.626,12.378,1.587,12.627,1.67,12.649000000000001,0.7130000000000001
1769,12.733,4.340999999999999,12.47,1.531,12.623000000000001,1.532,12.683,0.671
1770,11.976,1.4689999999999999,12.55,1.49,12.643,1.552,12.728,0.626
1771,12.632,1.349,12.686,1.1929999999999998,12.721,0.798,12.769,0.616
1772,13.052,1.67,12.822000000000001,1.006,12.755,0.8240000000000001,12.784,0.577
1773,13.040000000000001,1.285,13.013,1.017,12.744,0.7989999999999999,12.775,0.653
1774,13.414,1.51,13.023,0.5269999999999999,12.782,0.565,12.790000000000001,0.617
1775,12.928,2.141,12.908,0.605,12.887,0.538,12.762,0.534
1776,12.681000000000001,0.935,12.915000000000001,0.5549999999999999,12.974,0.59,12.757,0.46299999999999997
1777,12.479000000000001,1.409,12.835,0.9059999999999999,13.078000000000001,0.513,12.743,0.38
1778,13.074,1.637,12.984,0.702,12.924,0.487,12.76,0.349
1779,13.012,1.869,13.093,0.718,12.957,0.406,12.781,0.406
