year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1891,,,,,,,,
1892,26.403,0.825,,,,,,
1893,26.174,0.9139999999999999,26.317,0.704,,,,
1894,26.278,0.946,26.340999999999998,0.7050000000000001,26.426,0.664,,
1895,26.368,0.7969999999999999,26.397,0.702,26.419999999999998,0.663,,
1896,26.483999999999998,0.829,26.483,0.7050000000000001,26.48,0.662,,
1897,26.680999999999997,0.829,26.511,0.722,26.508,0.665,,
1898,26.607,0.874,26.589,0.728,26.529999999999998,0.669,26.464,0.597
1899,26.413999999999998,0.857,,,26.544999999999998,0.6719999999999999,26.465,0.596
1900,,,,,26.544,0.6719999999999999,26.463,0.593
1901,26.842,0.871,,,26.553,0.664,26.471999999999998,0.588
1902,26.581,0.849,26.573,0.715,26.558999999999997,0.659,26.477999999999998,0.584
1903,26.426,0.8109999999999999,26.499,0.696,26.511,0.653,26.494999999999997,0.584
1904,26.259999999999998,0.769,26.471999999999998,0.677,26.503999999999998,0.651,26.517,0.585
1905,26.387999999999998,0.755,26.428,0.6659999999999999,26.506999999999998,0.645,26.538999999999998,0.589
1906,26.706,0.756,26.416,0.665,26.464,0.636,26.561,0.586
1907,26.362,0.746,26.447,0.675,26.447,0.625,26.558999999999997,0.58
1908,26.362,0.774,26.467,0.662,26.46,0.615,26.535,0.576
1909,26.416,0.808,26.416999999999998,0.659,26.489,0.608,26.532999999999998,0.573
1910,26.489,0.7030000000000001,26.471999999999998,0.635,26.534,0.609,26.544,0.569
1911,26.458,0.6890000000000001,26.509999999999998,0.625,26.567999999999998,0.61,26.529999999999998,0.5680000000000001
1912,26.637,0.786,26.584,0.626,26.558999999999997,0.606,26.524,0.563
1913,26.55,0.692,26.654999999999998,0.634,26.558999999999997,0.606,26.529999999999998,0.56
1914,26.785,0.734,26.718,0.652,26.561999999999998,0.608,26.541999999999998,0.556
1915,26.845,0.763,26.646,0.651,26.582,0.613,26.56,0.5549999999999999
1916,26.774,0.748,26.593,0.665,26.596,0.627,26.567999999999998,0.556
