year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,8.053,1.137,,,,,,
1755,8.386000000000001,1.004,,,,,,
1756,8.75,1.392,8.27,0.932,,,,
1757,8.289,1.218,8.384,1.062,,,,
1758,7.871,2.177,8.251000000000001,1.059,8.304,0.893,,
1759,8.624,5.238,8.315,1.137,8.259,0.887,,
1760,7.722,3.8649999999999998,8.343,1.134,8.264000000000001,0.905,,
1761,9.068,1.9309999999999998,8.227,0.998,8.181000000000001,0.9560000000000001,,
1762,8.43,1.1629999999999998,8.177,0.984,8.172,0.97,,
1763,7.2940000000000005,2.924,8.215,0.998,8.143,0.926,8.179,0.9410000000000001
1764,8.370000000000001,2.917,7.939,1.047,8.149000000000001,1.062,8.15,0.911
1765,7.914000000000001,1.908,7.86,1.006,8.146,0.912,8.162,0.88
1766,7.689,3.011,8.064,1.97,8.1,0.852,8.165000000000001,0.87
1767,8.033000000000001,1.6969999999999998,8.037,2.123,7.9830000000000005,0.799,8.184000000000001,0.897
1768,8.316,2.0060000000000002,8.014000000000001,1.722,8.055,1.8339999999999999,8.173,0.8260000000000001
1769,8.232000000000001,4.587000000000001,8.035,1.615,8.041,1.6589999999999998,8.202,0.794
1770,7.801,1.484,8.014000000000001,1.517,8.061,1.68,8.261000000000001,0.761
1771,7.793,1.2389999999999999,8.066,1.1809999999999998,8.148,0.748,8.3,0.74
1772,7.928000000000001,1.8279999999999998,8.079,1.158,8.196,0.8340000000000001,8.322000000000001,0.6890000000000001
1773,8.577,1.577,8.272,1.109,8.204,0.8190000000000001,8.303,0.726
1774,8.298,2.274,8.337,1.002,8.255,0.849,8.318,0.676
1775,8.763,2.3529999999999998,8.374,1.137,8.377,0.681,8.289,0.624
1776,8.122,1.2269999999999999,8.441,0.84,8.5,0.5599999999999999,8.296000000000001,0.548
1777,8.109,1.698,8.643,1.022,8.662,0.63,8.278,0.523
1778,8.911,1.615,8.687000000000001,0.8130000000000001,8.551,0.77,8.299,0.571
1779,9.308,2.066,8.898,0.757,8.595,0.598,8.308,0.643
1780,8.985000000000001,1.19,8.909,0.53,8.518,0.63,8.331,0.593
