year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1825,,,,,,,,
1826,24.573999999999998,1.002,,,,,,
1827,25.233,1.258,24.733999999999998,0.9420000000000001,,,,
1828,24.686,1.241,24.657,0.91,24.483999999999998,0.815,,
1829,24.342,1.117,24.621,0.9,24.509,0.857,,
1830,24.451999999999998,1.254,24.384999999999998,0.898,24.509,0.875,,
1831,24.394,1.3900000000000001,24.246,1.001,24.393,0.86,,
1832,24.05,1.064,,,,,,
1833,,,,,,,,
1834,,,,,,,24.279999999999998,0.77
1835,,,,,,,24.223,0.769
1836,,,,,,,24.183999999999997,0.769
1837,,,,,,,24.172,0.784
1838,23.582,1.006,,,,,24.121,0.796
1839,24.121,1.4420000000000002,23.904,0.904,24.05,0.911,24.116,0.788
1840,24.218999999999998,1.0550000000000002,23.974,0.86,23.936999999999998,0.886,24.144,0.777
1841,23.767,1.123,24.116,0.895,23.974999999999998,0.869,24.137,0.787
1842,24.179,0.987,24.101,0.899,24.035999999999998,0.863,24.144,0.8140000000000001
1843,24.294,1.1360000000000001,24.008,0.934,24.067999999999998,0.872,24.159,0.819
1844,24.047,1.291,24.093,0.956,24.137999999999998,0.849,24.149,0.823
1845,23.753999999999998,1.093,24.139,0.986,24.208,0.8240000000000001,24.105999999999998,0.791
1846,24.189,1.029,24.115,0.937,24.262,0.829,24.14,0.788
1847,24.412,1.209,24.218999999999998,0.855,24.277,0.8520000000000001,24.153,0.776
1848,24.175,0.977,24.447,0.902,24.275,0.841,24.175,0.785
1849,24.564,1.151,24.466,0.923,24.247999999999998,0.8180000000000001,24.192999999999998,0.777
1850,24.896,1.4100000000000001,24.421,0.9460000000000001,24.275,0.794,24.195999999999998,0.744
1851,24.285999999999998,1.004,24.407999999999998,0.989,24.304,0.8089999999999999,24.197,0.72
1852,24.186999999999998,1.249,24.306,0.926,24.27,0.793,24.217,0.7150000000000001
1853,24.108999999999998,1.005,24.122999999999998,0.8029999999999999,24.281,0.8009999999999999,24.209,0.7
1854,24.051,0.882,24.108999999999998,0.833,24.247999999999998,0.8029999999999999,24.211,0.6950000000000001
1855,23.982,1.244,24.083,0.8240000000000001,24.185,0.754,24.23,0.6910000000000001
1856,24.216,1.076,24.117,0.866,24.131999999999998,0.6990000000000001,24.261,0.694
1857,24.058999999999997,0.9380000000000001,24.173,0.8280000000000001,24.156,0.667,24.233999999999998,0.6910000000000001
1858,24.276,0.91,24.153,0.687,24.142,0.654,24.256999999999998,0.6890000000000001
1859,24.333,0.872,24.154999999999998,0.66,24.175,0.683,24.246,0.6739999999999999
1860,23.878,0.976,24.237,0.776,24.185,0.6970000000000001,24.262999999999998,0.648
1861,24.226,0.8480000000000001,24.233,0.9390000000000001,24.217,0.7030000000000001,24.256999999999998,0.641
1862,24.471,1.2229999999999999,24.154999999999998,0.874,24.198,0.752,24.262,0.63
1863,24.255,1.4609999999999999,24.241,0.913,24.233,0.793,24.271,0.632
1864,23.942999999999998,0.882,24.238,0.869,24.244,0.793,24.281,0.624
1865,24.311,1.012,24.250999999999998,0.815,24.341,0.787,24.303,0.648
1866,24.208,0.849,24.239,0.759,24.381999999999998,0.8109999999999999,24.320999999999998,0.662
1867,24.537,0.888,24.461,0.775,24.368,0.763,24.317999999999998,0.675
1868,24.192999999999998,0.984,24.522,0.744,24.4,0.754,24.346999999999998,0.6819999999999999
1869,25.054,0.927,24.522,0.81,24.387,0.688,24.402,0.675
1870,24.617,0.884,24.512,0.786,24.422,0.704,24.410999999999998,0.667
1871,24.209,1.1019999999999999,24.538999999999998,0.739,24.425,0.7050000000000001,24.439,0.661
1872,24.489,1.244,24.375,0.724,24.439,0.675,24.451999999999998,0.641
1873,24.328,0.837,24.317,0.7290000000000001,24.46,0.65,24.465,0.62
1874,24.232,0.903,24.381999999999998,0.736,24.56,0.643,24.46,0.591
1875,24.323999999999998,0.887,24.322,0.6930000000000001,24.482,0.66,24.464,0.594
1876,24.537,0.804,24.543,0.712,24.496,0.646,24.441,0.583
1877,24.189,0.91,24.604,0.7050000000000001,24.535,0.656,24.448,0.558
1878,25.433,0.969,24.63,0.6930000000000001,24.529,0.633,24.419999999999998,0.537
1879,24.538999999999998,0.8069999999999999,24.628,0.706,24.534,0.628,24.409,0.536
1880,24.453,0.7330000000000001,24.723,0.658,24.506,0.607,24.372,0.529
1881,24.529,0.8280000000000001,24.505,0.612,24.457,0.604,24.349,0.514
1882,24.662,0.738,24.416,0.611,24.457,0.565,24.369,0.521
1883,24.343999999999998,0.76,24.349,0.635,24.381,0.555,24.345,0.534
1884,24.093,0.864,24.265,0.626,24.259,0.5800000000000001,24.349999999999998,0.533
1885,24.115,0.813,24.145,0.6739999999999999,24.262,0.631,24.343999999999998,0.531
1886,24.111,0.774,24.057,0.722,24.203,0.659,24.352,0.539
1887,24.063,1.013,24.137,0.775,24.203,0.7330000000000001,24.38,0.555
1888,23.902,1.05,24.136,0.8380000000000001,24.160999999999998,0.742,24.402,0.597
1889,24.493,0.917,24.144,0.882,24.166,0.7290000000000001,24.37,0.622
1890,24.111,0.9400000000000001,24.224,0.891,24.182,0.73,24.362,0.624
1891,24.154,1.134,24.287,0.802,24.247,0.752,24.352999999999998,0.599
1892,24.462,1.15,24.243,0.73,24.303,0.748,24.311999999999998,0.5800000000000001
1893,24.218999999999998,0.644,24.305,0.7270000000000001,24.422,0.764,24.317999999999998,0.589
1894,24.269,0.67,24.371,0.67,24.480999999999998,0.798,24.319,0.593
1895,24.419999999999998,0.778,24.522,0.6719999999999999,24.461,0.741,24.31,0.594
1896,24.486,0.868,24.634,0.8320000000000001,24.503,0.63,24.325,0.593
1897,25.215,1.076,24.678,0.892,24.419999999999998,0.536,24.332,0.589
1898,24.781,1.182,24.673,0.6839999999999999,24.474999999999998,0.531,24.352,0.565
1899,24.489,0.747,24.569,0.5900000000000001,24.471999999999998,0.554,24.364,0.559
1900,24.396,1.242,24.341,0.772,24.436999999999998,0.565,24.37,0.539
1901,23.963,1.69,24.346,0.853,24.404,0.611,24.367,0.52
1902,24.076999999999998,1.061,24.208,0.957,24.361,0.657,24.374,0.528
1903,24.805,0.8420000000000001,24.137,0.905,24.281,0.708,24.412,0.514
1904,23.798,0.926,24.226,0.7110000000000001,24.247,0.767,24.406,0.522
1905,24.041,0.985,24.281,0.668,24.279,0.724,24.426,0.523
1906,24.406,0.708,24.21,0.706,24.232,0.646,24.445999999999998,0.528
1907,24.355,0.749,24.358,0.646,24.328,0.5840000000000001,24.419999999999998,0.551
1908,24.447,0.7270000000000001,24.334,0.5780000000000001,24.349,0.575,24.362,0.581
1909,24.541,0.5920000000000001,24.31,0.5780000000000001,24.341,0.583,24.357,0.61
1910,23.919999999999998,0.793,24.428,0.5700000000000001,24.415,0.573,24.394,0.5900000000000001
1911,24.288,0.868,24.432,0.593,24.488,0.547,24.407,0.559
1912,24.942999999999998,0.7090000000000001,24.375999999999998,0.611,24.477999999999998,0.547,24.457,0.531
1913,24.47,0.651,24.588,0.589,24.442,0.546,24.468999999999998,0.529
1914,24.261,0.698,24.654,0.5660000000000001,24.467,0.557,24.493,0.525
1915,24.976,0.671,24.512,0.548,24.509999999999998,0.556,24.537,0.518
1916,24.618,0.577,24.445,0.549,24.582,0.555,24.557,0.502
1917,24.233999999999998,0.618,24.567,0.548,24.585,0.537,24.582,0.497
1918,24.136,0.619,24.544999999999998,0.555,24.59,0.52,24.601,0.497
1919,24.869,0.659,24.538,0.561,24.645,0.516,24.624,0.502
1920,24.868,0.607,24.660999999999998,0.5700000000000001,24.657999999999998,0.523,24.631,0.503
1921,24.583,0.8520000000000001,24.785,0.5780000000000001,24.625999999999998,0.535,24.691,0.513
1922,24.846999999999998,0.708,24.779999999999998,0.5880000000000001,24.686,0.533,24.701999999999998,0.515
1923,24.759,0.604,24.724,0.606,24.759999999999998,0.538,24.707,0.51
1924,24.843,0.654,24.796,0.5740000000000001,24.781,0.567,24.743,0.507
1925,24.588,0.8180000000000001,24.778,0.545,24.752,0.5800000000000001,24.753,0.516
1926,24.945,0.716,24.779,0.561,24.8,0.575,24.744,0.512
1927,24.756999999999998,0.778,24.741,0.64,24.819,0.5660000000000001,24.77,0.505
1928,24.761,0.748,24.791999999999998,0.737,24.825,0.559,24.801,0.504
1929,24.657,0.914,24.801,0.728,24.842,0.542,24.797,0.512
1930,24.843,0.734,24.843,0.647,24.848,0.562,24.782,0.511
1931,24.989,0.696,24.901,0.567,24.862,0.551,24.788999999999998,0.501
1932,24.967,0.67,24.921,0.551,24.855,0.514,24.81,0.489
1933,25.049,0.714,24.947,0.5780000000000001,24.842,0.518,24.817999999999998,0.485
1934,24.756,0.753,24.881999999999998,0.5740000000000001,24.813,0.517,24.814,0.483
1935,24.973,0.561,24.867,0.5760000000000001,24.811,0.53,24.811,0.493
1936,24.666999999999998,0.681,24.750999999999998,0.575,24.779,0.539,24.817,0.496
1937,24.89,0.79,24.709,0.5820000000000001,24.802,0.554,24.843999999999998,0.486
1938,24.468999999999998,0.636,24.648,0.5700000000000001,24.81,0.56,24.872999999999998,0.487
1939,24.544,0.577,24.72,0.5720000000000001,24.785,0.553,24.892,0.487
1940,24.668,0.571,24.776,0.54,24.774,0.541,24.893,0.501
1941,25.027,0.6910000000000001,24.836,0.571,24.773,0.515,24.857,0.513
1942,25.173,0.613,24.878999999999998,0.565,24.832,0.513,24.858999999999998,0.513
1943,24.767,0.815,24.897,0.539,24.903,0.511,24.858999999999998,0.504
1944,24.762999999999998,0.585,24.893,0.532,24.971,0.515,24.88,0.506
1945,24.753999999999998,0.732,24.941,0.547,24.974999999999998,0.52,24.874,0.516
1946,25.006999999999998,0.6819999999999999,25.031,0.5700000000000001,24.935,0.53,24.872,0.522
1947,25.416,0.6990000000000001,25.087,0.579,24.916,0.542,24.862,0.524
1948,25.216,0.549,25.021,0.555,24.907,0.546,24.881999999999998,0.527
1949,25.04,0.595,24.927,0.551,24.974,0.558,24.931,0.53
1950,24.426,0.619,24.869,0.54,24.973,0.561,24.955,0.525
1951,24.538,0.6759999999999999,24.849999999999998,0.557,24.97,0.558,24.964,0.529
1952,25.125,0.756,24.849999999999998,0.585,24.892,0.554,24.948999999999998,0.532
1953,25.121,0.608,24.919999999999998,0.61,24.86,0.552,24.938,0.53
1954,25.038999999999998,0.766,24.934,0.5820000000000001,24.891,0.562,24.944,0.523
1955,24.779,0.651,24.893,0.61,24.936,0.544,24.953,0.509
1956,24.607,0.636,24.897,0.602,24.992,0.545,24.97,0.494
1957,24.922,0.635,24.958,0.577,24.983,0.535,24.936,0.485
1958,25.137,0.6859999999999999,24.993,0.567,24.968,0.537,24.907,0.47400000000000003
1959,25.346999999999998,0.53,25.067999999999998,0.538,24.913999999999998,0.512,24.881999999999998,0.47300000000000003
1960,24.953,0.552,25.044999999999998,0.501,24.933,0.482,24.906,0.466
1961,24.983,0.529,24.967,0.483,24.97,0.456,24.929,0.46
1962,24.806,0.552,24.901,0.441,24.980999999999998,0.443,24.916,0.454
1963,24.745,0.483,24.886,0.457,24.955,0.443,24.932,0.456
1964,25.017,0.551,24.899,0.465,24.872999999999998,0.442,24.919999999999998,0.441
1965,24.878999999999998,0.5680000000000001,24.858,0.47300000000000003,24.877,0.448,24.913,0.427
1966,25.046,0.523,24.835,0.499,24.866,0.462,24.916,0.41700000000000004
1967,24.601,0.53,24.869,0.481,24.849,0.465,24.922,0.41900000000000004
1968,24.633,0.519,24.87,0.48,24.897,0.468,24.93,0.427
1969,25.185,0.499,24.8,0.481,24.926,0.462,24.916,0.429
1970,24.884,0.579,24.881,0.476,24.894,0.461,24.921,0.433
1971,24.695999999999998,0.505,25.021,0.458,24.862,0.456,24.927,0.435
1972,25.008,0.51,24.939,0.458,24.863,0.449,24.931,0.431
1973,25.333,0.486,24.951999999999998,0.445,24.904999999999998,0.444,24.953,0.426
1974,24.771,0.46900000000000003,24.878999999999998,0.432,24.959,0.445,24.991,0.42500000000000004
1975,24.95,0.532,24.889,0.433,24.965,0.437,24.986,0.42000000000000004
1976,24.331,0.498,24.861,0.447,24.987,0.42100000000000004,24.982,0.42000000000000004
1977,25.058,0.522,24.963,0.456,25.012999999999998,0.41000000000000003,24.993,0.41500000000000004
1978,25.195999999999998,0.47200000000000003,25.029999999999998,0.456,25.009,0.41500000000000004,25.024,0.406
1979,25.279999999999998,0.53,25.136,0.442,25.056,0.433,25.055,0.404
1980,25.285,0.494,25.143,0.46,25.079,0.446,25.046,0.40700000000000003
1981,24.861,0.548,25.198999999999998,0.476,25.102,0.454,25.064999999999998,0.41400000000000003
1982,25.095,0.534,25.177,0.494,25.122999999999998,0.453,25.093,0.41600000000000004
1983,25.477,0.496,25.107,0.504,25.144,0.451,25.105999999999998,0.41500000000000004
1984,25.166,0.573,25.105999999999998,0.487,25.152,0.459,25.116,0.41900000000000004
1985,24.938,0.55,25.134,0.455,25.125999999999998,0.454,25.171,0.42000000000000004
1986,24.852999999999998,0.499,25.125999999999998,0.448,25.143,0.45,25.218,0.42000000000000004
1987,25.233,0.648,25.08,0.494,25.173,0.449,25.242,0.41700000000000004
1988,25.439999999999998,0.559,25.134999999999998,0.534,25.204,0.44,25.281,0.41600000000000004
1989,24.935,0.609,25.223,0.538,25.176,0.464,25.320999999999998,0.42500000000000004
1990,25.212,0.546,25.249,0.5,25.264,0.464,25.319,0.429
1991,25.297,0.496,25.236,0.5,25.335,0.46,25.323999999999998,0.429
1992,25.358999999999998,0.529,25.341,0.481,25.36,0.458,25.334,0.426
1993,25.377,0.498,25.483,0.46900000000000003,25.418,0.462,25.343999999999998,0.427
1994,25.461,0.526,25.486,0.484,25.491,0.47000000000000003,25.346,0.431
1995,25.923,0.642,25.523,0.464,25.512,0.459,25.375,0.436
1996,25.308999999999997,0.53,25.688,0.47200000000000003,25.503999999999998,0.456,25.407,0.437
1997,25.543,0.5660000000000001,25.704,0.467,25.494,0.445,25.441,0.436
1998,26.201999999999998,0.612,25.532999999999998,0.481,25.483999999999998,0.443,25.436999999999998,0.431
1999,25.544999999999998,0.515,25.505,0.47400000000000003,25.516,0.443,25.43,0.429
2000,25.064999999999998,0.479,25.448999999999998,0.453,25.486,0.437,25.457,0.427
2001,25.168,0.453,25.34,0.447,25.479,0.45,25.463,0.432
2002,25.266,0.533,25.294,0.456,25.523,0.45,25.47,0.438
2003,25.654,0.547,25.433999999999997,0.463,25.457,0.435,25.46,0.442
2004,25.316,0.47100000000000003,25.482,0.47000000000000003,25.369,0.438,,
2005,25.762999999999998,0.563,25.573999999999998,0.459,25.403,0.454,,
2006,25.412,0.488,25.471999999999998,0.456,25.421,0.47200000000000003,,
2007,25.724,0.493,25.424,0.466,25.445,0.485,,
2008,25.146,0.503,25.416,0.494,25.436,0.49,,
2009,25.076999999999998,0.555,25.393,0.513,,,,
2010,25.723,0.636,25.317999999999998,0.534,,,,
2011,25.296,0.5640000000000001,25.335,0.52,,,,
2012,25.351,0.618,,,,,,
2013,25.227999999999998,0.552,,,,,,
