year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1824,,,,,,,,
1825,26.71,0.831,,,,,,
1826,26.354,0.681,26.431,0.669,,,,
1827,26.714,1.253,26.526,0.632,,,,
1828,26.357,0.9259999999999999,26.481,0.635,,,,
1829,26.494,1.275,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,26.373,0.762,,,,,,
1847,26.176000000000002,1.1,26.123,0.6859999999999999,,,,
1848,26.074,0.715,26.168,0.717,26.138,0.6890000000000001,,
1849,26.13,0.8280000000000001,26.139,0.6859999999999999,26.145,0.6890000000000001,,
1850,26.086,0.861,26.137,0.6950000000000001,26.184,0.6479999999999999,,
1851,26.229,0.737,26.177,0.742,26.226,0.6419999999999999,26.128,0.583
1852,26.167,1.115,26.19,0.749,26.196,0.619,26.145,0.6
1853,26.271,0.8859999999999999,26.241,0.6419999999999999,26.182,0.612,26.134,0.602
1854,26.198,0.722,26.279,0.619,26.157,0.599,26.122,0.592
1855,26.34,0.73,26.249,0.5469999999999999,26.151,0.5529999999999999,26.143,0.587
1856,26.418,0.562,26.159,0.506,26.133,0.532,26.161,0.585
1857,26.018,0.76,26.106,0.511,26.136,0.523,26.147,0.576
1858,25.819,0.647,26.06,0.513,26.129,0.5329999999999999,26.169,0.567
1859,25.936,0.875,25.99,0.506,26.099,0.563,26.184,0.548
1860,26.109,0.5569999999999999,26.034,0.586,26.103,0.58,26.208,0.5349999999999999
1861,26.066,0.716,26.075,0.717,26.097,0.578,26.201,0.528
1862,26.242,1.079,26.09,0.683,26.098,0.61,26.217,0.512
1863,26.022,1.349,26.139,0.732,26.155,0.629,26.238,0.494
1864,26.008,0.6950000000000001,26.181,0.744,26.21,0.616,26.24,0.489
1865,26.355,0.841,26.204,0.692,26.264,0.581,26.243,0.511
1866,26.279,0.671,26.269,0.601,26.27,0.592,26.231,0.5
1867,26.354,0.6559999999999999,26.409,0.54,26.297,0.565,26.237000000000002,0.499
1868,26.348,0.815,26.371,0.46199999999999997,26.346,0.508,26.29,0.497
1869,26.708,0.585,26.381,0.518,26.382,0.45499999999999996,26.34,0.498
1870,26.167,0.536,26.425,0.46599999999999997,26.384,0.476,26.351,0.501
1871,26.330000000000002,0.8220000000000001,26.435,0.489,26.365,0.46099999999999997,26.345,0.496
1872,26.572,0.738,26.372,0.508,26.376,0.45699999999999996,26.345,0.472
1873,26.4,0.613,26.37,0.503,26.426000000000002,0.46699999999999997,26.346,0.45299999999999996
1874,26.393,0.701,26.334,0.46499999999999997,26.47,0.5249999999999999,26.339,0.45099999999999996
1875,26.156,0.6519999999999999,26.364,0.5409999999999999,26.438,0.513,26.322,0.44599999999999995
1876,26.151,0.653,26.508,0.5609999999999999,26.42,0.491,26.329,0.44699999999999995
1877,26.718,0.8679999999999999,26.532,0.6699999999999999,26.392,0.491,26.311,0.475
1878,27.119,0.8140000000000001,26.492,0.631,26.346,0.52,26.292,0.495
1879,26.517,0.8579999999999999,26.513,0.5589999999999999,26.297,0.519,26.29,0.516
1880,25.956,0.704,26.369,0.528,26.26,0.519,26.294,0.52
1881,26.254,0.709,26.16,0.563,26.292,0.5269999999999999,26.274,0.523
1882,26.002,0.6839999999999999,26.02,0.611,26.247,0.5529999999999999,26.28,0.526
1883,26.07,0.711,26.058,0.593,26.158,0.575,26.266000000000002,0.542
1884,25.818,0.603,26.077,0.586,26.111,0.6,26.258,0.5389999999999999
1885,26.148,0.6639999999999999,26.014,0.6479999999999999,26.149,0.618,26.245,0.532
1886,26.344,0.9550000000000001,26.063,0.669,26.128,0.609,26.251,0.5269999999999999
1887,25.691,1.053,26.269,0.709,26.168,0.604,26.246,0.518
1888,26.314,0.6910000000000001,26.206,0.731,26.186,0.589,26.222,0.517
1889,26.846,0.6,26.174,0.6579999999999999,26.22,0.585,26.193,0.521
1890,25.833,0.7929999999999999,26.356,0.592,26.231,0.569,26.2,0.5329999999999999
1891,26.186,0.577,26.323,0.538,26.21,0.5609999999999999,26.227,0.53
1892,26.6,0.5700000000000001,26.172,0.489,26.245,0.497,26.245,0.5309999999999999
1893,26.152,0.45699999999999996,26.233,0.43499999999999994,26.286,0.477,26.269,0.519
1894,26.091,0.43899999999999995,26.246,0.427,26.274,0.46599999999999997,26.302,0.526
1895,26.137,0.54,26.217,0.43499999999999994,26.25,0.473,26.311,0.522
1896,26.248,0.496,26.272,0.44999999999999996,26.325,0.478,26.309,0.517
1897,26.457,0.53,26.302,0.5,26.323,0.486,26.328,0.491
1898,26.427,0.5349999999999999,26.361,0.5289999999999999,26.353,0.48,26.343,0.477
1899,26.239,0.603,26.426000000000002,0.5489999999999999,26.384,0.494,26.333,0.46599999999999997
1900,26.433,0.772,26.456,0.5509999999999999,26.391000000000002,0.501,26.312,0.45399999999999996
1901,26.571,0.594,26.484,0.5409999999999999,26.408,0.496,26.328,0.45099999999999996
1902,26.608,0.56,26.474,0.5469999999999999,26.412,0.493,26.315,0.44699999999999995
1903,26.569,0.43999999999999995,26.437,0.492,26.399,0.485,26.318,0.43899999999999995
1904,26.191,0.58,26.413,0.45899999999999996,26.393,0.484,26.311,0.44199999999999995
1905,26.247,0.472,26.336,0.45999999999999996,26.373,0.45499999999999996,26.335,0.44099999999999995
1906,26.449,0.44099999999999995,26.282,0.45499999999999996,26.331,0.43999999999999995,26.36,0.44399999999999995
1907,26.224,0.5680000000000001,26.282,0.44999999999999996,26.308,0.427,26.357,0.43699999999999994
1908,26.297,0.488,26.249,0.43999999999999995,26.283,0.43099999999999994,26.339,0.43199999999999994
1909,26.192,0.489,26.209,0.44899999999999995,26.238,0.425,26.332,0.43199999999999994
1910,26.084,0.44699999999999995,26.255,0.43399999999999994,26.278,0.428,26.346,0.426
1911,26.25,0.507,26.215,0.44999999999999996,26.313,0.44499999999999995,26.334,0.424
1912,26.454,0.565,26.24,0.45699999999999996,26.302,0.44199999999999995,26.317,0.423
1913,26.095,0.493,26.365,0.46399999999999997,26.279,0.44599999999999995,26.298000000000002,0.43499999999999994
1914,26.319,0.5309999999999999,26.427,0.46499999999999997,26.271,0.44399999999999995,26.289,0.429
1915,26.708,0.5469999999999999,26.332,0.45699999999999996,26.319,0.44499999999999995,26.314,0.43599999999999994
1916,26.557,0.518,26.332,0.49,26.338,0.45899999999999996,26.312,0.43599999999999994
1917,25.979,0.511,26.379,0.491,26.326,0.45699999999999996,26.339,0.43399999999999994
1918,26.098,0.5700000000000001,26.3,0.488,26.314,0.46099999999999997,26.361,0.43099999999999994
1919,26.555,0.513,26.242,0.46699999999999997,26.341,0.45899999999999996,26.381,0.423
1920,26.309,0.5369999999999999,26.299,0.47,26.35,0.469,26.4,0.42
1921,26.268,0.473,26.313,0.45399999999999996,26.312,0.45199999999999996,26.434,0.417
1922,26.267,0.5329999999999999,26.337,0.474,26.376,0.44999999999999996,26.467,0.42
1923,26.168,0.46599999999999997,26.341,0.478,26.443,0.43599999999999994,26.491,0.426
1924,26.674,0.601,26.431,0.46499999999999997,26.492,0.425,26.513,0.426
1925,26.328,0.472,26.507,0.429,26.48,0.418,26.512,0.427
1926,26.717,0.43099999999999994,26.638,0.419,26.53,0.413,26.49,0.417
1927,26.647,0.45899999999999996,26.612000000000002,0.383,26.608,0.422,26.501,0.409
1928,26.825,0.426,26.67,0.372,26.669,0.423,26.536,0.409
1929,26.543,0.482,26.733,0.41,26.685,0.422,26.549,0.40599999999999997
1930,26.62,0.473,26.78,0.46099999999999997,26.675,0.418,26.549,0.40299999999999997
1931,27.031,0.643,26.746,0.486,26.667,0.41,26.592,0.39999999999999997
1932,26.883,0.521,26.723,0.496,26.626,0.408,26.641000000000002,0.39899999999999997
1933,26.654,0.565,26.686,0.487,26.629,0.418,26.684,0.389
1934,26.426000000000002,0.499,26.559,0.414,26.607,0.40199999999999997,26.698,0.382
1935,26.438,0.45199999999999996,26.479,0.40299999999999997,26.618,0.408,26.705000000000002,0.376
1936,26.397,0.532,26.477,0.378,26.653,0.39599999999999996,26.711,0.378
1937,26.479,0.419,26.471,0.388,26.674,0.384,26.697,0.382
1938,26.643,0.45699999999999996,26.6,0.354,26.7,0.364,26.702,0.38
1939,26.398,0.503,26.759,0.365,26.712,0.36,26.7,0.37
1940,27.083,0.46099999999999997,26.903,0.39799999999999996,26.735,0.363,26.7,0.373
1941,27.189,0.413,26.916,0.391,26.754,0.379,26.681,0.367
1942,27.203,0.45199999999999996,26.977,0.408,26.768,0.378,26.669,0.36
1943,26.708,0.492,26.875,0.423,26.776,0.379,26.684,0.355
1944,26.701,0.482,26.738,0.426,26.793,0.39199999999999996,26.71,0.349
1945,26.571,0.521,26.642,0.426,26.781,0.39399999999999996,26.72,0.349
1946,26.506,0.39999999999999997,26.669,0.418,26.709,0.40199999999999997,26.746,0.349
