year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,5.364999999999999,1.1949999999999998,,,,,,
1755,5.614,0.9630000000000001,,,,,,
1756,6.614999999999999,1.7429999999999999,5.720999999999999,1.292,,,,
1757,6.212,1.885,5.803999999999999,1.376,,,,
1758,4.798,1.877,5.584,1.395,5.667999999999999,1.226,,
1759,5.782,5.595,5.545999999999999,1.4729999999999999,5.635999999999999,1.25,,
1760,4.512,4.253,5.529999999999999,1.3539999999999999,5.712999999999999,1.232,,
1761,6.425,2.0540000000000003,5.5249999999999995,1.27,5.667999999999999,1.226,,
1762,6.135999999999999,1.313,5.5889999999999995,1.136,5.662999999999999,1.132,,
1763,4.773,2.539,5.824999999999999,1.106,5.611,1.069,5.606999999999999,1.387
1764,6.0969999999999995,2.815,5.7509999999999994,1.104,5.635999999999999,1.389,5.653,1.343
1765,5.693,1.879,5.531,1.154,5.659999999999999,1.278,5.680999999999999,1.3159999999999998
1766,6.0569999999999995,2.7880000000000003,5.629,1.9529999999999998,5.686,1.307,5.718999999999999,1.269
1767,5.036,1.7269999999999999,5.661,2.016,5.497999999999999,1.218,5.747999999999999,1.238
1768,5.262,1.891,5.443,1.6239999999999999,5.547,1.738,5.71,1.168
1769,6.2589999999999995,3.7710000000000004,5.279,1.551,5.67,1.53,5.765,1.135
1770,4.601999999999999,1.551,5.255999999999999,1.425,5.648999999999999,1.525,5.8759999999999994,1.109
1771,5.2379999999999995,1.283,5.6129999999999995,1.179,5.768999999999999,0.923,5.888999999999999,1.094
1772,4.920999999999999,1.617,5.771,1.045,5.832999999999999,1.006,5.893999999999999,1.027
1773,7.045999999999999,1.398,5.997,1.097,5.808999999999999,0.9910000000000001,5.864,1.034
1774,7.048,1.8239999999999998,6.265,0.8959999999999999,5.893999999999999,0.7869999999999999,5.914999999999999,0.9450000000000001
1775,5.7299999999999995,2.161,6.3919999999999995,0.893,6.090999999999999,0.8679999999999999,5.8709999999999996,0.923
1776,6.577999999999999,1.4369999999999998,6.234,0.8580000000000001,6.093,0.919,5.805999999999999,0.849
