year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1824,,,,,,,,
1825,26.445,0.8780000000000001,,,,,,
1826,26.102999999999998,0.714,26.213,0.734,,,,
1827,26.499,1.215,26.288999999999998,0.698,,,,
1828,26.192,0.9410000000000001,26.246,0.685,,,,
1829,26.204,1.243,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,26.026,0.9119999999999999,,,,,,
1847,25.916,1.154,25.82,0.755,,,,
1848,25.767,0.764,25.867,0.782,25.832,0.758,,
1849,25.808,0.8980000000000001,25.857,0.752,25.844,0.755,,
1850,25.817999999999998,0.952,25.846,0.759,25.889,0.7210000000000001,,
1851,25.977999999999998,0.753,25.881999999999998,0.806,25.934,0.7210000000000001,25.835,0.652
1852,25.861,1.219,25.908,0.8140000000000001,25.903,0.7010000000000001,25.852999999999998,0.669
1853,25.945999999999998,0.952,25.948,0.73,25.896,0.6950000000000001,25.845,0.666
1854,25.939,0.8,25.983999999999998,0.726,25.878,0.6859999999999999,25.845,0.656
1855,26.015,0.7450000000000001,25.957,0.64,25.878999999999998,0.646,25.869,0.649
1856,26.159,0.681,25.889,0.605,25.858,0.619,25.891,0.647
1857,25.727999999999998,0.821,25.843,0.5900000000000001,25.858,0.6020000000000001,25.875999999999998,0.638
1858,25.602,0.7310000000000001,25.808,0.5920000000000001,25.858,0.603,25.896,0.629
1859,25.711,0.8740000000000001,25.727999999999998,0.593,25.845,0.635,25.915,0.613
1860,25.839,0.661,25.778,0.65,25.849999999999998,0.641,25.938,0.6000000000000001
1861,25.762,0.7290000000000001,25.829,0.775,25.849,0.633,25.935,0.597
1862,25.974999999999998,1.058,25.846,0.734,25.849999999999998,0.661,25.951,0.5860000000000001
1863,25.858999999999998,1.347,25.891,0.762,25.897,0.6890000000000001,25.974999999999998,0.579
1864,25.797,0.777,25.944,0.77,25.951999999999998,0.685,25.977,0.5780000000000001
1865,26.061999999999998,0.825,25.957,0.738,25.996,0.654,25.98,0.6000000000000001
1866,26.03,0.7030000000000001,26.005,0.658,26.011,0.668,25.968,0.591
1867,26.037,0.8089999999999999,26.127,0.63,26.044,0.646,25.98,0.587
1868,26.098,0.885,26.104,0.6100000000000001,26.092,0.6180000000000001,26.024,0.5880000000000001
1869,26.407,0.69,26.112,0.665,26.108999999999998,0.5640000000000001,26.067,0.587
1870,25.945999999999998,0.687,26.163999999999998,0.615,26.108999999999998,0.603,26.076,0.5800000000000001
1871,26.07,0.895,26.165,0.603,26.086,0.5920000000000001,26.08,0.5730000000000001
1872,26.296,0.801,26.108999999999998,0.619,26.11,0.5700000000000001,26.076999999999998,0.552
1873,26.105,0.667,26.093,0.623,26.151,0.556,26.078,0.534
1874,26.127,0.805,26.053,0.557,26.182,0.5900000000000001,26.069,0.514
1875,25.868,0.777,26.083,0.5980000000000001,26.155,0.5730000000000001,26.048,0.517
1876,25.868,0.651,26.203,0.639,26.148,0.55,26.055,0.515
1877,26.447,0.8820000000000001,26.215,0.722,26.11,0.546,26.038999999999998,0.54
1878,26.705,0.984,26.204,0.651,26.064,0.56,26.021,0.552
1879,26.189,0.8940000000000001,26.239,0.5860000000000001,26.029,0.557,26.012999999999998,0.5690000000000001
1880,25.809,0.773,26.09,0.55,25.988,0.546,26.016,0.5680000000000001
1881,26.043,0.8580000000000001,25.912,0.5980000000000001,26.025,0.561,26.003999999999998,0.5650000000000001
1882,25.704,0.665,25.79,0.65,25.968,0.585,26.002,0.5630000000000001
1883,25.814,0.7330000000000001,25.817,0.625,25.891,0.605,25.987,0.577
1884,25.581,0.623,25.809,0.605,25.845,0.636,25.982,0.5740000000000001
1885,25.942999999999998,0.7290000000000001,25.756,0.677,25.878,0.648,25.973,0.561
1886,26.005,0.9890000000000001,25.78,0.708,25.86,0.632,25.983,0.559
1887,25.435,1.042,25.957,0.755,25.894,0.626,25.974999999999998,0.548
1888,25.934,0.79,25.918,0.742,25.909,0.6180000000000001,25.963,0.547
1889,26.469,0.653,25.896,0.667,25.934,0.6180000000000001,25.944,0.557
1890,25.749,0.7170000000000001,26.066,0.609,25.957,0.6020000000000001,25.948999999999998,0.5710000000000001
1891,25.892,0.638,26.052,0.562,25.939999999999998,0.593,25.968,0.5720000000000001
1892,26.284,0.659,25.922,0.524,25.982,0.535,25.992,0.5720000000000001
1893,25.867,0.559,25.964,0.501,26.035,0.52,26.016,0.56
1894,25.817,0.56,25.998,0.511,26.043,0.517,26.043,0.5630000000000001
1895,25.961,0.681,25.986,0.508,26.021,0.539,26.059,0.558
1896,26.059,0.652,26.061,0.529,26.075,0.551,26.061,0.552
1897,26.227,0.6000000000000001,26.113,0.6000000000000001,26.09,0.558,26.082,0.535
1898,26.24,0.641,26.133,0.631,26.122,0.545,26.095,0.523
1899,26.078,0.642,26.192,0.63,26.151,0.554,26.091,0.515
