year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1856,,,,,,,,
1857,,,,,,,,
1858,25.913,0.6709999999999999,,,,,,
1859,,,,,,,,
1860,26.384999999999998,0.717,26.119,0.43500000000000005,,,,
1861,25.923,0.555,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,26.482,0.645,,,,,,
1875,26.217,0.5640000000000001,26.255,0.348,,,,
1876,25.845,0.706,26.317,0.367,,,,
1877,26.303,0.587,26.252,0.43400000000000005,26.311999999999998,0.28700000000000003,,
1878,26.737,0.633,26.205,0.43100000000000005,26.291999999999998,0.28200000000000003,,
1879,26.16,0.813,26.355,0.326,26.279,0.281,,
1880,25.980999999999998,0.534,26.349,0.311,26.252,0.304,26.166999999999998,0.313
1881,26.592,0.828,26.262999999999998,0.33799999999999997,26.258,0.314,26.113,0.33799999999999997
1882,26.273,0.542,26.279,0.543,26.244999999999997,0.33899999999999997,26.087,0.344
1883,26.308,0.698,26.284,0.5630000000000001,26.144,0.361,26.064999999999998,0.352
1884,26.243,0.994,26.178,0.507,26.063,0.43100000000000005,26.026,0.352
1885,,,26.037,0.534,26.052,0.512,26.012999999999998,0.354
1886,26.061,0.602,25.919,0.529,25.942999999999998,0.554,26.025,0.364
1887,25.567,0.595,25.855,0.49,25.861,0.553,26.031,0.362
1888,25.72,0.645,25.71,0.6699999999999999,25.838,0.5650000000000001,26.026999999999997,0.361
1889,25.924,0.703,25.598,0.699,25.774,0.543,25.997,0.392
1890,25.279999999999998,1.4660000000000002,25.653,0.691,25.775,0.514,26.021,0.41900000000000004
1891,25.497999999999998,0.6849999999999999,25.663,0.65,25.791,0.521,26.035999999999998,0.40800000000000003
1892,25.846,0.552,25.685,0.583,25.816,0.45299999999999996,26.031,0.386
