year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,13.167,2.328,,,,,,
1755,13.908,1.6949999999999998,,,,,,
1756,14.148,2.559,13.571,2.081,,,,
1757,13.815999999999999,2.561,13.693999999999999,2.1879999999999997,,,,
1758,12.814,2.7489999999999997,13.616999999999999,2.192,13.729,1.968,,
1759,13.783999999999999,5.91,13.698,2.198,13.716,1.9849999999999999,,
1760,13.525,4.2170000000000005,13.75,2.078,13.807,1.9709999999999999,,
1761,14.549,2.881,13.812,1.914,13.738,1.9869999999999999,,
1762,14.078999999999999,1.9989999999999999,13.860999999999999,1.7839999999999998,13.721,1.914,,
1763,13.123999999999999,3.578,13.918,1.789,13.697,1.8359999999999999,13.731,1.9869999999999999
1764,14.026,3.5829999999999997,13.7,1.891,13.677,1.9929999999999999,13.722999999999999,1.9589999999999999
1765,13.811,2.5519999999999996,13.559,1.9669999999999999,13.641,1.875,13.745,1.9369999999999998
1766,13.456999999999999,3.566,13.528,2.614,13.642999999999999,1.934,13.754,1.906
1767,13.375,2.683,13.454,2.6959999999999997,13.567,1.876,13.738,1.8699999999999999
1768,12.969,2.393,13.33,2.591,13.733,2.61,13.745,1.7839999999999998
1769,13.658999999999999,5.508,13.385,2.461,13.73,2.461,13.774,1.7439999999999998
1770,13.189,2.375,13.641,2.4509999999999996,13.682,2.477,13.815999999999999,1.706
1771,13.732,2.368,13.868,2.125,13.769,1.757,13.828999999999999,1.7069999999999999
1772,14.657,2.758,14.044,2.041,13.754,1.782,13.833,1.678
1773,14.103,2.264,14.126,2.155,13.792,1.771,13.828999999999999,1.7839999999999998
1774,14.536999999999999,2.631,14.153,1.759,13.871,1.581,13.838,1.738
1775,13.597999999999999,3.358,13.84,1.6969999999999998,13.991,1.688,13.799999999999999,1.65
1776,13.87,1.916,13.873,1.6349999999999998,14.014,1.769,13.793,1.601
1777,13.093,2.327,13.791,1.8559999999999999,14.1,1.5979999999999999,13.779,1.516
1778,14.266,2.8499999999999996,13.985999999999999,1.6019999999999999,13.924999999999999,1.563,13.823,1.3179999999999998
1779,14.126999999999999,2.614,14.041,1.644,13.946,1.4629999999999999,13.859,1.297
