year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,6.892,1.476,,,,,,
1755,7.3420000000000005,0.998,,,,,,
1756,8.203,1.996,7.355,1.4980000000000002,,,,
1757,7.8790000000000004,2.304,7.476,1.592,,,,
1758,6.458,1.9809999999999999,7.346,1.6179999999999999,7.4,1.3279999999999998,,
1759,7.495,5.502,7.373,1.5590000000000002,7.397,1.3639999999999999,,
1760,6.696,3.975,7.346,1.349,7.484,1.341,,
1761,8.336,2.156,7.38,1.241,7.421,1.345,,
1762,7.742,1.331,7.441,1.127,7.372,1.232,,
1763,6.631,2.807,7.5680000000000005,1.0979999999999999,7.32,1.1560000000000001,7.325,1.4369999999999998
1764,7.8,2.8609999999999998,7.382000000000001,1.2309999999999999,7.298,1.366,7.346,1.396
1765,7.331,1.943,7.188000000000001,1.3090000000000002,7.284,1.264,7.38,1.387
1766,7.406000000000001,2.971,7.187,2.056,7.279,1.302,7.399,1.343
1767,6.775,1.9940000000000002,7.114,2.086,7.118,1.21,7.386,1.2770000000000001
1768,6.623,1.876,6.937,1.798,7.25,1.8889999999999998,7.377,1.191
1769,7.433,4.367,6.861000000000001,1.613,7.2940000000000005,1.69,7.428,1.123
1770,6.4510000000000005,1.528,7.019,1.533,7.275,1.7000000000000002,7.506,1.0819999999999999
1771,7.022,1.459,7.32,1.2109999999999999,7.377,0.943,7.4990000000000006,1.0819999999999999
1772,7.565,2.049,7.562,1.2309999999999999,7.4,0.993,7.511,1.04
1773,8.127,1.52,7.7330000000000005,1.3559999999999999,7.434,0.991,7.517,1.108
1774,8.644,1.9129999999999998,7.886,1.077,7.557,0.862,7.5280000000000005,1.033
1775,7.3100000000000005,2.5189999999999997,7.767,0.996,7.727,1.0110000000000001,7.489,0.962
1776,7.785,1.329,7.76,0.956,7.718,1.101,7.449,0.916
1777,6.969,1.7189999999999999,7.689,1.181,7.905,0.9390000000000001,7.4110000000000005,0.853
1778,8.091000000000001,1.883,7.8180000000000005,0.952,7.784,0.889,7.46,0.741
1779,8.292,2.04,7.806,0.953,7.7620000000000005,0.778,7.457,0.618
