year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1824,,,,,,,,
1825,26.846,0.8620000000000001,,,,,,
1826,26.494,0.7130000000000001,26.569,0.6990000000000001,,,,
1827,26.85,1.285,26.663,0.6639999999999999,,,,
1828,26.497,0.952,26.619,0.6679999999999999,,,,
1829,26.631,1.309,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,26.506,0.8,,,,,,
1847,26.312,1.136,26.258,0.72,,,,
1848,26.209,0.746,26.304000000000002,0.75,26.271,0.7210000000000001,,
1849,26.267,0.857,26.276,0.7170000000000001,26.278000000000002,0.7210000000000001,,
1850,26.224,0.8919999999999999,26.274,0.7250000000000001,26.319,0.681,,
1851,26.368000000000002,0.768,26.313000000000002,0.772,26.362000000000002,0.6739999999999999,26.262,0.614
1852,26.299,1.151,26.326,0.779,26.334,0.651,26.278000000000002,0.631
1853,26.405,0.913,26.376,0.6739999999999999,26.319,0.644,26.268,0.633
1854,26.332,0.753,26.417,0.653,26.294,0.63,26.256,0.623
1855,26.473,0.764,26.387,0.577,26.288,0.5860000000000001,26.279,0.618
1856,26.575,0.606,26.296,0.539,26.268,0.5640000000000001,26.296,0.615
1857,26.149,0.775,26.245,0.541,26.271,0.553,26.281000000000002,0.607
1858,25.95,0.6779999999999999,26.198,0.544,26.264,0.5640000000000001,26.303,0.597
1859,26.075,0.8879999999999999,26.123,0.536,26.235,0.595,26.317,0.577
1860,26.240000000000002,0.591,26.167,0.617,26.238,0.611,26.343,0.565
1861,26.201,0.738,26.208000000000002,0.75,26.229,0.607,26.337,0.5589999999999999
1862,26.367,1.102,26.221,0.7150000000000001,26.228,0.639,26.351,0.542
1863,26.155,1.3940000000000001,26.27,0.76,26.287,0.658,26.372,0.524
1864,26.143,0.718,26.310000000000002,0.771,26.34,0.642,26.375,0.519
1865,26.484,0.8600000000000001,26.334,0.718,26.398,0.608,26.377000000000002,0.541
1866,26.401,0.7010000000000001,26.397000000000002,0.624,26.405,0.621,26.364,0.53
1867,26.486,0.6779999999999999,26.544,0.5660000000000001,26.431,0.5920000000000001,26.371000000000002,0.53
1868,26.471,0.8620000000000001,26.508,0.49,26.479,0.536,26.426000000000002,0.529
1869,26.875,0.63,26.522000000000002,0.548,26.515,0.484,26.478,0.528
1870,26.306,0.567,26.562,0.498,26.516000000000002,0.504,26.489,0.531
1871,26.472,0.8760000000000001,26.576,0.523,26.5,0.492,26.482,0.527
1872,26.688000000000002,0.771,26.502000000000002,0.537,26.514,0.487,26.482,0.503
1873,26.538,0.638,26.499000000000002,0.532,26.566000000000003,0.499,26.482,0.483
1874,26.506,0.722,26.465,0.49,26.616,0.5569999999999999,26.476,0.482
1875,26.291,0.665,26.503,0.565,26.580000000000002,0.543,26.459,0.476
1876,26.301000000000002,0.677,26.656000000000002,0.593,26.559,0.522,26.466,0.479
1877,26.88,0.8999999999999999,26.688000000000002,0.698,26.533,0.522,26.448,0.508
1878,27.299,0.8300000000000001,26.644000000000002,0.6679999999999999,26.485,0.552,26.428,0.527
1879,26.668,0.869,26.661,0.597,26.437,0.548,26.428,0.549
1880,26.069,0.688,26.507,0.558,26.402,0.55,26.431,0.553
1881,26.388,0.737,26.29,0.587,26.433,0.5589999999999999,26.41,0.5549999999999999
1882,26.113,0.7030000000000001,26.147000000000002,0.629,26.382,0.5900000000000001,26.418,0.558
1883,26.213,0.729,26.189,0.616,26.29,0.608,26.404,0.575
1884,25.954,0.631,26.205000000000002,0.619,26.239,0.633,26.396,0.571
1885,26.277,0.687,26.143,0.6910000000000001,26.281000000000002,0.652,26.384,0.5640000000000001
1886,26.469,0.9810000000000001,26.192,0.708,26.26,0.642,26.389,0.56
1887,25.802,1.107,26.402,0.748,26.303,0.638,26.382,0.552
1888,26.458000000000002,0.726,26.341,0.768,26.322,0.622,26.358,0.549
1889,27.007,0.634,26.313000000000002,0.694,26.356,0.618,26.323,0.554
1890,25.971,0.825,26.501,0.622,26.365000000000002,0.602,26.331,0.565
