year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1852,,,,,,,,
1853,27.761,1.5979999999999999,27.468999999999998,0.73,,,,
1854,27.913999999999998,0.984,27.663999999999998,0.687,,,,
1855,27.721,1.068,27.875,0.742,27.509999999999998,0.6719999999999999,,
1856,28.358999999999998,1.125,27.697,0.7010000000000001,27.488,0.702,,
1857,27.619,1.391,27.598,0.765,27.619,0.639,27.535,0.629
1858,26.872999999999998,1.4900000000000002,27.506999999999998,0.887,27.730999999999998,0.746,27.596,0.6930000000000001
1859,27.419999999999998,0.972,27.355,1.0310000000000001,27.708,0.745,27.631999999999998,0.7170000000000001
1860,27.267,1.2850000000000001,27.537,0.956,27.56,0.664,27.712999999999997,0.7989999999999999
1861,27.598,1.283,27.753,0.916,27.653,0.655,27.773,0.861
1862,28.528,1.6869999999999998,27.622999999999998,0.751,27.581,0.8089999999999999,27.872,0.922
1863,27.954,1.374,27.692,0.887,27.685,0.878,27.939999999999998,0.9390000000000001
1864,26.77,1.8479999999999999,27.926,0.755,27.784,0.861,27.964,0.956
1865,27.611,1.9340000000000002,27.691,0.956,27.916999999999998,0.9460000000000001,28.0,0.96
1866,28.768,3.0260000000000002,27.703,1.158,28.058,1.092,28.028,0.937
1867,27.355,2.08,28.095,1.3170000000000002,28.125,1.189,28.003999999999998,0.913
1868,28.014,2.06,28.253,1.7269999999999999,28.148,1.284,28.061,0.895
1869,28.727999999999998,1.8210000000000002,28.36,1.7309999999999999,28.22,1.304,28.108999999999998,0.876
1870,28.401999999999997,2.278,28.564,1.722,28.441,1.4409999999999998,28.13,0.872
1871,29.302,2.189,28.657999999999998,1.7160000000000002,28.404,1.371,28.177,0.876
1872,28.375,2.064,28.663,1.617,28.427999999999997,1.28,28.182,0.86
1873,28.480999999999998,1.5779999999999998,28.674,1.451,28.436,1.19,28.169999999999998,0.855
1874,28.756999999999998,1.428,28.401999999999997,1.3250000000000002,28.433999999999997,1.1440000000000001,28.211,0.8280000000000001
1875,28.453,1.357,28.314,1.093,28.343999999999998,1.0230000000000001,28.288999999999998,0.849
1876,27.942,1.9100000000000001,28.285,0.997,28.296,0.976,28.264,0.825
1877,27.933999999999997,0.8580000000000001,28.054,1.077,28.24,0.883,28.287,0.8029999999999999
1878,28.336,0.924,28.035,1.045,28.192999999999998,0.772,28.296,0.777
1879,27.607,1.097,28.032,0.8069999999999999,28.201,0.751,28.293,0.747
1880,28.358,0.933,28.157,0.761,28.137,0.781,28.261,0.673
1881,27.927,1.139,28.134999999999998,0.708,28.125,0.6739999999999999,28.255,0.656
1882,28.558,0.964,28.249,0.791,28.145999999999997,0.646,28.223,0.629
1883,28.224999999999998,0.969,28.212999999999997,0.773,28.157,0.66,28.18,0.5800000000000001
1884,28.179,0.907,28.247,0.702,28.153,0.6779999999999999,28.180999999999997,0.611
1885,28.176,0.67,28.173,0.668,28.177,0.718,28.144,0.625
1886,28.099,0.976,28.134999999999998,0.669,28.212999999999997,0.657,28.122999999999998,0.606
1887,28.189,0.806,28.105999999999998,0.667,28.206,0.649,28.131999999999998,0.606
