year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1846,,,,,,,,
1847,28.119,0.69,,,,,,
1848,28.193,0.812,,,,,,
1849,28.149,0.713,,,,,,
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,28.751,1.87,,,,,,
1854,28.848000000000003,0.9870000000000001,28.593,0.611,,,,
1855,28.878,1.304,28.772000000000002,0.616,,,28.598000000000003,0.476
1856,28.863,0.8049999999999999,28.714000000000002,0.562,28.575,0.492,28.62,0.482
1857,28.521,1.168,28.671,0.671,28.664,0.483,28.618000000000002,0.517
1858,28.46,1.446,28.629,0.9119999999999999,28.735,0.6839999999999999,28.69,0.579
1859,28.631,0.897,28.576,1.001,28.726000000000003,0.675,28.747,0.634
1860,28.67,0.996,28.682000000000002,0.9319999999999999,28.754,0.7829999999999999,28.818,0.698
1861,28.599,1.022,28.762,0.925,28.799,0.774,28.859,0.763
1862,,,28.806,0.835,28.817,0.757,28.938000000000002,0.8069999999999999
1863,28.863,1.588,28.929000000000002,0.7929999999999999,28.897000000000002,0.7929999999999999,29.001,0.8160000000000001
1864,28.848000000000003,1.254,29.059,0.749,28.989,0.879,29.027,0.806
1865,29.286,1.225,29.029,0.893,29.083000000000002,0.925,29.05,0.802
1866,29.25,1.437,29.108,1.204,29.144000000000002,1.064,29.069000000000003,0.79
1867,28.899,1.36,29.290000000000003,1.289,29.212,1.105,29.078,0.754
1868,29.255000000000003,1.866,29.275000000000002,1.5190000000000001,29.266000000000002,1.195,29.135,0.732
1869,29.76,1.603,29.328,1.552,29.329,1.21,29.179000000000002,0.714
1870,29.21,2.02,29.448,1.516,29.346,1.214,29.192,0.694
1871,29.514,1.554,29.464000000000002,1.395,29.338,1.151,29.184,0.6950000000000001
1872,29.5,1.5330000000000001,29.39,1.261,29.339000000000002,1.031,29.205000000000002,0.6819999999999999
1873,29.337,1.119,29.422,1.102,29.372,0.9099999999999999,29.21,0.69
1874,29.392,1.309,29.271,0.96,29.37,0.8739999999999999,29.206,0.6679999999999999
1875,29.366,1.092,29.244,0.8160000000000001,29.301000000000002,0.739,29.187,0.6699999999999999
1876,28.763,1.223,29.324,0.724,29.224,0.715,29.188000000000002,0.638
1877,29.361,1.082,29.275000000000002,0.899,29.198,0.632,29.187,0.5800000000000001
1878,29.737000000000002,0.992,29.108,0.8699999999999999,29.154,0.575,29.18,0.532
1879,29.151,1.11,29.169,0.744,29.083000000000002,0.6,29.177,0.494
1880,28.53,0.709,29.103,0.628,29.029,0.584,29.19,0.43
1881,29.07,0.8859999999999999,28.941000000000003,0.598,29.038,0.584,29.155,0.436
1882,29.029,0.8580000000000001,28.84,0.6459999999999999,29.034000000000002,0.5660000000000001,29.158,0.425
1883,28.925,0.6990000000000001,28.934,0.6559999999999999,28.988,0.534,29.129,0.44599999999999995
1884,28.646,0.6819999999999999,28.978,0.6819999999999999,28.984,0.613,29.113,0.476
1885,29.001,0.917,28.91,0.587,29.079,0.661,29.081,0.491
1886,29.289,1.029,29.004,0.591,29.085,0.675,29.068,0.51
1887,28.691000000000003,0.735,29.26,0.753,29.118000000000002,0.582,29.072000000000003,0.515
1888,29.391000000000002,0.6890000000000001,29.212,0.71,29.105,0.5529999999999999,29.040000000000003,0.511
1889,29.926000000000002,1.275,29.201,0.5660000000000001,29.142,0.569,29.01,0.527
1890,28.761000000000003,1.181,29.319000000000003,0.611,29.133000000000003,0.536,29.024,0.5489999999999999
1891,29.236,0.788,29.226000000000003,0.636,29.097,0.5469999999999999,29.046,0.5349999999999999
1892,29.283,0.9850000000000001,29.023,0.582,29.109,0.563,29.032,0.509
1893,28.925,0.7889999999999999,29.013,0.611,29.092000000000002,0.5589999999999999,29.035,0.486
1894,28.91,0.642,28.959,0.579,29.036,0.532,29.075,0.482
1895,28.713,0.6990000000000001,28.925,0.5389999999999999,28.969,0.544,29.076,0.472
1896,28.966,0.7749999999999999,28.941000000000003,0.544,29.006,0.499,29.072000000000003,0.485
1897,29.111,0.6679999999999999,28.944000000000003,0.6819999999999999,28.947000000000003,0.532,29.092000000000002,0.482
1898,29.005000000000003,0.677,29.022000000000002,0.6819999999999999,28.966,0.501,29.101000000000003,0.478
1899,28.926000000000002,1.1139999999999999,29.035,0.584,29.009,0.5,29.088,0.46699999999999997
1900,29.104,0.7829999999999999,29.006,0.5760000000000001,29.019000000000002,0.53,29.054000000000002,0.44799999999999995
1901,29.028000000000002,0.542,29.074,0.5349999999999999,29.047,0.52,29.07,0.44299999999999995
1902,28.967000000000002,0.605,29.078,0.485,29.074,0.46299999999999997,29.042,0.429
1903,29.348000000000003,0.6839999999999999,29.071,0.45899999999999996,29.111,0.46299999999999997,29.045,0.40399999999999997
1904,28.946,0.786,29.118000000000002,0.45199999999999996,29.14,0.44299999999999995,29.029,0.399
1905,29.068,0.6499999999999999,29.156000000000002,0.45999999999999996,29.139,0.44899999999999995,29.049,0.398
1906,29.262,0.6579999999999999,29.152,0.495,29.133000000000003,0.45899999999999996,29.078,0.381
1907,29.154,0.641,29.173000000000002,0.542,29.136,0.46399999999999997,29.09,0.384
1908,29.330000000000002,0.915,29.167,0.579,29.125,0.45399999999999996,29.096,0.40399999999999997
1909,29.051000000000002,0.569,29.109,0.601,29.049,0.47,29.106,0.413
1910,29.038,0.956,29.097,0.619,29.078,0.493,29.135,0.416
1911,28.974,0.796,28.977,0.59,29.108,0.509,29.150000000000002,0.417
1912,29.093,0.74,28.952,0.5800000000000001,29.105,0.505,29.162000000000003,0.43
1913,28.731,0.46499999999999997,29.018,0.499,29.081,0.479,29.163,0.428
1914,28.922,0.548,29.12,0.45199999999999996,29.072000000000003,0.482,29.152,0.434
1915,29.371000000000002,0.5469999999999999,29.089000000000002,0.504,29.132,0.45499999999999996,29.181,0.44399999999999995
1916,29.483,0.7689999999999999,29.161,0.544,29.166,0.42,29.192,0.44299999999999995
1917,28.937,0.636,29.278000000000002,0.581,29.188000000000002,0.44299999999999995,29.208000000000002,0.439
