year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1833,,,,,,,,
1834,11.868,2.0700000000000003,,,,,,
1835,12.041,1.2229999999999999,,,,,,
1836,,,,,,,,
1837,10.182,1.272,,,,,,
1838,10.473,1.621,,,,,,
1839,11.368,2.085,10.903,1.271,,,,
1840,11.565000000000001,1.531,11.170000000000002,1.286,,,,
1841,10.926,0.917,11.186,1.073,10.905000000000001,0.963,,
1842,11.518,1.072,11.14,0.903,10.996,1.0150000000000001,,
1843,10.554,0.9430000000000001,10.846,0.931,11.061,0.974,,
1844,11.136000000000001,0.881,11.13,0.901,11.105,0.895,,
1845,10.097000000000001,1.06,10.979000000000001,0.9039999999999999,11.003,0.863,,
1846,12.344000000000001,1.662,11.046000000000001,0.949,11.031,0.85,10.884,0.87
1847,10.764000000000001,0.985,11.108,0.99,10.925,0.839,10.89,0.895
1848,10.888000000000002,1.532,11.186,0.983,10.962000000000002,0.858,10.951,0.867
1849,11.448,1.1560000000000001,10.868,0.856,10.881,0.843,10.940000000000001,0.9039999999999999
1850,10.487,1.0310000000000001,10.878,0.9179999999999999,10.899000000000001,0.865,10.935,0.9339999999999999
1851,10.752,0.986,10.818000000000001,0.8939999999999999,10.862,0.882,10.9,0.9410000000000001
1852,10.812000000000001,1.264,10.686,0.831,10.784,0.903,10.909,0.949
1853,10.591000000000001,1.014,10.616000000000001,0.882,10.841000000000001,0.9259999999999999,10.959000000000001,0.979
1854,10.787,1.189,10.677000000000001,0.942,10.774000000000001,0.974,11.025,1.0070000000000001
1855,10.14,1.707,10.658000000000001,0.9319999999999999,10.866000000000001,1.016,11.034,0.9339999999999999
1856,11.054,1.228,10.737,1.107,10.768,0.994,11.125,0.942
1857,10.719000000000001,1.188,10.927000000000001,1.1829999999999998,10.893,1.002,11.148000000000001,0.972
1858,10.983,1.661,11.030000000000001,1.166,10.955,0.967,11.219000000000001,1.034
1859,11.742,1.297,10.957,1.0859999999999999,11.169,1.0619999999999998,11.287,1.0699999999999998
1860,10.65,0.973,11.233,1.073,11.168000000000001,1.141,11.33,1.166
1861,10.689,1.189,11.468,1.3119999999999998,11.388000000000002,1.166,11.343,1.2309999999999999
1862,12.101,1.574,11.406,1.283,11.512,1.15,11.386000000000001,1.3079999999999998
1863,12.157,2.648,11.543000000000001,1.551,11.598,1.305,11.440000000000001,1.315
1864,11.432,1.802,11.916,1.569,11.8,1.4140000000000001,11.555000000000001,1.3239999999999998
1865,11.334000000000001,2.3280000000000003,11.973,1.682,11.793000000000001,1.494,11.599,1.347
1866,12.556000000000001,1.8579999999999999,12.003,1.781,11.918000000000001,1.716,11.659,1.359
1867,12.385000000000002,1.932,12.194,1.814,11.879000000000001,1.789,11.731000000000002,1.337
1868,12.306000000000001,2.069,12.255,2.013,11.926,1.8579999999999999,11.763000000000002,1.362
1869,12.389000000000001,2.275,11.927000000000001,2.138,11.941,1.794,11.817,1.375
1870,11.639000000000001,2.712,11.795000000000002,2.151,12.031,1.784,11.753,1.362
1871,10.917000000000002,2.3520000000000003,11.794,2.0949999999999998,11.930000000000001,1.746,11.870000000000001,1.385
1872,11.724,2.126,11.778,1.918,11.950000000000001,1.7,11.873000000000001,1.346
1873,12.3,2.114,11.755,1.728,11.929,1.626,11.855,1.335
1874,12.31,1.339,11.905000000000001,1.539,11.834000000000001,1.599,11.816,1.28
1875,11.525,1.626,12.032,1.438,11.714,1.438,11.835,1.252
1876,11.667000000000002,1.377,11.950000000000001,1.337,11.821000000000002,1.274,11.791,1.2029999999999998
1877,12.357000000000001,1.4849999999999999,11.726,1.331,11.868,1.104,11.766,1.1640000000000001
1878,11.893,1.673,11.697000000000001,1.1360000000000001,11.785,0.986,11.704,1.088
1879,11.189,1.129,11.763000000000002,0.983,11.690000000000001,0.9430000000000001,11.615,1.038
1880,11.379000000000001,1.116,11.676,0.909,11.64,0.846,11.571000000000002,0.9259999999999999
1881,11.997000000000002,0.9299999999999999,11.512,0.87,11.651000000000002,0.745,11.542000000000002,0.867
1882,11.920000000000002,1.2229999999999999,11.636000000000001,0.83,11.583,0.721,11.539000000000001,0.812
1883,11.072000000000001,0.897,11.665000000000001,0.8,11.479000000000001,0.736,11.475000000000001,0.75
1884,11.809000000000001,0.79,11.487,0.887,11.396,0.824,11.48,0.745
1885,11.525,1.123,11.428,0.899,11.428,0.808,11.468,0.736
1886,11.110000000000001,1.1219999999999999,11.295000000000002,0.931,11.263000000000002,0.792,11.478000000000002,0.716
1887,11.622000000000002,1.038,11.149000000000001,0.9239999999999999,11.211,0.808,11.408000000000001,0.712
1888,10.409,0.871,11.06,0.838,11.166,0.7909999999999999,11.445,0.743
1889,11.079,0.863,10.920000000000002,0.7669999999999999,11.270000000000001,0.8029999999999999,11.482000000000001,0.774
1890,11.08,0.956,10.944,0.752,11.295000000000002,0.813,11.567,0.7849999999999999
1891,10.411000000000001,1.0390000000000001,11.245000000000001,0.75,11.304,0.796,11.575000000000001,0.7829999999999999
