year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,29.256999999999998,0.944,,,,,,
1877,29.262999999999998,0.7030000000000001,,,,,,
1878,29.64,0.6719999999999999,29.307,0.603,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,28.724999999999998,0.841,,,,,,
1894,28.802,0.927,28.994999999999997,0.7070000000000001,,,,
1895,29.021,0.781,28.947,0.667,29.052999999999997,0.5660000000000001,,
1896,29.122,0.6890000000000001,29.070999999999998,0.633,29.116,0.548,,
1897,29.064,0.744,29.112,0.587,29.11,0.55,29.169999999999998,0.492
1898,29.346,0.796,29.233,0.508,29.166,0.524,29.169999999999998,0.484
1899,29.006999999999998,0.875,29.253,0.523,29.282999999999998,0.489,29.195999999999998,0.483
1900,29.628,1.018,29.279999999999998,0.53,29.259,0.473,29.2,0.485
1901,29.221,0.6890000000000001,29.403,0.593,29.29,0.488,29.2,0.494
1902,29.197,0.8480000000000001,29.442,0.612,29.311999999999998,0.493,29.194,0.502
1903,29.959999999999997,0.792,29.293,0.494,29.276999999999997,0.499,29.221,0.492
1904,29.203,0.8540000000000001,29.366999999999997,0.495,29.311,0.495,29.269,0.485
