year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1866,,,,,,,,
1867,28.337000000000003,4.869,,,,,,
1868,28.587000000000003,5.089,28.556,4.896,,,,
1869,28.706000000000003,5.212,28.446,4.914,28.435000000000002,4.556,,
1870,28.428,5.352,28.394000000000002,4.783,28.400000000000002,4.505,,
1871,28.172,4.765000000000001,28.368000000000002,4.561,28.373,4.465,28.451,4.2940000000000005
1872,28.079,4.425,28.228,4.408,28.388,4.433,28.494,4.269
1873,28.454,4.897,28.226000000000003,4.357,28.454,4.398000000000001,28.481,4.245
1874,28.009,4.603,28.301000000000002,4.34,28.498,4.351,28.515,4.246
1875,28.416,4.659,28.393,4.3790000000000004,28.481,4.273000000000001,28.497,4.224
1876,28.547,4.66,28.580000000000002,4.433,28.470000000000002,4.232,28.495,4.2090000000000005
1877,28.540000000000003,4.562,28.727,4.391,28.556,4.212,28.508000000000003,4.19
1878,29.386000000000003,4.4030000000000005,28.721,4.317,28.545,4.221,28.5,4.155
1879,28.745,4.644,28.693,4.207,28.595000000000002,4.216,28.495,4.157
1880,28.385,4.3020000000000005,28.712000000000003,4.281000000000001,28.593,4.187,28.507,4.1450000000000005
1881,28.41,4.503,28.577,4.275,28.617,4.1530000000000005,28.507,4.149
1882,28.635,4.5200000000000005,28.481,4.172000000000001,28.628,4.134,28.535,4.149
1883,28.709000000000003,4.248,28.473000000000003,4.202,28.545,4.215,28.533,4.117
1884,28.265,4.525,28.541,4.227,28.492,4.2620000000000005,28.545,4.133
1885,28.346,4.605,28.529,4.219,28.533,4.266,28.561,4.146
1886,28.749000000000002,4.489,28.438000000000002,4.3260000000000005,28.543000000000003,4.248,28.579,4.135
1887,28.578000000000003,4.3660000000000005,28.551000000000002,4.453,28.515,4.243,28.579,4.128
1888,28.253,4.852,28.583000000000002,4.353,28.521,4.205,28.585,4.123
1889,28.826,4.824,28.51,4.282,28.495,4.219,28.572000000000003,4.126
1890,28.51,4.3950000000000005,28.547,4.2620000000000005,28.529,4.2250000000000005,28.587000000000003,4.123
1891,28.381,4.429,28.541,4.229,28.542,4.197,28.623,4.131
1892,28.765,4.6290000000000004,28.48,4.265000000000001,28.53,4.174,28.611,4.131
1893,28.221,4.4270000000000005,28.46,4.2330000000000005,28.625,4.180000000000001,28.637,4.134
1894,28.522000000000002,4.565,28.578000000000003,4.308,28.652,4.219,28.646,4.135
1895,28.409000000000002,4.399,28.586000000000002,4.199,28.641000000000002,4.266,28.652,4.103
1896,28.972,5.418,28.755000000000003,4.284,28.704,4.261,28.655,4.107
1897,28.805000000000003,4.429,28.797,4.405,28.708000000000002,4.228,28.649,4.11
1898,29.067,4.871,28.860000000000003,4.464,28.752000000000002,4.219,28.673000000000002,4.13
1899,28.732000000000003,4.349,28.843,4.2010000000000005,28.797,4.267,28.649,4.134
1900,28.724,4.348,28.85,4.287,28.775000000000002,4.255,28.622,4.138
1901,28.888,4.252,28.815,4.219,28.769000000000002,4.184,28.612000000000002,4.135
1902,28.84,4.449,28.763,4.188000000000001,28.768,4.175,28.602,4.122
1903,28.889000000000003,4.537,28.734,4.157,28.721,4.13,28.614,4.1290000000000004
1904,28.476000000000003,4.305,28.723000000000003,4.123,28.645000000000003,4.093,28.626,4.135
1905,28.576,4.253,28.636000000000003,4.095,28.603,4.062,28.646,4.147
1906,28.836000000000002,4.468,28.545,4.155,28.521,4.103,28.66,4.117
1907,28.402,4.284,28.482000000000003,4.109,28.496000000000002,4.098,28.668000000000003,4.098
1908,28.435000000000002,4.1850000000000005,28.437,4.123,28.476000000000003,4.13,28.617,4.08
1909,28.161,4.489,28.312,4.239,28.455000000000002,4.126,28.610000000000003,4.064
1910,28.352,4.391,28.366000000000003,4.304,28.518,4.126,28.62,4.065
1911,28.212000000000003,4.498,28.348000000000003,4.409,28.551000000000002,4.138,28.597,4.066
1912,28.67,4.266,28.474,4.261,28.568,4.0920000000000005,28.611,4.089
1913,28.343,4.635,28.62,4.234,28.514000000000003,4.133,28.593,4.101
1914,28.794,4.311,28.798000000000002,4.08,28.575000000000003,4.075,28.588,4.091
1915,29.080000000000002,4.293,28.736,4.136,28.636000000000003,4.112,28.595000000000002,4.095
1916,29.104000000000003,4.813000000000001,28.745,4.324,28.673000000000002,4.157,28.588,4.083
1917,28.358,4.319,28.755000000000003,4.364,28.725,4.237,28.592000000000002,4.079000000000001
1918,28.389000000000003,4.485,28.655,4.3950000000000005,28.711000000000002,4.296,28.585,4.077
1919,28.845000000000002,4.5360000000000005,28.585,4.348,28.720000000000002,4.285,28.605,4.077
1920,28.580000000000002,4.323,28.674000000000003,4.398000000000001,28.673000000000002,4.2940000000000005,28.621000000000002,4.094
1921,28.754,4.571,28.704,4.332,28.625,4.226,28.639000000000003,4.1080000000000005
1922,28.8,4.556,28.683,4.222,28.617,4.141,28.649,4.104
1923,28.543000000000003,4.195,28.615000000000002,4.182,28.657,4.142,28.649,4.117
1924,28.739,4.187,28.624000000000002,4.086,28.635,4.103,28.644000000000002,4.128
1925,28.239,4.322,28.563000000000002,4.211,28.606,4.093,28.613000000000003,4.135
1926,28.796000000000003,4.37,28.586000000000002,4.16,28.604000000000003,4.083,28.580000000000002,4.111
1927,28.5,4.4670000000000005,28.558,4.098,28.573,4.087,28.59,4.107
1928,28.655,4.424,28.6,4.086,28.587000000000003,4.104,28.62,4.1000000000000005
1929,28.601000000000003,4.439,28.548000000000002,4.0840000000000005,28.569000000000003,4.11,28.616000000000003,4.079000000000001
1930,28.450000000000003,4.178,28.607000000000003,4.1370000000000005,28.553,4.085,28.610000000000003,4.07
1931,28.536,4.359,28.6,4.140000000000001,28.536,4.071,28.64,4.063000000000001
1932,28.796000000000003,4.333,28.533,4.141,28.563000000000002,4.1080000000000005,28.639000000000003,4.0920000000000005
1933,28.618000000000002,4.255,28.514000000000003,4.1080000000000005,28.584000000000003,4.104,28.647000000000002,4.113
1934,28.264000000000003,4.172000000000001,28.560000000000002,4.114,28.596,4.113,28.642000000000003,4.114
1935,28.358,4.466,28.55,4.1240000000000006,28.613000000000003,4.12,28.672,4.097
1936,28.766000000000002,4.297000000000001,28.591,4.128,28.676000000000002,4.111,28.685000000000002,4.087
1937,28.744000000000003,4.4670000000000005,28.689,4.151,28.706000000000003,4.148000000000001,28.689,4.085
1938,28.825000000000003,4.333,28.770000000000003,4.188000000000001,28.708000000000002,4.168,28.702,4.091
1939,28.751,4.222,28.847,4.196,28.715,4.180000000000001,28.717000000000002,4.091
1940,28.762,4.171,28.858,4.272,28.791,4.164000000000001,28.736,4.0920000000000005
1941,29.154,4.431,28.818,4.237,28.834000000000003,4.15,28.749000000000002,4.099
1942,28.8,4.5520000000000005,28.826,4.2330000000000005,28.814,4.155,28.761000000000003,4.104
1943,28.623,4.218,28.854000000000003,4.21,28.819000000000003,4.157,28.773000000000003,4.104
1944,28.791,4.235,28.803,4.163,28.837000000000003,4.140000000000001,28.796000000000003,4.109
1945,28.901,4.503,28.778000000000002,4.147,28.859,4.162,28.825000000000003,4.111
1946,28.901,4.255,28.860000000000003,4.216,28.823,4.173,28.830000000000002,4.106
1947,28.676000000000002,4.267,28.857000000000003,4.259,28.816000000000003,4.184,28.806,4.13
1948,29.03,4.591,28.868000000000002,4.258,28.837000000000003,4.208,28.807000000000002,4.144
1949,28.778000000000002,4.348,28.806,4.285,28.878,4.228,28.802000000000003,4.135
1950,28.955000000000002,4.515000000000001,28.876,4.372,28.859,4.214,28.804000000000002,4.146
1951,28.591,4.263,28.846,4.257000000000001,28.826,4.218,28.784000000000002,4.15
1952,29.026000000000003,4.526,28.871000000000002,4.218,28.798000000000002,4.237,28.778000000000002,4.143
1953,28.879,4.147,28.82,4.189,28.795,4.227,28.773000000000003,4.156000000000001
1954,28.903000000000002,4.231,28.792,4.2,28.766000000000002,4.19,28.795,4.163
1955,28.702,4.303,28.69,4.216,28.749000000000002,4.167,28.775000000000002,4.152
1956,28.450000000000003,4.417,28.701,4.194,28.746000000000002,4.1610000000000005,28.775000000000002,4.1450000000000005
1957,28.518,4.267,28.658,4.19,28.740000000000002,4.126,28.782,4.149
1958,28.932000000000002,4.43,28.642000000000003,4.1610000000000005,28.709000000000003,4.13,28.794,4.141
1959,28.692,4.16,28.671000000000003,4.16,28.712000000000003,4.127,28.771,4.133
1960,28.62,4.218,28.755000000000003,4.17,28.691000000000003,4.117,28.781000000000002,4.122
1961,28.591,4.253,28.699,4.122,28.723000000000003,4.098,28.785,4.114
1962,28.939,4.162,28.767000000000003,4.122,28.766000000000002,4.104,28.767000000000003,4.1000000000000005
1963,28.654,4.17,28.758000000000003,4.103,28.792,4.091,28.773000000000003,4.104
1964,29.032,4.147,28.834000000000003,4.07,28.775000000000002,4.0920000000000005,28.762,4.123
1965,28.573,4.17,28.846,4.072,28.813000000000002,4.0920000000000005,28.751,4.13
1966,28.973000000000003,4.08,28.832,4.0840000000000005,28.825000000000003,4.079000000000001,28.745,4.148000000000001
1967,28.996000000000002,4.166,28.808,4.086,28.795,4.087,28.749000000000002,4.142
1968,28.587000000000003,4.174,28.891000000000002,4.096,28.838,4.099,28.746000000000002,4.125
1969,28.913,4.227,28.825000000000003,4.128,28.812,4.149,28.734,4.117
1970,28.986,4.134,28.768,4.139,28.811,4.1770000000000005,28.749000000000002,4.12
1971,28.646,4.1770000000000005,28.858,4.188000000000001,28.766000000000002,4.235,28.773000000000003,4.109
1972,28.709000000000003,4.327,28.798000000000002,4.311,28.731,4.214,28.781000000000002,4.099
1973,29.039,4.586,28.714000000000002,4.405,28.700000000000003,4.191,28.814,4.047000000000001
1974,28.613000000000003,4.718,28.661,4.472,28.692,4.197,28.835,4.008
1975,28.566000000000003,4.508,28.638,4.384,28.685000000000002,4.224,28.858,3.984
1976,28.376,4.343,28.554000000000002,4.252,28.720000000000002,4.219,28.861,3.984
1977,28.598000000000003,4.172000000000001,28.575000000000003,4.165,28.768,4.19,28.843,3.986
1978,28.616000000000003,4.105,28.699,4.083,28.790000000000003,4.063000000000001,28.861,3.984
1979,28.719,4.245,28.812,4.056,28.859,4.059,28.900000000000002,3.99
1980,29.186,4.0600000000000005,28.887,4.082,28.905,4.152,28.903000000000002,3.991
1981,28.943,4.228,29.107000000000003,4.253,28.956000000000003,4.204000000000001,28.928,4.0
1982,28.971,4.588,29.208000000000002,4.472,28.955000000000002,4.179,28.951,4.0120000000000005
1983,29.714000000000002,5.045,29.162000000000003,4.492,29.021,4.172000000000001,28.947000000000003,4.039000000000001
1984,29.226000000000003,4.8180000000000005,29.113000000000003,4.4350000000000005,29.107000000000003,4.172000000000001,28.962000000000003,4.07
1985,28.956000000000003,4.15,29.096,4.3100000000000005,29.121000000000002,4.2330000000000005,28.988000000000003,4.079000000000001
1986,28.700000000000003,4.222,29.044,4.112,29.136000000000003,4.2410000000000005,29.018,4.112
1987,28.885,4.089,29.022000000000002,4.05,29.134,4.234,29.059,4.1080000000000005
1988,29.453000000000003,4.085,29.075000000000003,4.038,29.104000000000003,4.176,29.097,4.098
1989,29.115000000000002,4.126,29.172,4.056,29.066000000000003,4.096,29.159000000000002,4.106
1990,29.220000000000002,4.347,29.223000000000003,4.1370000000000005,29.072000000000003,4.022,29.168000000000003,4.117
1991,29.185000000000002,4.063000000000001,29.101000000000003,4.164000000000001,29.081000000000003,4.032,29.171000000000003,4.109
1992,29.141000000000002,4.444,29.063000000000002,4.143,29.164,4.0520000000000005,29.179000000000002,4.102
1993,28.844,4.1610000000000005,29.079,4.069,29.174000000000003,4.038,29.201,4.057
1994,28.926000000000002,4.15,29.072000000000003,4.0680000000000005,29.211000000000002,4.063000000000001,29.208000000000002,4.023000000000001
1995,29.301000000000002,4.063000000000001,29.094,4.054,29.216,4.049,29.23,4.0040000000000004
1996,29.150000000000002,4.072,29.294,4.095,29.205000000000002,4.027,29.261000000000003,4.009
1997,29.249000000000002,4.322,29.373,4.134,29.224,4.015000000000001,29.314,4.01
1998,29.843,4.188000000000001,29.342000000000002,4.115,29.299000000000003,4.017,29.325000000000003,4.006
1999,29.323,4.219,29.345000000000002,4.055000000000001,29.351000000000003,4.022,29.316000000000003,4.01
2000,29.144000000000002,4.065,29.394000000000002,4.014,29.388,4.03,29.336000000000002,4.0040000000000004
2001,29.164,4.3,29.379,4.022,29.441000000000003,4.047000000000001,29.351000000000003,4.006
2002,29.497,4.125,29.394000000000002,4.035,29.464000000000002,4.002,29.37,4.0120000000000005
2003,29.765,4.106,29.493000000000002,4.0600000000000005,29.476000000000003,4.0120000000000005,29.41,4.015000000000001
2004,29.401000000000003,4.065,29.532,4.053,29.42,4.005,,
2005,29.639000000000003,4.434,29.563000000000002,4.0280000000000005,29.457,4.018,,
2006,29.360000000000003,4.102,29.479000000000003,4.04,29.497,4.029,,
2007,29.650000000000002,4.227,29.467000000000002,4.064,29.515,4.048,,
2008,29.345000000000002,4.157,29.479000000000003,4.1450000000000005,29.522000000000002,4.0520000000000005,,
2009,29.34,4.242,29.466,4.171,,,,
2010,29.698,4.163,29.435000000000002,4.194,,,,
2011,29.296000000000003,4.1530000000000005,29.57,4.082,,,,
2012,29.497,4.353,,,,,,
2013,30.017000000000003,4.611000000000001,,,,,,
