year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,4.612,1.5070000000000001,,,,,,
1866,4.943,1.569,4.5569999999999995,1.103,4.503,0.958,,
1867,4.308999999999999,1.432,4.6659999999999995,1.088,4.566,0.954,,
1868,4.8069999999999995,1.5110000000000001,4.657,1.19,4.5809999999999995,1.002,4.395,0.748
1869,4.661,1.6869999999999998,4.609999999999999,1.186,4.561999999999999,0.989,4.4399999999999995,0.7170000000000001
1870,4.566999999999999,1.6070000000000002,4.678999999999999,1.245,4.561999999999999,0.988,4.412999999999999,0.702
1871,4.705,1.4860000000000002,4.582999999999999,1.2810000000000001,4.536,0.988,4.43,0.704
1872,4.652,1.646,4.486,1.2000000000000002,4.507,0.9460000000000001,4.431,0.7030000000000001
1873,4.327999999999999,1.5859999999999999,4.484,1.0939999999999999,4.484999999999999,0.911,4.419,0.7010000000000001
1874,4.175,1.333,4.42,1.034,4.504,0.855,4.423,0.6859999999999999
1875,4.56,1.416,4.348,0.981,4.419,0.8420000000000001,4.414,0.7090000000000001
1876,4.385,1.358,4.3919999999999995,1.013,4.356999999999999,0.823,4.364,0.71
1877,4.292,1.212,4.395,1.083,4.295999999999999,0.796,4.348999999999999,0.71
1878,4.545,1.3940000000000001,4.306,1.0190000000000001,4.255999999999999,0.8,4.3469999999999995,0.706
1879,4.194,1.501,4.197,0.917,4.284,0.8140000000000001,4.3149999999999995,0.7110000000000001
1880,4.111,1.201,4.217,0.86,4.2669999999999995,0.776,4.326,0.692
1881,3.8409999999999997,1.232,4.133,0.874,4.191,0.759,4.319999999999999,0.6890000000000001
1882,4.396,1.2690000000000001,4.137,0.8560000000000001,4.191,0.7330000000000001,4.2989999999999995,0.6759999999999999
1883,4.124,1.202,4.122999999999999,0.8520000000000001,4.209,0.743,4.252,0.666
1884,4.215,1.181,4.1579999999999995,0.861,4.125,0.74,4.281,0.662
1885,4.037,1.178,4.178999999999999,0.857,4.233,0.743,4.285,0.656
1886,4.016,1.252,4.1579999999999995,0.861,4.2829999999999995,0.758,4.298,0.656
1887,4.504,1.191,4.236,0.864,4.302,0.758,4.317,0.649
1888,4.02,1.195,4.351999999999999,0.875,4.247999999999999,0.751,4.3309999999999995,0.654
1889,4.601999999999999,1.214,4.454,0.878,4.278,0.761,4.306,0.683
1890,4.619,1.3050000000000002,4.345,0.883,4.303,0.759,4.337,0.683
1891,4.5249999999999995,1.248,4.380999999999999,0.893,4.404999999999999,0.78,4.385,0.6970000000000001
1892,3.961,1.275,4.342,0.897,4.443,0.758,4.427,0.6890000000000001
1893,4.1979999999999995,1.221,4.394,0.886,4.454,0.774,4.441,0.6799999999999999
1894,4.406,1.1560000000000001,4.4319999999999995,0.859,4.487,0.804,4.455,0.7130000000000001
1895,4.879,1.35,4.457,0.8280000000000001,4.442,0.78,4.463,0.7110000000000001
1896,4.717,1.046,4.571,0.873,4.486,0.784,4.497999999999999,0.71
1897,4.084,1.07,4.558999999999999,0.827,4.552,0.778,4.495,0.698
1898,4.768,1.556,4.5649999999999995,0.8440000000000001,4.6339999999999995,0.777,4.4879999999999995,0.745
1899,4.345,0.919,4.628,0.996,4.630999999999999,0.819,4.527,0.753
1900,4.909,1.0710000000000002,4.668,0.855,4.624,0.8280000000000001,4.492,0.762
1901,5.0329999999999995,1.5670000000000002,4.699,0.914,4.59,0.8160000000000001,4.481,0.76
1902,4.284,1.2389999999999999,4.678,1.0070000000000001,4.545999999999999,0.813,4.497,0.767
1903,4.920999999999999,1.916,4.641,0.88,4.521,0.8480000000000001,4.537999999999999,0.764
1904,4.244,1.131,4.436999999999999,0.74,4.566999999999999,0.804,4.5569999999999995,0.756
1905,4.721,1.1179999999999999,4.455,0.9390000000000001,4.5409999999999995,0.8440000000000001,4.5569999999999995,0.755
1906,4.015,0.968,4.39,0.781,4.476,0.819,4.539,0.773
