year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1864,,,,,,,,
1865,27.361,1.845,,,,,,
1866,26.637,1.26,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,26.629,1.1139999999999999,,
1870,26.493000000000002,1.8739999999999999,,,26.538,1.02,,
1871,26.663,1.57,26.627000000000002,1.262,,,,
1872,26.592000000000002,1.592,26.476,1.18,,,,
1873,26.831,1.528,26.52,1.101,,,,
1874,25.801000000000002,1.581,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,26.613,0.8999999999999999
1879,27.148,1.389,,,,,26.63,0.9019999999999999
1880,26.549,1.315,26.648,0.994,,,26.656000000000002,0.8779999999999999
1881,26.646,1.572,26.604,0.9359999999999999,26.634,0.8049999999999999,26.683,0.8859999999999999
1882,26.004,1.263,26.454,0.839,26.661,0.822,26.689,0.8799999999999999
1883,26.675,0.861,26.439,0.832,26.682000000000002,0.913,26.686,0.853
1884,26.398,0.964,26.537,0.798,26.635,0.965,26.69,0.837
1885,26.473,0.865,26.654,0.956,26.687,0.974,26.698,0.848
1886,27.136,1.254,26.76,1.17,26.740000000000002,1.052,26.694,0.837
1887,26.586000000000002,2.002,26.925,1.367,26.757,1.0310000000000001,26.696,0.825
1888,27.208000000000002,1.803,27.014,1.41,26.809,1.0110000000000001,26.646,0.8089999999999999
1889,27.220000000000002,1.3359999999999999,26.957,1.374,26.788,1.033,26.618000000000002,0.794
1890,26.921,1.017,26.976,1.123,26.819,1.0459999999999998,26.624000000000002,0.788
1891,26.851,1.1,26.812,0.897,26.755,1.012,26.616,0.786
1892,26.68,0.899,26.649,0.825,26.731,0.942,26.674,0.77
1893,26.387,0.865,26.611,0.788,26.611,0.75,26.701,0.7589999999999999
1894,26.407,1.0190000000000001,26.417,0.698,26.601,0.673,26.684,0.7629999999999999
1895,26.729,0.819,26.451,0.633,26.561,0.6779999999999999,26.682000000000002,0.741
1896,25.882,0.7989999999999999,26.383,0.6819999999999999,26.493000000000002,0.6809999999999999,26.651,0.717
1897,26.848,0.913,26.484,0.766,26.591,0.6619999999999999,26.639,0.695
1898,26.049,1.033,26.456,0.889,26.593,0.688,26.574,0.638
1899,26.91,1.103,26.733,0.85,26.580000000000002,0.693,26.538,0.634
1900,26.588,1.095,26.786,0.764,26.545,0.6829999999999999,26.54,0.633
1901,27.268,0.786,26.854,0.762,26.547,0.707,26.490000000000002,0.641
1902,27.117,0.991,26.696,0.749,26.547,0.712,26.466,0.631
1903,26.384,1.158,26.578,0.9099999999999999,26.537,0.73,26.454,0.659
1904,26.12,1.0659999999999998,26.426000000000002,0.931,26.474,0.752,26.443,0.6599999999999999
1905,26.003,1.131,26.269000000000002,0.897,26.519000000000002,0.768,26.443,0.6619999999999999
1906,26.503,0.938,26.191000000000003,0.832,26.488,0.7769999999999999,26.456,0.669
1907,26.335,0.956,26.307000000000002,0.782,26.341,0.748,26.487000000000002,0.659
1908,25.995,0.798,26.437,0.688,26.314,0.692,26.54,0.649
1909,26.698,0.7749999999999999,26.282,0.653,26.305,0.6619999999999999,26.526,0.6419999999999999
1910,26.655,0.743,26.339000000000002,0.621,26.341,0.6819999999999999,26.513,0.643
1911,25.728,0.738,26.356,0.6809999999999999,26.365000000000002,0.667,26.474,0.619
1912,26.617,1.029,26.281000000000002,0.828,26.427,0.655,26.404,0.618
1913,26.082,0.923,26.314,0.806,26.542,0.653,26.407,0.625
1914,26.323,1.1520000000000001,26.566,0.831,26.578,0.69,26.435000000000002,0.621
1915,26.818,0.859,26.622,0.747,26.507,0.705,26.457,0.627
1916,26.990000000000002,0.848,26.675,0.717,26.46,0.6869999999999999,26.479,0.63
