year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,,,,,,,,
1891,,,,,,,,
1892,,,,,,,,
1893,,,,,,,,
1894,,,,,,,,
1895,,,,,,,,
1896,,,,,,,,
1897,,,,,,,,
1898,22.436,1.255,,,,,,
1899,22.189,1.134,22.483,0.802,,,,
1900,22.578,1.113,22.465,0.778,22.353,0.69,,
1901,22.84,1.075,22.507,0.7769999999999999,22.371,0.688,22.338,0.598
1902,22.281,1.131,22.433,0.7669999999999999,22.381,0.673,22.331,0.588
1903,22.645,1.242,22.338,0.764,22.308,0.669,22.37,0.587
1904,21.819,1.157,22.3,0.75,22.358,0.6759999999999999,22.39,0.576
1905,22.103,1.1139999999999999,22.245,0.753,22.415,0.663,22.407,0.571
1906,22.654,1.197,22.152,0.748,22.351,0.661,22.414,0.57
1907,22.005,1.001,22.39,0.84,22.324,0.653,22.432,0.566
1908,22.177,1.093,22.459,0.821,22.35,0.655,22.393,0.558
1909,23.012,1.779,22.293,0.7929999999999999,22.409,0.644,22.397,0.56
1910,22.445,0.9610000000000001,22.408,0.736,22.461,0.651,22.396,0.5609999999999999
1911,21.823,0.86,22.53,0.766,22.457,0.6799999999999999,22.377,0.564
1912,22.58,0.9969999999999999,22.467,0.6890000000000001,22.483,0.6910000000000001,22.369,0.5569999999999999
1913,22.788,1.048,22.475,0.687,22.478,0.6579999999999999,22.377,0.5469999999999999
1914,22.7,1.08,22.638,0.737,22.437,0.643,22.388,0.572
1915,22.483,1.03,22.594,0.7729999999999999,22.377,0.633,22.345,0.607
1916,22.638,1.133,22.352,0.754,22.402,0.654,22.319,0.661
1917,22.362,0.984,22.317,0.722,22.413,0.6559999999999999,22.321,0.6639999999999999
1918,21.576999999999998,1.232,22.276,0.72,22.403,0.65,22.339,0.688
1919,22.527,0.9119999999999999,22.225,0.749,22.367,0.6930000000000001,22.314,0.6930000000000001
1920,22.276,1.013,22.258,0.75,22.228,0.764,22.267,0.6950000000000001
1921,22.381,0.9430000000000001,22.326,0.721,22.18,0.8220000000000001,22.242,0.739
1922,22.53,0.858,22.329,0.757,22.16,0.827,22.259,0.7869999999999999
1923,21.915,1.32,22.042,1.038,22.199,0.815,22.266,0.759
1924,22.544,0.886,22.088,1.034,22.192,0.827,22.243,0.759
1925,20.839,2.1310000000000002,22.054,1.107,22.157,0.843,22.234,0.759
1926,22.611,0.844,22.122,0.968,22.082,0.917,22.22,0.757
1927,22.364,0.8180000000000001,22.027,0.97,22.104,1.006,22.207,0.73
1928,22.253,0.741,22.21,0.716,22.13,0.9670000000000001,22.273,0.657
1929,22.069,0.887,22.111,0.823,22.119,0.884,22.298,0.625
1930,21.755,0.8009999999999999,22.108,0.9490000000000001,22.24,0.79,22.293,0.604
1931,22.113,1.284,22.273,0.844,22.26,0.718,22.333,0.58
1932,22.351,1.404,22.287,0.7949999999999999,22.254,0.665,22.384,0.579
1933,23.08,0.976,22.361,0.8109999999999999,22.348,0.591,22.387,0.577
1934,22.137,0.728,22.424,0.632,22.404,0.621,22.338,0.5429999999999999
1935,22.125,0.853,22.473,0.733,22.429,0.705,22.434,0.5489999999999999
1936,22.43,0.9279999999999999,22.483,0.891,22.585,0.861,22.499,0.571
1937,22.595,1.214,22.539,1.156,22.663,0.917,22.543,0.574
1938,23.127,1.8579999999999999,22.642,1.296,22.644,0.848,22.571,0.586
1939,22.419,1.734,22.818,1.345,22.558,0.855,22.616,0.594
1940,22.642,0.933,22.942,1.095,22.627,0.864,22.661,0.602
1941,23.307,1.126,22.695,0.837,22.739,0.876,22.697,0.634
1942,23.214,1.065,22.579,0.627,22.833,0.825,22.721,0.687
1943,21.894,0.845,22.708,0.566,22.794,0.6799999999999999,22.726,0.659
1944,21.835,0.878,22.721,0.586,22.828,0.605,22.73,0.667
1945,23.29,0.575,22.706,0.531,22.894,0.537,22.738,0.6759999999999999
1946,23.374,0.9530000000000001,22.872,0.5389999999999999,22.81,0.536,22.721,0.6819999999999999
1947,23.139,0.735,23.152,0.653,22.779,0.532,22.724,0.6659999999999999
1948,22.722,0.6890000000000001,23.034,0.6619999999999999,22.808,0.573,22.686,0.611
1949,23.238,0.731,22.837,0.635,22.902,0.618,22.695,0.576
1950,22.7,0.6930000000000001,22.827,0.665,22.849,0.626,22.722,0.548
1951,22.384,0.831,22.827,0.6619999999999999,22.703,0.612,22.685,0.546
1952,23.092,0.838,22.631,0.653,22.614,0.626,22.652,0.536
1953,22.722,0.7649999999999999,22.578,0.642,22.579,0.639,22.667,0.548
1954,22.259,0.821,22.533,0.643,22.562,0.617,22.713,0.563
1955,22.431,0.7669999999999999,22.404,0.659,22.55,0.588,22.683,0.563
1956,22.161,0.738,22.395,0.6559999999999999,22.559,0.595,22.662,0.5569999999999999
1957,22.447,0.857,22.499,0.58,22.525,0.565,22.64,0.55
1958,22.679,0.77,22.459,0.589,22.525,0.5489999999999999,22.615,0.5429999999999999
1959,22.775,0.659,22.584,0.563,22.523,0.544,22.568,0.53
1960,22.234,0.608,22.636,0.5389999999999999,22.517,0.5489999999999999,22.558,0.52
1961,22.783,0.517,22.553,0.526,22.622,0.544,22.58,0.511
1962,22.707,0.615,22.629,0.538,22.665,0.519,22.547,0.49
1963,22.265,0.65,22.67,0.552,22.652,0.499,22.537,0.473
1964,23.158,0.565,22.672,0.5529999999999999,22.575,0.494,22.52,0.46799999999999997
1965,22.436,0.585,22.55,0.55,22.566,0.516,22.486,0.47
1966,22.796,0.572,22.56,0.514,22.601,0.507,22.487,0.45899999999999996
1967,22.094,0.538,22.467,0.516,22.569,0.491,22.464,0.45399999999999996
1968,22.316,0.567,22.584,0.508,22.548,0.498,22.484,0.45199999999999996
1969,22.695,0.554,22.514,0.519,22.518,0.501,22.461,0.45499999999999996
1970,23.02,0.526,22.492,0.563,22.454,0.52,22.46,0.45799999999999996
1971,22.445,0.71,22.648,0.5469999999999999,22.353,0.524,22.479,0.46499999999999997
1972,21.982,0.737,22.426,0.601,22.262,0.52,22.448,0.45699999999999996
1973,23.1,0.575,22.239,0.628,22.316,0.513,22.46,0.46199999999999997
1974,21.582,0.758,22.079,0.576,22.348,0.502,22.502,0.46699999999999997
1975,22.088,0.566,22.186,0.512,22.354,0.51,22.531,0.475
1976,21.641,0.556,22.085,0.508,22.357,0.508,22.555,0.484
1977,22.521,0.58,22.334,0.505,22.327,0.497,22.571,0.486
1978,22.594,0.548,22.467,0.526,22.372,0.479,22.612,0.481
1979,22.829,0.626,22.609,0.511,22.486,0.475,22.609,0.476
1980,22.749,0.593,22.559,0.5,22.607,0.46599999999999997,22.601,0.483
1981,22.352,0.577,22.777,0.49,22.757,0.46399999999999997,22.599,0.473
1982,22.27,0.6,22.792,0.508,22.881,0.46499999999999997,22.631,0.46599999999999997
1983,23.685,0.5569999999999999,22.865,0.528,22.908,0.46099999999999997,22.694,0.46099999999999997
1984,22.903,0.59,23.1,0.518,22.87,0.46499999999999997,22.736,0.45799999999999996
1985,23.117,0.568,23.311,0.497,22.847,0.482,22.795,0.46099999999999997
1986,23.528,0.519,23.048000000000002,0.482,22.842,0.478,22.833,0.45599999999999996
1987,23.324,0.528,22.844,0.46499999999999997,22.935,0.469,22.828,0.45399999999999996
1988,22.366,0.46699999999999997,22.763,0.46499999999999997,23.016,0.473,22.801,0.44999999999999996
