year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1886,,,,,,,,
1887,29.797,1.216,,,,,,
1888,,,,,,,,
1889,,,30.028,1.101,,,,
1890,30.114,1.255,30.053,1.112,29.929,1.05,,
1891,29.905,1.221,30.005,1.108,29.941,1.056,,
1892,29.926,1.2309999999999999,29.89,1.105,29.961,1.048,,
1893,29.59,1.2189999999999999,29.834,1.116,30.006,1.053,,
1894,29.916999999999998,1.308,29.855,1.104,30.02,1.05,,
1895,29.832,1.205,29.925,1.105,29.969,1.064,29.994,0.9530000000000001
1896,30.009,1.183,30.037,1.103,30.019,1.065,30.005,0.9530000000000001
1897,30.277,1.26,30.059,1.105,30.041,1.065,30.022,0.95
1898,30.152,1.2610000000000001,30.159,1.124,,,30.026,0.9470000000000001
1899,30.026,1.323,,,,,30.024,0.9410000000000001
1900,,,,,,,29.994,0.942
1901,,,,,,,29.999,0.938
1902,,,,,,,29.992,0.948
1903,29.863,1.244,,,,,30.035,0.9530000000000001
1904,29.648,1.2189999999999999,29.955,1.072,,,30.064999999999998,0.94
1905,29.924,1.171,29.928,1.034,30.019,1.004,30.101,0.9339999999999999
1906,30.342,1.189,29.948999999999998,1.0190000000000001,29.98,0.993,30.121,0.931
1907,29.865,1.15,30.003999999999998,1.021,29.942,1.004,30.124,0.929
1908,29.965,1.133,30.015,1.0230000000000001,29.997,1.014,30.116,0.925
1909,29.923,1.099,29.93,1.0190000000000001,30.06,1.005,30.086,0.918
1910,29.977999999999998,1.176,30.012999999999998,1.13,30.144,0.998,30.086,0.914
1911,29.916,1.171,30.096999999999998,1.099,30.172,0.981,30.07,0.906
1912,30.284,1.854,30.219,1.061,30.163999999999998,0.972,30.052,0.899
1913,30.384,1.2269999999999999,30.307,1.04,30.187,0.967,30.063,0.89
1914,30.534,1.334,30.377,1.009,30.144,0.966,30.066,0.9
1915,30.415,1.1139999999999999,30.339,1.035,30.153,0.967,30.085,0.914
1916,30.269,1.188,30.208,0.984,30.160999999999998,0.9510000000000001,30.085,0.902
1917,30.093,1.172,30.108,0.968,30.160999999999998,0.9470000000000001,30.086,0.893
1918,29.729,1.1099999999999999,30.009999999999998,0.993,30.128,0.958,30.116,0.912
1919,30.035,1.3,29.964,1.001,30.070999999999998,0.975,30.13,0.9339999999999999
1920,29.923,1.215,29.96,1.05,30.026,0.997,30.136,0.9390000000000001
1921,30.04,1.2610000000000001,29.971999999999998,1.064,29.997,0.978,30.144,0.905
1922,30.072,1.172,29.983999999999998,1.079,30.008,0.975,30.168,0.917
1923,29.79,1.056,30.006999999999998,1.087,30.044999999999998,1.0150000000000001,30.149,0.942
1924,30.093,1.192,30.06,1.001,30.116,1.053,30.137999999999998,0.9490000000000001
1925,30.04,1.108,30.096,0.987,30.119,1.072,30.11,0.948
1926,30.303,1.259,30.212,1.065,30.128,0.998,30.096,0.938
1927,30.255,1.263,30.226,1.108,30.176,0.979,30.096999999999998,0.946
1928,30.369,1.544,30.224,1.044,30.169999999999998,0.984,30.115,0.95
1929,30.162,1.274,30.252,1.048,30.205,0.974,30.143,0.9470000000000001
1930,30.032,1.074,30.219,1.008,30.194,0.96,30.168,0.948
