year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,34.657000000000004,1.088,,,,,,
1880,34.131,1.071,34.479,0.6719999999999999,,,,
1881,34.509,1.047,34.343,0.665,34.324,0.581,,
1882,34.258,1.061,34.193,0.636,34.317,0.571,,
1883,34.163000000000004,1.003,34.161,0.626,34.229,0.5589999999999999,34.199,0.487
1884,33.906,0.9929999999999999,34.131,0.613,34.134,0.5469999999999999,34.216,0.498
1885,33.972,1.047,34.066,0.596,34.182,0.5349999999999999,34.233000000000004,0.49
1886,34.356,0.956,34.005,0.59,34.161,0.534,34.239,0.489
1887,33.932,1.022,34.136,0.577,34.118,0.5369999999999999,34.244,0.481
1888,33.861,0.9570000000000001,34.185,0.595,34.076,0.536,34.242,0.474
1889,34.561,1.004,34.116,0.608,34.099000000000004,0.554,34.215,0.476
1890,34.213,0.98,34.142,0.634,34.142,0.544,34.22,0.473
1891,34.013,0.9630000000000001,34.11,0.641,34.153,0.548,34.238,0.469
1892,34.06,0.9770000000000001,34.102000000000004,0.64,34.171,0.5369999999999999,34.238,0.45899999999999996
1893,33.701,0.948,34.135,0.61,34.255,0.53,34.248,0.45899999999999996
1894,34.523,0.974,34.172,0.596,34.295,0.5389999999999999,34.237,0.47
1895,34.38,0.907,34.29,0.597,34.258,0.5549999999999999,34.22,0.52
1896,34.194,0.9510000000000001,34.486,0.64,34.316,0.5509999999999999,34.241,0.518
1897,34.65,0.954,34.449,0.645,34.358000000000004,0.55,34.264,0.506
1898,34.683,1.098,34.451,0.64,34.42,0.5800000000000001,34.27,0.531
1899,34.337,1.038,34.525,0.6439999999999999,34.375,0.5800000000000001,34.279,0.542
1900,34.389,0.938,34.513,0.639,34.298,0.64,34.261,0.5720000000000001
1901,34.565,0.933,34.391,0.637,34.328,0.618,34.268,0.573
1902,34.591,0.8540000000000001,34.138,0.707,34.356,0.61,34.251,0.5780000000000001
1903,34.075,1.171,34.13,0.735,34.286,0.651,34.283,0.583
1904,33.068,1.7,34.192,0.716,34.264,0.647,34.319,0.563
1905,34.35,1.183,34.118,0.738,34.264,0.6759999999999999,34.371,0.567
1906,34.878,0.754,34.168,0.8300000000000001,34.22,0.683,34.405,0.5609999999999999
1907,34.219,0.751,34.368,0.766,34.145,0.6930000000000001,34.423,0.581
1908,34.325,1.1159999999999999,34.321,0.7050000000000001,34.146,0.673,34.409,0.583
1909,34.068,1.152,34.147,0.75,34.262,0.621,34.412,0.5700000000000001
1910,34.116,0.8839999999999999,34.167,0.6990000000000001,34.444,0.5509999999999999,34.434,0.5760000000000001
1911,34.009,0.8739999999999999,34.184,0.71,34.482,0.5760000000000001,34.391,0.589
1912,34.319,1.159,34.422,0.745,34.489,0.616,34.384,0.602
1913,34.407000000000004,0.96,34.634,0.723,34.531,0.62,34.405,0.611
1914,35.257,0.9039999999999999,34.85,0.766,34.56,0.6639999999999999,34.42,0.606
1915,35.177,0.8320000000000001,34.886,0.6990000000000001,34.605000000000004,0.6579999999999999,34.464,0.577
1916,35.089,0.9279999999999999,34.841,0.6990000000000001,34.563,0.685,34.482,0.589
1917,34.502,0.8029999999999999,34.773,0.694,34.622,0.6619999999999999,34.503,0.596
1918,34.179,0.958,34.514,0.738,34.663000000000004,0.6679999999999999,34.535000000000004,0.5780000000000001
1919,34.918,0.873,34.319,0.724,34.578,0.6659999999999999,34.558,0.593
1920,33.88,0.919,34.36,0.757,34.483000000000004,0.655,34.535000000000004,0.5760000000000001
1921,34.116,1.138,34.412,0.715,34.483000000000004,0.6539999999999999,34.554,0.567
1922,34.706,0.861,34.358000000000004,0.6839999999999999,34.517,0.631,34.615,0.552
1923,34.437,0.704,34.427,0.632,34.539,0.5800000000000001,34.637,0.524
1924,34.651,0.742,34.58,0.584,34.555,0.558,34.626,0.509
