year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,32.063,0.925,,,,,,
1876,32.191,0.7370000000000001,32.14,0.544,,,,
1877,32.315,0.694,32.32,0.5860000000000001,32.251,0.41400000000000003,,
1878,32.647,0.706,32.381,0.46499999999999997,32.256,0.355,,
1879,32.382,0.7290000000000001,32.443,0.46199999999999997,32.25,0.32,,
1880,32.367000000000004,0.794,32.45,0.498,32.244,0.301,,
1881,32.501,0.9690000000000001,32.357,0.475,32.244,0.296,32.012,0.515
1882,32.354,0.6759999999999999,32.209,0.452,32.231,0.32999999999999996,32.006,0.5249999999999999
1883,32.183,0.728,32.118,0.41000000000000003,32.111000000000004,0.379,31.992,0.493
1884,31.638,0.9570000000000001,,,32.004,0.48,32.013,0.46399999999999997
1885,,,,,31.959,0.595,32.023,0.456
1886,32.143,0.8220000000000001,,,31.818,0.738,32.035000000000004,0.422
1887,31.534000000000002,1.006,31.783,0.9119999999999999,31.761000000000003,0.7769999999999999,32.028,0.381
1888,31.582,0.958,31.662000000000003,1.132,31.727,0.734,32.054,0.345
1889,31.740000000000002,1.726,31.52,1.244,31.777,0.692,32.028,0.33599999999999997
1890,31.312,1.5,31.603,1.108,31.803,0.6819999999999999,32.050000000000004,0.33799999999999997
1891,31.433,1.274,31.717000000000002,0.813,31.826,0.606,32.06,0.33699999999999997
1892,31.949,0.506,31.794,0.55,31.825000000000003,0.475,32.059000000000005,0.33599999999999997
1893,32.151,1.127,31.954,0.515,31.997,0.367,32.047000000000004,0.34299999999999997
1894,32.126,0.774,32.097,0.619,32.052,0.382,32.055,0.345
1895,32.108000000000004,0.7709999999999999,32.245000000000005,0.764,32.14,0.481,32.058,0.32799999999999996
1896,32.149,0.935,32.36,0.75,32.301,0.598,32.052,0.32499999999999996
1897,32.693,0.9770000000000001,32.401,0.732,32.358000000000004,0.655,32.066,0.33199999999999996
1898,32.722,1.056,32.492000000000004,0.6819999999999999,32.366,0.633,32.112,0.33999999999999997
1899,32.334,0.933,32.584,0.6759999999999999,32.333,0.585,32.15,0.363
1900,32.561,0.7649999999999999,32.508,0.611,32.312,0.5820000000000001,32.178000000000004,0.41300000000000003
1901,32.612,0.509,32.373000000000005,0.596,32.278,0.616,32.264,0.496
1902,32.313,0.698,32.248000000000005,0.53,32.307,0.5800000000000001,32.267,0.506
1903,32.044000000000004,0.8679999999999999,32.111000000000004,0.5700000000000001,32.228,0.511,32.288000000000004,0.484
1904,31.71,0.76,32.035000000000004,0.643,32.248000000000005,0.447,32.314,0.455
1905,31.877000000000002,1.164,32.018,0.5660000000000001,32.216,0.40700000000000003,32.34,0.435
1906,32.230000000000004,1.137,32.077,0.5489999999999999,32.228,0.422,32.345,0.42
1907,32.228,0.497,32.2,0.509,32.175000000000004,0.394,32.356,0.392
1908,32.337,0.524,32.359,0.438,32.21,0.41300000000000003,32.337,0.36
1909,32.325,0.54,32.322,0.457,32.294000000000004,0.441,32.317,0.32899999999999996
1910,32.674,0.5289999999999999,32.357,0.46,32.368,0.443,32.283,0.314
1911,32.044000000000004,0.583,32.405,0.443,32.412,0.39,32.269,0.313
1912,32.405,0.8580000000000001,32.476,0.509,32.404,0.385,32.267,0.31
1913,32.575,0.6859999999999999,32.423,0.395,32.445,0.398,32.283,0.33299999999999996
1914,32.684000000000005,1.029,32.487,0.449,32.385,0.377,32.298,0.32399999999999995
1915,32.406,0.905,32.521,0.437,32.35,0.357,32.347,0.32
1916,32.363,0.489,32.389,0.42,32.31,0.34299999999999997,32.364000000000004,0.32199999999999995
1917,32.578,0.6950000000000001,32.284,0.392,32.359,0.34299999999999997,32.385,0.32099999999999995
1918,31.916,0.502,32.223,0.33899999999999997,32.357,0.375,32.403,0.32
1919,32.157000000000004,0.492,32.204,0.313,32.301,0.348,32.408,0.314
1920,32.104,0.8300000000000001,32.186,0.386,32.327,0.32,32.411,0.315
