year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1853,,,,,,,,
1854,31.27,0.881,,,,,,
1855,31.000999999999998,1.051,30.936999999999998,0.651,,,,
1856,30.653,0.9139999999999999,30.951,0.6,30.843,0.489,,
1857,30.482,1.1420000000000001,30.928,0.621,30.873,0.503,,
1858,31.349,1.0070000000000001,30.875,0.76,30.948999999999998,0.664,,
1859,31.157,0.7789999999999999,30.844,0.828,30.891,0.689,,
1860,30.736,0.983,30.948,0.8089999999999999,30.883,0.761,31.031,0.489
1861,30.497,1.099,30.915,0.9059999999999999,30.967,0.754,31.076,0.506
1862,,,30.820999999999998,0.9009999999999999,31.066,0.691,31.133,0.523
1863,,,30.958,0.9059999999999999,31.125,0.651,31.2,0.578
1864,30.686999999999998,0.883,31.175,0.749,31.157,0.603,31.214,0.552
1865,31.419,1.195,31.296,0.647,31.216,0.592,31.214,0.54
1866,31.583,1.154,31.349999999999998,0.635,31.308,0.628,31.261,0.535
1867,31.602999999999998,1.026,31.57,0.6789999999999999,31.393,0.611,31.296,0.513
1868,31.459,0.9359999999999999,31.599999999999998,0.878,31.451,0.658,31.345,0.496
1869,31.787,1.401,31.587,0.872,31.535999999999998,0.67,31.397,0.495
1870,31.569,1.127,31.552,0.888,31.544,0.722,31.431,0.489
1871,31.515,0.877,31.642,0.9109999999999999,31.555,0.729,31.46,0.486
1872,31.432,1.207,31.518,0.7869999999999999,31.527,0.711,31.503999999999998,0.472
1873,31.907999999999998,1.458,31.514,0.7959999999999999,31.564,0.695,31.498,0.476
1874,31.166,1.063,31.499,0.8089999999999999,31.637,0.676,31.514,0.46599999999999997
1875,31.549,1.119,31.508,0.755,31.646,0.626,31.503,0.493
1876,31.438,0.9249999999999999,31.579,0.693,31.613,0.624,31.491,0.488
1877,31.48,0.668,31.756,0.699,31.616,0.594,31.48,0.45999999999999996
1878,32.26,0.7879999999999999,31.701999999999998,0.593,31.544999999999998,0.529,31.453,0.45499999999999996
1879,32.053,1.0070000000000001,31.711,0.528,31.492,0.508,31.442999999999998,0.444
1880,31.28,0.693,31.68,0.525,31.463,0.46799999999999997,31.448,0.40800000000000003
1881,31.483999999999998,0.636,31.441,0.473,31.427,0.404,31.445999999999998,0.424
1882,31.323,0.5589999999999999,31.189999999999998,0.398,31.434,0.386,31.458,0.434
1883,31.063,0.71,31.187,0.378,31.342,0.40700000000000003,31.416,0.395
1884,30.801,0.482,31.148,0.414,31.249,0.385,31.392,0.396
