year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1875,,,,,,,,
1876,10.422999999999998,1.8450000000000002,,,,,,
1877,9.710999999999999,1.8820000000000001,10.438999999999998,1.493,,,,
1878,9.947,1.8290000000000002,10.303999999999998,1.475,10.312999999999999,1.397,,
1879,10.831999999999999,1.709,10.316999999999998,1.483,10.37,1.368,,
1880,10.604999999999999,1.673,10.347,1.409,10.312,1.338,10.258,1.3610000000000002
1881,10.489999999999998,1.896,10.427,1.374,10.132,1.383,10.241999999999999,1.344
1882,9.86,1.488,10.329999999999998,1.391,10.106,1.334,10.236999999999998,1.338
1883,10.350999999999999,1.5230000000000001,9.982999999999999,1.435,10.191999999999998,1.304,10.247,1.31
1884,10.344999999999999,1.612,9.84,1.346,10.197,1.2770000000000001,10.251999999999999,1.32
1885,8.87,1.741,10.026,1.308,10.261,1.2510000000000001,10.248,1.331
1886,9.776,1.588,10.075,1.33,10.171,1.268,10.244,1.383
1887,10.786,1.808,10.071,1.3250000000000002,10.126999999999999,1.2990000000000002,10.257,1.344
1888,10.595999999999998,1.6280000000000001,10.459,1.389,10.18,1.2950000000000002,10.270999999999999,1.347
1889,10.325999999999999,1.597,10.322,1.346,10.135,1.335,10.274999999999999,1.315
1890,10.809999999999999,1.665,10.446,1.4060000000000001,10.184,1.381,10.316999999999998,1.332
1891,9.093,2.265,10.244,1.461,10.354999999999999,1.4580000000000002,10.283999999999999,1.352
1892,11.402999999999999,1.612,10.254,1.6110000000000002,10.408,1.424,10.311,1.3370000000000002
1893,9.587,1.7670000000000001,10.209,1.73,10.35,1.456,10.363999999999999,1.324
1894,10.376,2.269,10.550999999999998,1.622,10.354,1.4140000000000001,10.306999999999999,1.3330000000000002
1895,10.587,1.686,10.2,1.553,10.373,1.4700000000000002,10.348999999999998,1.355
1896,10.800999999999998,1.457,10.412999999999998,1.475,10.398,1.495,10.36,1.352
1897,9.651,1.534,10.591999999999999,1.3780000000000001,10.495999999999999,1.424,10.389999999999999,1.364
1898,10.646999999999998,1.645,10.485999999999999,1.3,10.546999999999999,1.3920000000000001,10.328,1.34
1899,11.273,1.7240000000000002,10.399,1.33,10.479,1.36,10.284999999999998,1.364
1900,10.059,1.465,10.754,1.32,10.513,1.362,10.29,1.4080000000000001
1901,10.364999999999998,1.633,10.601999999999999,1.355,10.364999999999998,1.2790000000000001,10.283,1.417
1902,11.424,1.772,10.399999999999999,1.347,10.370999999999999,1.328,10.273,1.37
1903,9.886999999999999,1.651,10.242999999999999,1.36,10.305,1.2550000000000001,10.277,1.395
1904,10.263,1.705,10.183,1.302,10.216,1.34,10.300999999999998,1.397
1905,9.274999999999999,1.604,9.931999999999999,1.368,10.206999999999999,1.365,10.318,1.389
1906,10.068,1.4420000000000002,9.946,1.282,10.168999999999999,1.3530000000000002,10.360999999999999,1.3940000000000001
1907,10.167,1.494,9.892,1.3450000000000002,10.050999999999998,1.338,10.382,1.481
1908,9.957999999999998,1.468,10.157,1.498,10.008,1.4340000000000002,10.415999999999999,1.516
1909,9.991999999999999,1.944,10.129999999999999,1.536,10.122,1.479,10.379,1.565
1910,10.600999999999999,2.18,10.133999999999999,1.528,10.122,1.465,10.373,1.5630000000000002
1911,9.93,1.508,10.171,1.722,10.357999999999999,1.565,10.299,1.5590000000000002
1912,10.19,1.4340000000000002,10.325999999999999,1.62,10.393999999999998,1.675,10.241999999999999,1.589
1913,10.139999999999999,2.0380000000000003,10.377999999999998,1.538,10.526,1.8370000000000002,10.235,1.641
1914,10.77,1.498,10.661,1.824,10.543,1.834,10.268999999999998,1.637
1915,10.861999999999998,1.8250000000000002,10.936,2.048,10.54,1.796,10.251,1.604
1916,11.343,2.68,10.931999999999999,2.035,10.427999999999999,1.792,10.344,1.581
1917,11.565,2.452,10.782,2.122,10.433,1.862,10.315999999999999,1.553
1918,10.120999999999999,1.9460000000000002,10.546,2.09,10.462,1.862,10.35,1.577
1919,10.017,1.862,10.129,1.834,10.415999999999999,1.815,10.345999999999998,1.5310000000000001
1920,9.68,1.698,9.911999999999999,1.677,10.379,1.766,10.267999999999999,1.495
1921,9.263,1.645,9.991999999999999,1.6440000000000001,10.329999999999998,1.6030000000000002,10.274999999999999,1.465
1922,10.476999999999999,1.6680000000000001,9.988999999999999,1.48,10.238999999999999,1.436,10.263,1.4740000000000002
1923,10.521999999999998,1.742,10.181,1.323,10.172999999999998,1.326,10.212,1.449
1924,10.004999999999999,1.5350000000000001,10.472,1.3130000000000002,10.149999999999999,1.2510000000000001,10.184999999999999,1.4220000000000002
