year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1849,,,,,,,,
1850,14.802,1.602,,,,,,
1851,14.913,1.602,14.79,1.404,,,,
1852,14.545,1.9170000000000003,14.74,1.5470000000000002,14.665,1.412,,
1853,15.06,1.7800000000000002,14.665,1.654,14.672,1.416,,
1854,14.379999999999999,2.068,14.637,1.662,14.677,1.439,,
1855,14.427,1.7400000000000002,14.573,1.572,14.695,1.4500000000000002,14.834999999999999,1.27
1856,14.774,1.6150000000000002,14.501,1.504,14.732,1.411,14.892,1.17
1857,14.222999999999999,1.496,14.631,1.339,14.743,1.374,14.895,1.155
1858,14.699,1.4180000000000001,14.74,1.3,14.769,1.306,14.933,1.15
1859,15.03,1.665,14.776,1.311,14.802999999999999,1.259,14.947,1.19
1860,14.975,1.4540000000000002,14.98,1.3330000000000002,14.947,1.2530000000000001,14.964,1.1880000000000002
1861,14.953,1.487,15.089,1.369,15.015,1.254,15.009,1.178
1862,15.241,1.5310000000000001,15.14,1.36,15.125,1.288,15.007,1.1680000000000001
1863,,,15.244,1.419,15.195,1.306,14.996,1.165
1864,15.285,1.8530000000000002,15.346,1.404,15.217,1.328,14.986,1.163
1865,15.496,1.7930000000000001,15.4,1.4580000000000002,15.233,1.318,15.017,1.167
1866,15.459,1.2280000000000002,15.346,1.4100000000000001,15.285,1.326,15.028,1.174
1867,15.513,1.594,15.346,1.3450000000000002,15.27,1.328,15.057,1.1800000000000002
1868,14.975,1.405,15.299999999999999,1.2570000000000001,15.222,1.284,15.084,1.177
1869,15.289,1.61,15.24,1.3130000000000002,15.17,1.2429999999999999,15.148,1.157
1870,15.261,1.473,15.075,1.2690000000000001,15.087,1.158,15.153,1.111
1871,15.158999999999999,1.477,15.049,1.287,15.041,1.1560000000000001,15.161,1.099
1872,14.689,1.501,14.876999999999999,1.254,14.988999999999999,1.147,15.186,1.087
1873,14.847,1.749,14.818999999999999,1.221,14.974,1.137,15.154,1.084
1874,14.427,1.7400000000000002,14.759,1.234,15.08,1.1400000000000001,15.131,1.05
1875,14.974,1.578,14.843,1.2200000000000002,15.072,1.1480000000000001,15.081999999999999,1.014
1876,14.859,1.441,15.007,1.222,15.038,1.127,15.05,1.026
1877,15.108,1.3050000000000002,15.214,1.17,15.102,1.121,15.012,1.038
1878,15.668,1.323,15.229,1.149,15.087,1.1300000000000001,14.982,1.0350000000000001
1879,15.462,1.439,15.395,1.1480000000000001,15.091,1.0830000000000002,14.958,1.037
1880,15.045,1.295,15.404,1.166,15.077,1.042,14.93,1.024
1881,15.69,1.286,15.172,1.114,15.06,1.0070000000000001,14.881,1.01
1882,15.154,1.38,14.947,1.024,15.035,1.0170000000000001,14.882,0.9930000000000001
1883,14.509,1.1520000000000001,14.92,0.984,14.991,1.0150000000000001,14.899,0.9870000000000001
1884,14.334999999999999,1.267,14.724,1.0350000000000001,14.837,1.0070000000000001,14.948,0.976
1885,14.911999999999999,1.2429999999999999,14.604,1.107,14.786999999999999,1.0170000000000001,14.946,0.9520000000000001
1886,14.708,1.475,14.666,1.141,14.725,1.025,14.962,0.93
1887,14.554,1.7069999999999999,14.711,1.151,14.661999999999999,1.0190000000000001,14.956999999999999,0.919
1888,14.823,1.215,14.677,1.2040000000000002,14.712,0.9690000000000001,14.978,0.899
1889,14.56,1.0830000000000002,14.592,1.098,14.804,0.9710000000000001,14.911999999999999,0.9
1890,14.743,1.5470000000000002,14.759,0.9750000000000001,14.815,0.972,14.936,0.906
1891,14.283,1.058,14.843,0.9430000000000001,14.863999999999999,0.925,14.923,0.895
1892,15.387,1.0030000000000001,14.947,0.923,14.878,0.891,14.897,0.877
1893,15.244,1.331,14.985,1.0070000000000001,14.965,0.875,14.91,0.8600000000000001
1894,15.079,1.248,15.163,1.037,14.987,0.8660000000000001,14.926,0.8800000000000001
1895,14.931,1.315,15.09,1.028,15.084999999999999,0.896,14.953,0.906
1896,15.176,1.3679999999999999,15.088,0.996,15.122,0.9380000000000001,14.982,0.869
1897,15.020999999999999,1.004,15.135,1.0170000000000001,15.132,0.926,15.001999999999999,0.857
1898,15.231,1.074,15.234,0.9830000000000001,15.109,0.93,15.001,0.8450000000000001
