year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1853,18.799,1.0270000000000001,,,,,,
1854,18.709999999999997,1.5790000000000002,18.735,1.01,,,,
1855,18.749,1.226,18.715,0.974,,,,
1856,18.868,1.029,18.677,0.9400000000000001,18.747999999999998,0.674,,
1857,18.448,1.004,18.73,0.6940000000000001,18.732,0.626,,
1858,18.608,0.8150000000000001,18.752,0.581,18.77,0.581,,
1859,18.979,1.0819999999999999,18.703,0.583,18.875,0.538,18.962999999999997,0.538
1860,18.855,0.723,18.796,0.635,18.933,0.5760000000000001,18.962999999999997,0.533
1861,18.627,0.748,18.999,0.673,18.979,0.605,18.965,0.507
1862,,,19.075,0.666,19.076999999999998,0.6900000000000001,18.948,0.47800000000000004
1863,,,19.192999999999998,0.8,19.166,0.727,18.977999999999998,0.527
1864,19.361,1.21,19.331,0.805,19.212,0.74,18.97,0.518
1865,19.447,1.1880000000000002,19.499,0.93,19.188,0.728,18.979,0.537
1866,19.316,0.779,19.435,0.917,19.183,0.717,18.98,0.571
1867,19.750999999999998,1.589,19.41,0.843,19.163999999999998,0.669,19.002,0.589
1868,19.3,0.8230000000000001,19.173,0.686,19.185,0.709,19.043,0.5880000000000001
1869,19.237,0.912,19.022,0.607,19.064999999999998,0.668,19.11,0.5980000000000001
1870,18.262999999999998,0.924,18.9,0.5680000000000001,19.025,0.603,19.108,0.5860000000000001
1871,18.558,1.062,18.814,0.642,18.980999999999998,0.635,19.134999999999998,0.629
1872,19.14,1.4180000000000001,18.65,0.677,18.927999999999997,0.6060000000000001,19.163999999999998,0.64
1873,18.872,1.0939999999999999,18.811999999999998,0.663,18.919999999999998,0.5920000000000001,19.153,0.614
1874,18.415,0.925,18.887,0.808,19.008,0.628,19.131999999999998,0.614
1875,19.075,1.0779999999999998,18.866,0.668,19.029,0.62,19.099,0.6040000000000001
1876,18.933,0.954,19.11,0.704,19.087,0.6960000000000001,19.070999999999998,0.609
1877,19.038,1.15,19.299,0.735,19.165,0.727,19.035999999999998,0.611
1878,20.089,1.182,19.288,0.717,19.122,0.685,18.985,0.6060000000000001
1879,19.358999999999998,0.867,19.384999999999998,0.85,19.2,0.676,18.968999999999998,0.615
1880,19.023,0.899,19.39,0.771,19.172,0.685,18.968,0.605
1881,19.413999999999998,1.4369999999999998,19.194,0.704,19.162,0.671,18.926,0.645
1882,19.067,1.138,19.090999999999998,0.79,19.145,0.678,18.964,0.638
1883,19.108999999999998,0.717,19.049,0.751,19.049,0.669,18.863999999999997,0.6900000000000001
1884,18.840999999999998,0.958,18.91,0.664,18.930999999999997,0.685,18.904,0.668
1885,18.814999999999998,0.81,18.840999999999998,0.647,18.907999999999998,0.681,18.887999999999998,0.659
1886,18.718999999999998,0.875,18.750999999999998,0.663,18.765,0.675,18.897,0.601
1887,18.721999999999998,0.853,18.782999999999998,0.6020000000000001,18.762999999999998,0.61,18.919999999999998,0.562
1888,18.657999999999998,0.864,18.624,0.6980000000000001,18.607,0.809,18.93,0.532
1889,19.000999999999998,0.74,18.584,0.714,18.608999999999998,0.748,18.891,0.52
1890,18.02,1.621,18.549999999999997,0.8270000000000001,18.602999999999998,0.716,18.912,0.514
1891,18.52,0.75,18.479,1.029,18.631999999999998,0.618,18.893,0.466
1892,18.549,1.1480000000000001,18.479,1.0030000000000001,18.695999999999998,0.526,18.845,0.43
1893,18.304,1.4849999999999999,18.619,0.656,18.811,0.47600000000000003,18.872,0.427
1894,19.000999999999998,0.668,18.723,0.492,18.851,0.438,18.875,0.436
1895,18.723,0.811,18.944,0.501,18.916,0.447,18.884999999999998,0.423
1896,19.035999999999998,1.088,19.160999999999998,0.781,19.022,0.446,18.901,0.41600000000000004
1897,19.654999999999998,1.013,19.267,0.9,18.927999999999997,0.41100000000000003,18.926,0.40900000000000003
1898,19.392,0.849,19.366,0.795,19.137,0.5940000000000001,18.953,0.395
1899,19.528,1.0819999999999999,19.205,0.66,19.14,0.5569999999999999,18.961,0.38
1900,19.221,0.616,19.084,0.503,19.166999999999998,0.5549999999999999,18.953,0.375
1901,18.230999999999998,1.7189999999999999,19.15,0.41500000000000004,19.171,0.48200000000000004,18.99,0.386
1902,19.048,0.532,18.985,0.39,19.157,0.431,18.983999999999998,0.36
1903,19.724,1.181,18.947,0.41800000000000004,19.095,0.399,19.072,0.423
1904,18.698999999999998,0.649,19.131,0.537,19.070999999999998,0.375,19.064,0.402
1905,19.032999999999998,0.63,19.182,0.517,18.99,0.367,19.093999999999998,0.404
1906,19.151,0.738,19.070999999999998,0.405,18.957,0.395,19.115,0.369
1907,19.302,0.615,19.057,0.42000000000000004,19.041,0.422,19.090999999999998,0.335
1908,19.169,0.619,18.948,0.442,19.006999999999998,0.395,19.031,0.31000000000000005
1909,18.627,0.651,18.898999999999997,0.507,18.988,0.396,19.034,0.314
1910,18.49,0.6960000000000001,18.903,0.502,19.022,0.423,19.037,0.30900000000000005
1911,18.907999999999998,0.652,18.872,0.521,19.058999999999997,0.441,19.05,0.326
1912,19.32,0.79,18.964,0.536,19.025,0.454,19.08,0.355
1913,19.012999999999998,0.716,19.116999999999997,0.536,18.967,0.41700000000000004,19.058,0.35
1914,19.090999999999998,0.6080000000000001,19.205,0.48200000000000004,18.997,0.426,19.067,0.355
1915,19.253999999999998,0.589,19.096,0.41800000000000004,19.084,0.44,19.070999999999998,0.358
1916,19.348,0.47000000000000003,19.05,0.39,19.143,0.44,19.082,0.379
1917,18.775,0.493,19.105999999999998,0.41100000000000003,19.119999999999997,0.388,19.084999999999997,0.394
1918,18.784,0.725,19.125,0.40800000000000003,19.108,0.355,19.09,0.382
1919,19.369999999999997,0.651,19.049,0.376,19.147,0.361,19.108999999999998,0.38
1920,19.349999999999998,0.552,19.111,0.381,19.119999999999997,0.337,19.151999999999997,0.379
1921,18.965,0.734,19.201999999999998,0.47200000000000003,19.105,0.358,19.192999999999998,0.374
1922,19.087,0.738,19.185,0.46,19.144,0.373,19.203,0.387
1923,19.237,0.5469999999999999,19.093,0.47700000000000004,19.212,0.41300000000000003,19.217,0.368
1924,19.285999999999998,0.496,19.211,0.448,19.221999999999998,0.439,19.244,0.367
1925,18.892,0.575,19.221999999999998,0.429,19.218999999999998,0.456,19.241999999999997,0.358
1926,19.552,0.587,19.236,0.398,19.243,0.467,19.244,0.36
1927,19.143,0.668,19.258,0.47400000000000003,19.285999999999998,0.456,19.281,0.367
1928,19.305,0.41400000000000003,19.365,0.47900000000000004,19.326,0.41500000000000004,19.325,0.373
1929,19.4,0.522,19.328,0.508,19.34,0.40800000000000003,19.320999999999998,0.37
1930,19.425,0.712,19.357,0.522,19.363999999999997,0.41000000000000003,19.291,0.363
1931,19.365,0.645,19.45,0.491,19.381999999999998,0.399,19.299,0.359
