year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1852,,,,,,,,
1853,21.822,2.217,22.012999999999998,2.18,,,,
1854,22.223,3.122,22.102,2.263,,,,
1855,22.259999999999998,2.518,22.137999999999998,2.259,21.97,1.8599999999999999,,
1856,22.477999999999998,2.284,22.119,2.241,21.95,1.75,,
1857,21.907,2.24,22.003999999999998,1.8,21.918,1.674,22.116999999999997,1.686
1858,21.724,2.023,21.903,1.595,21.988999999999997,1.625,22.165,1.725
1859,21.651999999999997,2.481,21.733999999999998,1.622,22.073,1.583,22.183,1.6680000000000001
1860,21.756,1.8679999999999999,21.761,1.7930000000000001,22.121,1.703,22.186,1.665
1861,21.628999999999998,1.7850000000000001,21.965,1.905,22.122,1.76,22.160999999999998,1.6280000000000001
1862,22.046,2.066,22.171999999999997,1.859,22.215,1.904,22.121,1.589
1863,22.744,2.377,22.395999999999997,2.056,22.305999999999997,1.956,22.144,1.6600000000000001
1864,22.683,2.637,22.563,1.996,22.374,1.9769999999999999,22.101,1.629
1865,22.878999999999998,2.5250000000000004,22.759,2.188,22.401,1.97,22.063,1.6440000000000001
1866,22.461,2.013,22.732999999999997,2.216,22.372999999999998,1.947,22.017999999999997,1.6760000000000002
1867,23.026,3.143,22.659,2.088,22.323,1.875,22.035999999999998,1.688
1868,22.616999999999997,2.235,22.387,1.936,22.299,1.932,22.07,1.671
1869,22.313,2.2110000000000003,22.131999999999998,1.867,22.128,1.815,22.139,1.67
1870,21.519,1.9460000000000002,21.933999999999997,1.727,22.005,1.716,22.154,1.662
1871,21.185,2.6,21.689999999999998,1.6760000000000002,21.915,1.721,22.160999999999998,1.715
1872,22.035,2.815,21.451,1.707,21.857,1.6480000000000001,22.174,1.737
1873,21.398999999999997,2.135,21.499,1.755,21.834,1.581,22.142,1.74
1874,21.118,2.1870000000000003,21.63,1.8479999999999999,21.904,1.671,22.107999999999997,1.747
1875,21.756999999999998,2.3529999999999998,21.723,1.713,21.907,1.709,22.052,1.766
1876,21.843,1.762,22.064,1.862,21.95,1.7610000000000001,22.029,1.796
1877,22.497,2.5170000000000003,22.33,1.884,22.026,1.8290000000000002,21.965,1.812
1878,23.102,2.346,22.337999999999997,1.8940000000000001,21.985999999999997,1.8719999999999999,21.903,1.795
1879,22.448999999999998,1.8370000000000002,22.383,2.043,22.087999999999997,1.893,21.875999999999998,1.832
1880,21.796999999999997,2.2199999999999998,22.206999999999997,2.068,22.099,1.921,21.872,1.843
1881,22.07,2.498,22.02,2.043,22.142999999999997,1.951,21.887999999999998,1.862
1882,21.618,2.8120000000000003,21.881999999999998,2.157,22.072,2.009,21.948,1.888
1883,22.163,1.879,21.889999999999997,2.124,21.971,2.047,21.927,1.875
1884,21.762999999999998,2.25,21.884999999999998,2.1310000000000002,21.848,2.065,21.974,1.875
1885,21.834999999999997,2.085,21.84,2.033,21.837,2.063,21.980999999999998,1.87
1886,22.048,2.3369999999999997,21.727,2.059,21.826999999999998,2.005,21.997,1.839
1887,21.389,2.083,21.833,1.9809999999999999,21.869999999999997,1.979,21.985999999999997,1.838
1888,21.599,2.075,21.772,2.001,21.869,1.929,21.991,1.8330000000000002
1889,22.293,1.936,21.767999999999997,1.931,21.86,1.8940000000000001,21.968999999999998,1.8010000000000002
1890,21.532,2.199,21.95,1.9100000000000001,21.862,1.857,22.0,1.7610000000000001
1891,22.028,2.019,22.003,1.828,21.849999999999998,1.7810000000000001,22.038999999999998,1.733
1892,22.298,1.853,21.895,1.799,21.898999999999997,1.713,22.052999999999997,1.6840000000000002
1893,21.863,1.611,21.947,1.681,22.009999999999998,1.675,22.061999999999998,1.643
1894,21.755,1.865,21.945,1.643,22.09,1.611,22.072,1.626
1895,21.793,1.719,21.977,1.6760000000000002,22.162,1.5510000000000002,22.087999999999997,1.604
1896,22.017999999999997,1.996,22.107,1.678,22.25,1.54,22.110999999999997,1.582
1897,22.455,1.705,22.301,1.6800000000000002,22.235,1.542,22.147,1.568
1898,22.517,1.621,22.512,1.586,22.256,1.541,22.177,1.546
1899,22.724,2.074,22.56,1.5,22.282999999999998,1.546,22.195999999999998,1.525
1900,22.849,1.945,22.509999999999998,1.483,22.314,1.534,22.206999999999997,1.499
1901,22.256,1.703,22.451,1.475,22.372,1.514,22.221999999999998,1.481
1902,22.203999999999997,1.536,22.301,1.525,22.395999999999997,1.504,22.218999999999998,1.474
1903,22.221999999999998,1.721,22.174999999999997,1.5390000000000001,22.343999999999998,1.496,22.247999999999998,1.458
1904,21.974999999999998,1.573,22.226,1.6,22.301,1.493,22.255,1.45
1905,22.218,1.705,22.221999999999998,1.602,22.250999999999998,1.477,22.287,1.451
1906,22.509999999999998,1.928,22.226,1.5190000000000001,22.192999999999998,1.472,22.323999999999998,1.427
1907,22.183,1.572,22.272,1.502,22.201999999999998,1.445,22.33,1.411
1908,22.244,1.58,22.221999999999998,1.44,22.24,1.415,22.293,1.405
1909,22.205,1.486,22.142999999999997,1.441,22.227,1.426,22.264,1.393
1910,21.965,1.6560000000000001,22.198,1.516,22.259999999999998,1.422,22.259,1.375
1911,22.116999999999997,1.591,22.226,1.5510000000000002,22.276999999999997,1.407,22.247999999999998,1.379
1912,22.458,1.692,22.206999999999997,1.537,22.264,1.44,22.247999999999998,1.37
1913,22.386,1.718,22.308999999999997,1.468,22.241999999999997,1.424,22.241999999999997,1.364
1914,22.108999999999998,1.5150000000000001,22.397,1.429,22.227,1.431,22.243,1.368
1915,22.473,1.433,22.33,1.407,22.267999999999997,1.421,22.264,1.366
1916,22.558999999999997,1.604,22.233999999999998,1.452,22.302999999999997,1.432,22.241999999999997,1.37
1917,22.125,1.48,22.288,1.474,22.293999999999997,1.419,22.253999999999998,1.3980000000000001
1918,21.906,1.544,22.285999999999998,1.5150000000000001,22.244,1.3880000000000001,22.27,1.397
1919,22.375999999999998,1.611,22.214,1.468,22.259999999999998,1.3840000000000001,22.281,1.393
1920,22.465999999999998,1.578,22.201,1.423,22.269,1.409,22.29,1.3840000000000001
1921,22.195999999999998,1.479,22.223,1.432,22.206,1.416,22.311,1.3840000000000001
1922,22.064,1.571,22.253,1.411,22.244,1.431,22.343999999999998,1.3800000000000001
1923,22.014,1.502,22.198,1.397,22.296999999999997,1.4140000000000001,22.354,1.364
1924,22.525,1.634,22.227,1.437,22.336,1.4060000000000001,22.374,1.358
1925,22.189999999999998,1.65,22.323,1.469,22.311999999999998,1.399,22.369,1.369
1926,22.345,1.681,22.398,1.463,22.317999999999998,1.397,22.348,1.372
1927,22.54,1.463,22.389999999999997,1.419,22.394,1.399,22.369999999999997,1.3780000000000001
1928,22.389,1.553,22.409,1.449,22.462999999999997,1.405,22.410999999999998,1.387
1929,22.488,1.617,22.496,1.429,22.487,1.4020000000000001,22.427,1.387
1930,22.282,1.577,22.529999999999998,1.485,22.468999999999998,1.421,22.413999999999998,1.387
1931,22.779,1.5110000000000001,22.592,1.493,22.49,1.42,22.439999999999998,1.3840000000000001
1932,22.711,1.518,22.555,1.465,22.496,1.455,22.48,1.383
1933,22.698999999999998,1.578,22.555,1.444,22.525,1.441,22.534,1.389
1934,22.304,1.489,22.5,1.46,22.517999999999997,1.425,22.544999999999998,1.387
