year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1833,,,,,,,,
1834,7.883,2.324,,,,,,
1835,7.878,2.081,,,,,,
1836,6.69,1.7429999999999999,,,,,,
1837,6.662,1.851,,,,,,
1838,,,,,,,,
1839,6.464,1.9,,,,,,
1840,6.947,,,,,,,
1841,6.162,1.518,6.547000000000001,,,,,
1842,6.812,2.307,6.606,,,,,
1843,6.352,,6.346,,6.4830000000000005,,,
1844,6.755,,6.588,,6.605,,,
1845,5.647,,6.5120000000000005,,6.554,,,
1846,7.375,2.073,6.62,,6.639,,,
1847,6.43,1.853,6.655,,6.649,,,
1848,6.891,2.585,6.807,2.484,6.728,,6.65,
1849,6.93,2.932,6.711,2.392,6.702,,6.688000000000001,
1850,6.408,2.352,6.79,2.493,6.720000000000001,2.427,6.71,
1851,6.897,2.288,6.87,2.488,6.748,2.321,6.7170000000000005,
1852,6.823,2.687,6.7700000000000005,2.323,6.682,2.481,6.747,
1853,7.292,2.763,6.662,2.378,6.817,2.6270000000000002,6.7940000000000005,
1854,6.429,2.876,6.662,2.477,6.771,2.355,6.835,
1855,5.87,2.199,6.651,2.472,6.866,2.36,6.841,2.495
1856,6.8950000000000005,2.699,6.648,2.528,6.796,2.267,6.937,2.326
1857,6.767,2.872,6.892,2.499,6.844,2.325,6.928,2.39
1858,7.2780000000000005,3.1109999999999998,7.007,2.426,6.861,2.254,7.0,2.396
1859,7.649,2.785,6.9830000000000005,2.366,6.9670000000000005,2.219,7.037,2.237
1860,6.445,1.704,7.1610000000000005,2.426,6.963,2.257,7.086,2.25
1861,6.7780000000000005,2.243,7.172000000000001,2.177,7.125,2.371,7.081,2.257
1862,7.654,3.131,7.041,2.182,7.174,2.449,7.104,2.331
1863,7.333,2.693,7.141,2.465,7.182,2.379,7.122,2.358
1864,6.993,3.048,7.309,2.674,7.303,2.507,7.1690000000000005,2.392
1865,6.949,2.792,7.28,2.696,7.306,2.538,7.212,2.434
1866,7.614,3.073,7.3870000000000005,2.784,7.367,2.635,7.266,2.488
1867,7.51,2.905,7.527,2.755,7.364,2.705,7.312,2.511
1868,7.8660000000000005,2.799,7.601,2.733,7.383,2.718,7.292,2.468
1869,7.6930000000000005,2.884,7.468,2.711,7.371,2.691,7.3100000000000005,2.44
1870,7.322,2.581,7.472,2.79,7.462,2.648,7.247,2.368
1871,6.9510000000000005,2.888,7.37,2.709,7.407,2.619,7.2940000000000005,2.384
1872,7.5280000000000005,3.251,7.319,2.632,7.45,2.599,7.282,2.325
1873,7.357,2.571,7.276,2.644,7.401,2.618,7.264,2.287
1874,7.436,2.562,7.332,2.645,7.3180000000000005,2.465,7.255,2.258
1875,7.107,2.896,7.352,2.624,7.189,2.317,7.3,2.204
1876,7.234,2.724,7.423,2.55,7.22,2.261,7.219,2.123
1877,7.627,2.903,7.171,2.281,7.199,2.092,7.2010000000000005,2.045
1878,7.712,2.031,7.113,1.9020000000000001,7.144,1.9900000000000002,7.136,1.976
1879,6.177,1.4420000000000002,7.014,1.724,7.139,1.928,7.0600000000000005,1.892
1880,6.819,1.4300000000000002,7.015000000000001,1.502,7.139,1.827,7.049,1.831
1881,6.738,1.815,6.811,1.471,7.032,1.67,7.045,1.771
1882,7.631,1.8199999999999998,7.082,1.601,6.952,1.557,7.003,1.6680000000000001
1883,6.69,1.7610000000000001,7.093,1.693,6.872,1.458,6.907,1.601
1884,7.534,1.855,6.995,1.631,6.8020000000000005,1.455,6.92,1.542
1885,6.873,1.605,6.833,1.5150000000000001,6.91,1.466,6.897,1.4689999999999999
1886,6.246,1.6,6.694,1.405,6.869,1.4100000000000001,6.864,1.383
1887,6.82,1.444,6.601,1.35,6.806,1.373,6.836,1.336
1888,5.996,1.186,6.668,1.328,6.671,1.33,6.867,1.297
1889,7.071,1.6280000000000001,6.684,1.2850000000000001,6.7,1.293,6.8870000000000005,1.291
1890,7.207,1.4929999999999999,6.5760000000000005,1.301,6.655,1.2570000000000001,6.947,1.294
1891,6.3260000000000005,1.337,6.774,1.335,6.697,1.219,6.95,1.276
1892,6.283,1.296,6.789,1.251,6.720000000000001,1.202,6.937,1.263
1893,6.981,1.326,6.607,1.165,6.862,1.208,6.914,1.246
1894,7.149,1.233,6.873,1.189,6.972,1.193,6.918,1.234
1895,6.297000000000001,1.223,6.955,1.173,6.984,1.171,6.904,1.219
1896,7.6530000000000005,1.3599999999999999,7.039,1.182,7.032,1.188,6.955,1.225
1897,6.692,1.2,7.172000000000001,1.218,7.0680000000000005,1.215,6.969,1.226
1898,7.406000000000001,1.278,7.336,1.236,7.157,1.241,6.992,1.242
1899,7.814,1.3719999999999999,7.2250000000000005,1.26,7.136,1.282,7.039,1.248
1900,7.113,1.345,7.247,1.297,7.154,1.299,7.001,1.2429999999999999
1901,7.099,1.5,7.23,1.374,7.213,1.316,7.03,1.263
1902,6.801,1.322,7.083,1.409,7.218,1.326,7.075,1.268
1903,7.324,1.483,7.125,1.3940000000000001,7.122,1.3519999999999999,7.133,1.2850000000000001
1904,7.077,1.534,7.051,1.3679999999999999,7.105,1.362,7.138,1.3
1905,7.323,1.306,7.091,1.4220000000000002,7.017,1.351,7.165,1.307
1906,6.728,1.5430000000000001,7.051,1.3719999999999999,7.0280000000000005,1.355,7.174,1.314
1907,7.001,1.545,7.033,1.347,7.082,1.341,7.171,1.316
1908,7.1240000000000006,1.274,6.953,1.324,7.11,1.347,7.117,1.329
1909,6.987,1.388,7.086,1.323,7.139,1.338,7.1000000000000005,1.331
1910,6.925,1.264,7.194,1.282,7.1770000000000005,1.334,7.054,1.326
1911,7.394,1.404,7.147,1.341,7.135,1.332,7.085,1.322
1912,7.538,1.3639999999999999,7.3,1.337,7.123,1.322,7.1240000000000006,1.316
1913,6.892,1.571,7.299,1.3820000000000001,7.112,1.321,7.12,1.303
1914,7.751,1.31,7.181,1.355,7.095,1.318,7.109,1.289
1915,6.9190000000000005,1.411,7.023,1.35,7.09,1.32,7.12,1.295
1916,6.807,1.248,7.089,1.327,7.142,1.311,7.101,1.294
1917,6.747,1.375,6.9030000000000005,1.292,7.166,1.315,7.1290000000000004,1.275
1918,7.222,1.429,6.945,1.2530000000000001,7.13,1.276,7.147,1.271
1919,6.821,1.204,7.12,1.271,7.079,1.258,7.126,1.267
1920,7.128,1.213,7.192,1.245,7.063000000000001,1.2730000000000001,7.142,1.272
1921,7.6850000000000005,1.393,7.196,1.229,7.066,1.275,7.138,1.268
1922,7.106,1.251,7.141,1.289,7.134,1.2610000000000001,7.135,1.272
1923,7.2410000000000005,1.318,7.243,1.34,7.183,1.268,7.141,1.263
1924,6.5440000000000005,1.4220000000000002,7.157,1.326,7.157,1.276,7.164,1.2570000000000001
1925,7.638,1.4420000000000002,7.181,1.314,7.194,1.288,7.1850000000000005,1.26
1926,7.256,1.366,7.159,1.334,7.135,1.289,7.212,1.252
1927,7.224,1.232,7.127,1.31,7.105,1.289,7.238,1.249
1928,7.132,1.417,7.0600000000000005,1.288,7.1530000000000005,1.292,7.276,1.246
1929,6.386,1.2770000000000001,7.058,1.267,7.2490000000000006,1.286,7.3020000000000005,1.252
1930,7.304,1.336,7.089,1.297,7.307,1.271,7.3500000000000005,1.26
1931,7.246,1.294,7.224,1.267,7.3580000000000005,1.2429999999999999,7.3100000000000005,1.2610000000000001
1932,7.3790000000000004,1.338,7.473,1.2770000000000001,7.3420000000000005,1.246,7.289,1.26
1933,7.804,1.2650000000000001,7.609,1.267,7.368,1.233,7.315,1.2730000000000001
1934,7.633,1.2730000000000001,7.5840000000000005,1.2429999999999999,7.448,1.2349999999999999,7.3580000000000005,1.274
1935,7.985,1.276,7.62,1.219,7.506,1.244,7.347,1.26
