year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1833,,,,,,,,
1834,2.615,2.292,,,,,,
1835,2.4370000000000003,2.137,,,,,,
1836,0.9440000000000001,1.935,,,,,,
1837,1.1,1.982,,,,,,
1838,,,,,,,,
1839,0.5790000000000002,2.043,,,,,,
1840,0.9030000000000001,,,,,,,
1841,0.2590000000000001,1.777,0.7600000000000001,,,,,
1842,1.125,2.0789999999999997,0.8900000000000001,,,,,
1843,0.935,,0.7850000000000001,,0.799,,,
1844,1.227,,1.104,,0.9530000000000001,,,
1845,0.377,,1.06,,0.8880000000000001,,,
1846,1.858,2.125,1.1030000000000002,,1.0110000000000001,,,
1847,0.9020000000000001,1.984,1.065,,1.0260000000000002,,,
1848,1.1500000000000001,2.231,1.105,1.778,1.101,,0.8550000000000001,
1849,1.036,2.239,0.9750000000000001,1.704,1.0290000000000001,,0.8880000000000001,
1850,0.5800000000000001,2.042,1.0310000000000001,1.699,1.0090000000000001,1.567,0.929,
1851,1.207,2.081,1.08,1.641,0.9810000000000001,1.501,0.9580000000000001,
1852,1.1820000000000002,2.38,0.9960000000000001,1.605,0.8380000000000001,1.557,0.9670000000000001,
1853,1.395,2.238,0.931,1.727,0.9100000000000001,1.569,1.02,
1854,0.6160000000000001,2.503,0.799,1.749,0.8220000000000001,1.403,1.053,
1855,0.258,2.181,0.6580000000000001,1.627,0.9700000000000001,1.403,1.0220000000000002,1.396
1856,0.5470000000000002,2.041,0.5290000000000001,1.584,0.9050000000000001,1.337,1.07,1.262
1857,0.4750000000000001,1.972,0.7720000000000001,1.4140000000000001,0.9070000000000001,1.312,1.052,1.2429999999999999
1858,0.7500000000000001,2.0300000000000002,0.9810000000000001,1.362,0.9390000000000001,1.237,1.098,1.2349999999999999
1859,1.8310000000000002,2.19,1.028,1.38,1.078,1.195,1.137,1.138
1860,1.304,1.946,1.254,1.421,1.0350000000000001,1.1920000000000002,1.1820000000000002,1.124
1861,0.7810000000000001,2.005,1.5190000000000001,1.462,1.1580000000000001,1.246,1.1270000000000002,1.1099999999999999
1862,1.605,2.064,1.347,1.455,1.266,1.329,1.08,1.107
1863,2.073,2.503,1.1820000000000002,1.558,1.2870000000000001,1.376,1.102,1.1139999999999999
1864,0.9740000000000001,2.3609999999999998,1.411,1.64,1.4520000000000002,1.466,1.1540000000000001,1.1360000000000001
1865,0.4750000000000001,2.218,1.37,1.775,1.393,1.452,1.167,1.1320000000000001
1866,1.9260000000000002,2.011,1.3150000000000002,1.707,1.3490000000000002,1.486,1.173,1.1640000000000001
1867,1.405,2.385,1.497,1.652,1.2530000000000001,1.492,1.202,1.1800000000000002
1868,1.794,2.154,1.5410000000000001,1.576,1.266,1.437,1.189,1.1720000000000002
1869,1.887,2.152,1.217,1.554,1.23,1.3479999999999999,1.239,1.182
1870,0.6940000000000001,1.866,1.1460000000000001,1.415,1.2990000000000002,1.224,1.165,1.138
1871,0.30500000000000016,1.97,1.121,1.355,1.187,1.1840000000000002,1.167,1.1360000000000001
1872,1.052,1.89,1.0140000000000002,1.241,1.139,1.12,1.1280000000000001,1.1280000000000001
1873,1.665,1.99,1.008,1.182,1.0910000000000002,1.0670000000000002,1.0910000000000002,1.089
1874,1.3530000000000002,1.662,1.092,1.212,1.0250000000000001,1.01,1.086,1.0630000000000002
1875,0.663,1.915,1.024,1.258,0.936,0.989,1.1190000000000002,1.024
1876,0.7250000000000001,1.811,0.9640000000000001,1.25,0.9850000000000001,0.978,1.108,1.016
1877,0.7110000000000001,1.786,0.913,1.2349999999999999,1.0020000000000002,0.994,1.092,0.991
1878,1.367,1.611,0.922,1.1480000000000001,0.916,0.993,1.07,0.942
1879,1.098,1.642,0.7730000000000001,1.084,0.9420000000000001,1.025,0.935,0.911
1880,0.7100000000000001,1.615,1.041,1.002,0.9390000000000001,1.026,0.933,0.911
1881,-0.02200000000000002,1.338,0.8380000000000001,1.005,1.0300000000000002,0.991,0.9700000000000001,0.913
1882,2.051,1.091,0.9690000000000001,1.046,1.046,0.962,1.0270000000000001,0.913
1883,0.351,1.3050000000000002,1.1070000000000002,1.06,1.05,0.913,0.8990000000000001,0.917
1884,1.7550000000000001,1.367,1.1660000000000001,1.115,0.8440000000000001,0.923,0.8610000000000001,0.929
1885,1.3980000000000001,1.13,1.1,1.028,0.929,0.958,0.8930000000000001,0.906
1886,0.27700000000000014,1.367,0.9870000000000001,0.952,0.9560000000000001,0.983,0.9070000000000001,0.855
1887,1.7160000000000002,1.096,0.7390000000000001,0.9710000000000001,1.0510000000000002,0.9770000000000001,0.915,0.8340000000000001
1888,-0.20999999999999996,1.1,0.8540000000000001,1.0550000000000002,0.8810000000000001,0.942,0.9830000000000001,0.825
1889,0.5130000000000001,1.439,0.9810000000000001,0.997,0.7790000000000001,0.9239999999999999,1.0070000000000001,0.8240000000000001
1890,1.9740000000000002,1.306,0.7700000000000001,1.005,0.8470000000000001,0.883,1.0310000000000001,0.827
1891,0.9100000000000001,1.0110000000000001,0.6560000000000001,1.0310000000000001,0.7850000000000001,0.8480000000000001,1.053,0.833
1892,0.665,0.908,0.9500000000000001,0.911,0.7840000000000001,0.8300000000000001,1.114,0.8260000000000001
