year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1882,,,,,,,,
1883,19.323999999999998,0.855,,,,,,
1884,19.226,0.842,19.433,0.626,,,,
1885,19.304,0.6799999999999999,19.378,0.579,19.578,0.519,,
1886,19.483,0.706,19.407,0.537,19.583,0.51,,
1887,19.555999999999997,0.758,19.583,0.541,19.535999999999998,0.515,19.698999999999998,0.45199999999999996
1888,19.465999999999998,0.605,19.648,0.5539999999999999,19.567,0.514,19.706,0.45199999999999996
1889,20.108,0.978,19.674,0.567,19.619999999999997,0.508,19.669,0.45599999999999996
1890,19.625,0.832,19.715999999999998,0.625,19.676,0.502,19.665,0.45699999999999996
1891,19.616,0.647,19.785,0.656,19.724,0.491,19.706,0.45599999999999996
1892,19.762999999999998,0.6819999999999999,19.744,0.5609999999999999,19.721,0.5,19.703,0.45499999999999996
1893,19.811999999999998,0.7769999999999999,19.787,0.486,19.811,0.508,19.698,0.45199999999999996
1894,19.903,0.591,19.8,0.504,19.822,0.48,19.73,0.45099999999999996
1895,19.84,0.6,19.811999999999998,0.489,19.752,0.45099999999999996,19.743,0.45299999999999996
1896,19.68,0.743,19.834999999999997,0.499,19.829,0.45899999999999996,19.764,0.46299999999999997
1897,19.823999999999998,0.573,19.791,0.515,19.869,0.477,19.781,0.472
1898,19.926,0.616,19.793,0.535,19.829,0.477,19.787,0.492
1899,19.686,0.607,19.932,0.513,19.840999999999998,0.506,19.791,0.498
1900,19.849,0.604,19.907999999999998,0.533,19.81,0.527,19.802,0.483
1901,20.378,0.602,19.849999999999998,0.5609999999999999,19.802999999999997,0.549,19.836,0.479
1902,19.701999999999998,0.718,19.833,0.576,19.840999999999998,0.583,19.845,0.482
1903,19.634,0.7789999999999999,19.805,0.605,19.764,0.62,19.848,0.473
1904,19.602,0.671,19.714,0.6819999999999999,19.761,0.646,19.862,0.469
1905,19.711,0.694,19.707,0.749,19.852,0.608,19.874,0.472
1906,19.922,0.962,19.654999999999998,0.885,19.843,0.571,19.9,0.47
1907,19.665,0.951,19.782,0.7829999999999999,19.820999999999998,0.552,19.936999999999998,0.47
1908,19.375999999999998,1.4829999999999999,19.886,0.595,19.866,0.522,19.919999999999998,0.483
1909,20.237,0.587,19.907,0.501,19.883,0.47,19.906,0.5
1910,20.23,1.066,19.974999999999998,0.45799999999999996,19.936999999999998,0.45399999999999996,19.915,0.507
1911,20.029,0.537,20.096999999999998,0.658,19.996,0.444,19.91,0.499
1912,20.003999999999998,0.814,20.076,0.668,20.032,0.45199999999999996,19.910999999999998,0.489
1913,19.986,0.635,20.038,0.592,20.076999999999998,0.519,19.930999999999997,0.484
1914,20.131999999999998,0.673,20.11,0.547,20.051,0.588,19.910999999999998,0.481
1915,20.038,0.634,20.105999999999998,0.507,19.977999999999998,0.576,19.951999999999998,0.471
1916,20.39,0.45099999999999996,20.051,0.593,19.976,0.549,19.959,0.46299999999999997
1917,19.983999999999998,0.66,19.961,0.668,20.002,0.512,19.982,0.45499999999999996
1918,19.708,1.106,19.939,0.616,19.996,0.535,20.019,0.46299999999999997
1919,19.686,0.8979999999999999,19.869999999999997,0.609,19.939999999999998,0.548,20.035,0.46599999999999997
1920,19.927,0.45499999999999996,19.868,0.565,19.967,0.528,20.012999999999998,0.44899999999999995
1921,20.044,0.472,19.837,0.508,19.922,0.52,19.999,0.436
1922,19.973,0.5,19.925,0.479,19.930999999999997,0.487,20.017,0.44999999999999996
1923,19.554,0.755,19.942,0.499,19.961,0.442,20.034,0.44699999999999995
1924,20.125999999999998,0.6839999999999999,19.962,0.522,20.02,0.416,20.037,0.429
1925,20.012,0.567,20.064,0.502,20.047,0.41000000000000003,20.06,0.41300000000000003
1926,20.145,0.7809999999999999,20.151,0.48,20.023,0.419,20.055,0.406
1927,20.485,0.439,20.137,0.505,20.032,0.46099999999999997,20.05,0.403
1928,19.988999999999997,0.707,20.128999999999998,0.496,20.072,0.45099999999999996,20.075,0.387
1929,20.057,0.478,20.104,0.401,20.134,0.41100000000000003,20.102999999999998,0.365
1930,19.97,0.44699999999999995,20.041,0.443,20.153,0.397,20.127,0.355
1931,20.017,0.9309999999999999,20.086,0.5,20.186999999999998,0.372,20.134999999999998,0.35
1932,20.169999999999998,0.771,20.134999999999998,0.46099999999999997,20.168,0.371,20.147,0.355
1933,20.212999999999997,0.44,20.232,0.479,20.188,0.363,20.183,0.352
1934,20.302,0.631,20.276999999999997,0.37,20.186,0.359,20.218999999999998,0.34199999999999997
1935,20.457,0.479,20.279999999999998,0.361,20.207,0.346,20.208,0.33099999999999996
1936,20.241999999999997,0.479,20.308,0.355,20.247999999999998,0.324,20.223,0.319
1937,20.185,0.48,20.261,0.366,20.262999999999998,0.32999999999999996,20.209999999999997,0.33199999999999996
1938,20.352,0.431,20.236,0.373,20.294,0.352,20.236,0.32999999999999996
1939,20.067,0.731,20.259999999999998,0.33999999999999997,20.302999999999997,0.33399999999999996,20.267,0.33899999999999997
1940,20.336,0.5539999999999999,20.284,0.359,20.264,0.312,20.293,0.345
1941,20.358999999999998,0.705,20.278,0.381,20.258,0.323,20.307,0.348
1942,20.304,0.5599999999999999,20.32,0.403,20.253,0.32999999999999996,20.313,0.34199999999999997
1943,20.320999999999998,0.46799999999999997,20.261,0.403,20.282999999999998,0.347,20.319,0.352
1944,20.282,0.376,20.209,0.398,20.349,0.39,20.319,0.357
1945,20.038999999999998,0.513,20.249,0.376,20.38,0.416,20.304,0.369
1946,20.099,0.526,20.354,0.39,20.366,0.415,20.302999999999997,0.382
1947,20.503999999999998,0.696,20.418,0.44999999999999996,20.363,0.402,20.307,0.386
1948,20.846,0.538,20.468,0.492,20.343999999999998,0.403,20.31,0.387
1949,20.604,0.619,20.471999999999998,0.474,20.336,0.424,20.333,0.388
1950,20.288999999999998,0.5,20.454,0.441,20.345,0.45999999999999996,20.339,0.395
1951,20.115,0.401,20.333,0.442,20.349,0.474,20.33,0.383
1952,20.416999999999998,0.419,20.262999999999998,0.46699999999999997,20.36,0.476,20.316,0.363
1953,20.241,0.499,20.246,0.498,20.336,0.45699999999999996,20.3,0.34299999999999997
1954,20.253999999999998,0.709,20.262999999999998,0.537,20.316,0.422,20.294999999999998,0.33999999999999997
1955,20.201999999999998,0.547,20.264,0.529,20.297,0.406,20.304,0.346
1956,20.201,0.611,20.314999999999998,0.48,20.294,0.378,20.288999999999998,0.33599999999999997
1957,20.423,0.501,20.339,0.399,20.268,0.346,20.305,0.325
1958,20.494,0.538,20.346,0.395,20.256,0.312,20.285999999999998,0.318
1959,20.372999999999998,0.435,20.332,0.355,20.255,0.301,20.27,0.306
1960,20.237,0.423,20.250999999999998,0.386,20.264,0.306,20.282999999999998,0.303
1961,20.134,0.553,20.198,0.398,20.23,0.316,20.305999999999997,0.299
1962,20.016,0.601,20.185,0.358,20.249,0.32799999999999996,20.316,0.3
1963,20.23,0.385,20.137999999999998,0.377,20.236,0.321,20.305999999999997,0.297
1964,20.307,0.382,20.145,0.315,20.223,0.314,20.331,0.294
1965,20.000999999999998,0.41100000000000003,20.235,0.279,20.269,0.317,20.337999999999997,0.298
