year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1871,,,,,,,,
1872,16.525,1.264,,,,,,
1873,16.572,1.4049999999999998,16.572,0.884,,,,
1874,16.541999999999998,1.197,16.49,0.877,,,,
1875,16.349999999999998,1.4129999999999998,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,16.291999999999998,1.06,16.573999999999998,0.804,,,,
1888,16.628999999999998,1.139,16.554,0.798,16.546999999999997,0.7150000000000001,,
1889,17.043,1.2610000000000001,16.58,0.7969999999999999,16.532999999999998,0.7030000000000001,,
1890,16.404,1.193,16.698999999999998,0.813,16.561999999999998,0.704,,
1891,16.532999999999998,1.162,16.642999999999997,0.8140000000000001,16.581999999999997,0.6910000000000001,16.714,0.635
1892,16.883999999999997,1.171,16.552999999999997,0.79,16.654999999999998,0.69,16.724999999999998,0.638
1893,16.348999999999997,1.129,16.607999999999997,0.786,16.709999999999997,0.7010000000000001,16.749,0.63
1894,16.592,1.111,16.63,0.792,16.688,0.6970000000000001,16.767,0.612
1895,16.680999999999997,1.1800000000000002,16.695999999999998,0.785,16.726,0.6990000000000001,16.790999999999997,0.595
1896,16.645,1.175,16.787999999999997,0.7989999999999999,16.834,0.7110000000000001,16.802999999999997,0.585
1897,17.211,1.166,16.833,0.798,16.872,0.714,16.819,0.5800000000000001
1898,16.81,1.125,16.979,0.7889999999999999,16.951999999999998,0.7030000000000001,16.813,0.579
1899,16.819999999999997,0.951,17.098999999999997,0.806,17.0,0.688,16.811999999999998,0.569
1900,17.407,1.0550000000000002,17.157999999999998,0.7909999999999999,17.02,0.661,16.788999999999998,0.5700000000000001
1901,17.244999999999997,1.109,17.194999999999997,0.754,17.025,0.655,16.785999999999998,0.577
1902,17.505999999999997,1.04,17.189999999999998,0.7210000000000001,16.983999999999998,0.656,16.770999999999997,0.571
1903,16.999,1.0899999999999999,17.048,0.7170000000000001,16.915999999999997,0.639,16.794999999999998,0.562
1904,16.790999999999997,1.1280000000000001,16.965999999999998,0.784,16.936,0.627,16.833,0.5609999999999999
1905,16.698999999999998,1.028,16.761999999999997,0.798,16.852999999999998,0.623,16.872,0.5700000000000001
1906,16.834,1.092,16.665999999999997,0.744,16.738999999999997,0.616,16.895999999999997,0.556
1907,16.488999999999997,1.0390000000000001,16.558999999999997,0.725,16.668999999999997,0.622,16.869,0.54
1908,16.516,1.19,16.537,0.722,16.637999999999998,0.612,16.825999999999997,0.532
1909,16.258,1.061,16.415999999999997,0.764,16.665,0.602,16.845,0.529
1910,16.587,1.089,16.511999999999997,0.742,16.723999999999997,0.617,16.848999999999997,0.529
1911,16.230999999999998,1.2570000000000001,16.602999999999998,0.71,16.767,0.618,16.820999999999998,0.535
1912,16.968999999999998,1.041,16.834,0.749,16.753999999999998,0.648,16.814999999999998,0.535
1913,16.973,0.99,16.967,0.7190000000000001,16.737,0.646,16.805,0.533
1914,17.412999999999997,1.1600000000000001,17.078,0.6950000000000001,16.753,0.634,16.805,0.54
1915,17.247999999999998,1.1640000000000001,16.982,0.7070000000000001,16.845999999999997,0.628,16.775,0.5529999999999999
1916,16.787999999999997,1.2149999999999999,16.866,0.727,16.903,0.63,16.805,0.569
1917,16.488999999999997,0.917,16.852999999999998,0.736,16.961,0.627,16.872999999999998,0.575
1918,16.389999999999997,0.933,16.791999999999998,0.746,16.973,0.626,16.913999999999998,0.569
1919,17.351,1.056,16.796999999999997,0.784,16.944999999999997,0.65,16.962,0.5640000000000001
1920,16.941999999999997,1.236,16.936,0.778,16.825,0.661,16.991,0.5549999999999999
1921,16.814999999999998,1.101,17.066999999999997,0.768,16.843,0.661,17.066999999999997,0.5549999999999999
1922,17.183,1.0030000000000001,16.909,0.737,16.993,0.673,17.081,0.539
1923,17.046,0.975,16.834999999999997,0.754,17.09,0.657,17.124,0.531
1924,16.561999999999998,1.05,17.049999999999997,0.75,17.171,0.613,17.116,0.547
