year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1852,,,,,,,,
1853,0.17599999999999993,1.857,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,-0.7070000000000001,1.706,,,,,,
1857,-0.841,1.774,,,,,,
1858,0.02300000000000002,1.821,-0.17799999999999994,1.327,,,,
1859,,,-0.05400000000000005,1.337,,,,
1860,0.15700000000000003,1.665,0.16999999999999993,1.349,,,,
1861,-0.08899999999999997,1.7,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,0.0020000000000000018,1.007
1865,,,,,,,-0.018000000000000016,1.025
1866,0.511,1.5859999999999999,,,,,-0.06800000000000006,1.057
1867,0.09699999999999998,1.8719999999999999,0.10699999999999998,1.347,,,-0.02299999999999991,1.056
1868,-0.3380000000000001,1.628,0.16100000000000003,1.3,0.16999999999999993,1.214,0.026000000000000023,1.05
1869,-0.09200000000000008,1.791,0.15500000000000003,1.391,0.08199999999999996,1.153,0.07499999999999996,1.067
1870,0.626,1.74,0.04299999999999993,1.348,-0.04600000000000004,1.139,0.03300000000000003,1.052
1871,0.48,1.984,0.04299999999999993,1.304,-0.2670000000000001,1.193,-0.0020000000000000018,1.059
1872,-0.45999999999999996,1.571,-0.1100000000000001,1.273,-0.31600000000000006,1.209,-0.040999999999999925,1.093
1873,-0.33699999999999997,1.544,-0.5090000000000001,1.287,-0.19500000000000006,1.218,-0.1180000000000001,1.104
1874,-0.861,1.444,-0.702,1.287,-0.08000000000000007,1.183,-0.21599999999999997,1.111
1875,-1.3679999999999999,1.954,-0.558,1.271,-0.1499999999999999,1.136,-0.29499999999999993,1.108
1876,-0.4830000000000001,1.5739999999999998,-0.347,1.279,-0.2729999999999999,1.083,-0.31699999999999995,1.106
1877,0.262,1.175,-0.026000000000000023,1.167,-0.34099999999999997,1.091,-0.3400000000000001,1.103
1878,0.717,1.016,-0.026999999999999913,1.003,-0.4059999999999999,1.1219999999999999,-0.3600000000000001,1.079
1879,0.742,0.994,0.10899999999999999,0.865,-0.514,1.19,-0.3700000000000001,1.04
1880,-1.3719999999999999,1.134,-0.2430000000000001,1.066,-0.5429999999999999,1.169,-0.3560000000000001,0.9790000000000001
1881,0.19399999999999995,1.161,-0.599,1.143,-0.3680000000000001,1.076,-0.3840000000000001,0.938
1882,-1.495,2.172,-1.0090000000000001,1.307,-0.365,1.063,-0.3720000000000001,0.909
1883,-1.065,1.4509999999999998,-0.901,1.362,-0.5249999999999999,1.021,-0.31899999999999995,0.888
1884,-1.307,1.552,-0.827,1.323,-0.659,0.9850000000000001,-0.31899999999999995,0.895
1885,-0.8340000000000001,1.402,-0.7090000000000001,1.078,-0.562,0.913,-0.2929999999999999,0.87
1886,0.5680000000000001,1.331,-0.5900000000000001,0.9219999999999999,-0.4950000000000001,0.883,-0.17799999999999994,0.827
1887,-0.909,1.125,-0.15999999999999992,0.8999999999999999,-0.403,0.839,-0.17100000000000004,0.827
1888,-0.4690000000000001,0.865,-0.08099999999999996,0.9550000000000001,-0.23199999999999998,0.796,-0.2510000000000001,0.8320000000000001
1889,0.845,1.632,-0.21500000000000008,0.881,-0.125,0.825,-0.2709999999999999,0.835
1890,-0.43799999999999994,1.018,0.15300000000000002,1.005,-0.04299999999999993,0.827,-0.238,0.84
1891,-0.1060000000000001,1.046,0.21499999999999997,0.9890000000000001,0.01200000000000001,0.7929999999999999,-0.19999999999999996,0.841
1892,0.9309999999999999,1.298,-0.04600000000000004,0.833,0.02200000000000002,0.767,-0.09099999999999997,0.7909999999999999
1893,-0.15700000000000003,1.148,0.09699999999999998,0.853,0.02300000000000002,0.772,-0.0010000000000000009,0.748
1894,-0.46199999999999997,0.87,0.22399999999999998,0.875,0.11699999999999999,0.786,0.03600000000000003,0.732
1895,0.28,1.4329999999999998,-0.05600000000000005,1.016,0.08599999999999997,0.8280000000000001,0.041000000000000036,0.7090000000000001
1896,0.526,1.132,-0.026000000000000023,0.962,0.09599999999999997,0.864,0.008000000000000007,0.694
1897,-0.4650000000000001,0.865,0.07299999999999995,1.005,0.22199999999999998,0.829,0.01100000000000001,0.6799999999999999
1898,-0.008000000000000007,0.954,0.16200000000000003,0.874,0.22999999999999998,0.8300000000000001,0.018000000000000016,0.677
1899,0.03400000000000003,1.093,0.19799999999999995,0.863,0.19699999999999995,0.812,0.038000000000000034,0.675
1900,0.725,0.917,0.5569999999999999,0.768,0.126,0.742,0.08399999999999996,0.661
1901,0.703,1.045,0.485,0.732,0.0040000000000000036,0.71,0.129,0.66
1902,1.331,1.167,0.28700000000000003,0.6930000000000001,0.0010000000000000009,0.7090000000000001,0.07699999999999996,0.659
1903,-0.367,0.944,-0.07400000000000007,0.714,0.01200000000000001,0.708,0.014000000000000012,0.6659999999999999
1904,-0.9550000000000001,0.765,-0.236,0.782,-0.04200000000000004,0.6839999999999999,0.03700000000000003,0.652
1905,-1.081,0.9989999999999999,-0.6779999999999999,0.812,0.08299999999999996,0.719,0.027000000000000024,0.655
1906,-0.1080000000000001,0.9949999999999999,-0.5269999999999999,0.788,0.16200000000000003,0.764,0.04200000000000004,0.659
1907,-0.879,1.117,-0.246,0.806,-0.06699999999999995,0.753,0.07099999999999995,0.658
1908,0.385,0.782,0.29599999999999993,0.831,-0.20300000000000007,0.744,0.15800000000000003,0.654
1909,0.45299999999999996,0.854,0.33699999999999997,0.8069999999999999,-0.12200000000000011,0.766,0.09099999999999997,0.644
