year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1824,,,,,,,,
1825,27.996,1.3279999999999998,,,,,,
1826,27.672,1.172,27.784,1.181,,,,
1827,28.175,1.552,27.84,1.159,,,,
1828,27.715,1.403,27.779999999999998,1.144,,,,
1829,27.644,1.5419999999999998,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,27.541,1.365,,,,,,
1847,27.45,1.527,27.348,1.165,,,,
1848,27.288999999999998,1.248,27.436999999999998,1.185,27.355999999999998,1.148,,
1849,27.432,1.366,27.423,1.169,27.363,1.139,,
1850,27.474999999999998,1.442,27.402,1.168,27.415,1.113,,
1851,27.468999999999998,1.225,27.423,1.192,27.477999999999998,1.123,27.364,1.05
1852,27.346,1.584,27.424,1.194,27.477999999999998,1.115,27.384,1.0579999999999998
1853,27.395,1.303,27.441,1.133,27.464,1.103,27.375999999999998,1.0539999999999998
1854,27.433,1.2069999999999999,27.535999999999998,1.141,27.433,1.095,27.38,1.047
1855,27.561999999999998,1.244,27.541999999999998,1.0619999999999998,27.413999999999998,1.056,27.409,1.031
1856,27.945,1.2389999999999999,27.462,1.027,27.387999999999998,1.027,27.423,1.028
1857,27.375,1.2029999999999998,27.419999999999998,1.009,27.387999999999998,1.001,27.397,1.023
1858,26.992,1.2,27.362,1.01,27.395,1.009,27.421,1.011
1859,27.226,1.222,27.247,1.0,27.396,1.043,27.441,0.9929999999999999
1860,27.271,1.13,27.261,1.05,27.402,1.028,27.477999999999998,0.981
1861,27.372999999999998,1.099,27.348,1.171,27.369,1.01,27.474999999999998,0.97
1862,27.445,1.391,27.361,1.111,27.314999999999998,1.029,27.48,0.954
1863,27.427,1.74,27.421,1.104,27.378,1.051,27.516,0.979
1864,27.288999999999998,1.143,27.396,1.105,27.448999999999998,1.041,27.518,0.967
1865,27.570999999999998,1.136,27.421,1.0819999999999999,27.543,1.018,27.521,0.986
1866,27.246,1.1199999999999999,27.468,1.021,27.561999999999998,1.025,27.512999999999998,0.978
1867,27.570999999999998,1.17,27.668,1.012,27.572,1.003,27.518,0.974
