year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1839,,,,,,,,
1840,,,,,,,,
1841,12.981,1.366,,,,,,
1842,,,13.359,1.064,,,,
1843,13.752,1.3719999999999999,13.39,1.025,13.383000000000001,1.0350000000000001,,
1844,13.393,1.425,13.542,1.049,13.393,1.0,,
1845,13.261000000000001,1.2930000000000001,13.57,1.088,13.415000000000001,0.983,13.352,0.966
1846,13.742,1.322,13.442,1.0939999999999999,13.436,0.978,13.408000000000001,0.9530000000000001
1847,13.700000000000001,1.472,13.447000000000001,1.063,13.492,1.0270000000000001,13.415000000000001,0.9339999999999999
1848,13.114,1.369,13.452,1.083,13.469000000000001,1.033,13.43,0.9390000000000001
1849,13.42,1.276,13.403,1.048,13.437000000000001,1.012,13.448,0.9199999999999999
1850,13.282,1.263,13.365,1.087,13.498000000000001,0.998,13.491,0.9119999999999999
1851,13.498000000000001,1.2029999999999998,13.449,1.068,13.547,0.984,13.494,0.919
1852,13.513,1.696,13.437000000000001,1.075,13.494,0.9650000000000001,13.505,0.9279999999999999
1853,13.530000000000001,1.308,13.629000000000001,1.0270000000000001,13.478,0.958,13.474,0.9199999999999999
1854,13.362,1.263,13.622,1.021,13.503,0.9650000000000001,13.463000000000001,0.909
1855,14.244,1.312,13.539,0.9570000000000001,13.568000000000001,0.975,13.471,0.903
1856,13.458,1.267,13.548,0.966,13.552,0.986,13.474,0.892
1857,13.099,1.284,13.63,0.981,13.517000000000001,0.9530000000000001,13.444,0.881
1858,13.575000000000001,1.438,13.493,1.0190000000000001,13.479000000000001,0.935,13.482000000000001,0.868
1859,13.773,1.3519999999999999,13.437000000000001,1.0510000000000002,13.489,0.938,13.499,0.852
1860,13.56,1.341,13.494,1.063,13.444,0.94,13.519,0.8420000000000001
1861,13.179,1.346,13.471,1.067,13.4,0.931,13.539,0.839
1862,13.384,1.375,13.334,1.0310000000000001,13.395,0.9359999999999999,13.538,0.823
1863,13.461,1.436,13.293000000000001,1.014,13.487,0.9319999999999999,13.561,0.8089999999999999
1864,13.085,1.4300000000000002,13.321,1.004,13.495000000000001,0.921,13.59,0.808
1865,13.357000000000001,1.3,13.389000000000001,0.99,13.471,0.9199999999999999,13.596,0.81
1866,13.316,1.2930000000000001,13.468,0.998,13.525,0.921,13.612,0.8009999999999999
1867,13.724,1.2850000000000001,13.637,0.9630000000000001,13.559000000000001,0.919,13.618,0.7929999999999999
1868,13.860000000000001,1.3559999999999999,13.714,0.976,13.642000000000001,0.9,13.644,0.7849999999999999
1869,13.929,1.3399999999999999,13.778,1.016,13.690000000000001,0.886,13.667,0.78
1870,13.74,1.287,13.779,0.994,13.748000000000001,0.873,13.67,0.77
1871,13.638,1.367,13.793000000000001,0.968,13.823,0.871,13.718,0.765
1872,13.727,1.288,13.811,0.938,13.842,0.854,13.758000000000001,0.758
1873,13.932,1.279,13.934000000000001,0.919,13.801,0.845,13.771,0.755
1874,14.017000000000001,1.387,13.913,0.911,13.838000000000001,0.8400000000000001,13.783000000000001,0.75
1875,14.357000000000001,1.166,13.884,0.906,13.869,0.831,13.775,0.743
1876,13.534,1.1179999999999999,13.88,0.878,13.912,0.817,13.759,0.735
1877,13.582,1.0,13.903,0.879,13.958,0.792,13.743,0.734
1878,13.911000000000001,1.041,13.828000000000001,0.886,13.899000000000001,0.775,13.736,0.737
1879,14.132,1.077,13.997,0.7949999999999999,13.876000000000001,0.754,13.753,0.734
1880,13.982000000000001,1.134,13.947000000000001,0.778,13.802,0.75,13.764000000000001,0.722
1881,14.375,1.134,13.919,0.748,13.695,0.718,13.753,0.705
1882,13.336,0.862,13.804,0.771,13.645000000000001,0.724,13.747,0.688
1883,13.769,0.804,13.531,0.731,13.672,0.767,13.737,0.683
1884,13.557,0.9299999999999999,13.337,0.762,13.667,0.747,13.704,0.668
1885,12.621,0.751,13.372,0.804,13.66,0.764,13.683,0.651
1886,13.402000000000001,0.946,13.445,0.821,13.595,0.729,13.702,0.649
1887,13.51,1.088,13.551,0.817,13.535,0.708,13.706000000000001,0.644
1888,14.134,1.046,13.753,0.8160000000000001,13.575000000000001,0.702,13.709,0.654
1889,14.089,0.8380000000000001,13.625,0.754,13.533000000000001,0.6970000000000001,13.677,0.65
1890,13.627,0.893,13.836,0.71,13.564,0.692,13.684000000000001,0.665
1891,12.763,0.9319999999999999,13.644,0.6799999999999999,13.708,0.677,13.676,0.651
1892,14.567,0.71,13.571,0.709,13.768,0.658,13.673,0.645
1893,13.172,0.752,13.604000000000001,0.67,13.746,0.643,13.715,0.644
1894,13.728,0.869,13.92,0.63,13.687000000000001,0.632,13.667,0.647
1895,13.790000000000001,0.698,13.626000000000001,0.626,13.708,0.635,13.71,0.651
1896,14.346,0.712,13.76,0.607,13.757,0.618,13.728,0.644
1897,13.096,0.7030000000000001,13.833,0.666,13.811,0.623,13.776,0.65
1898,13.842,0.757,13.807,0.6839999999999999,13.854000000000001,0.631,13.748000000000001,0.639
1899,14.093,0.864,13.732000000000001,0.6759999999999999,13.8,0.65,13.722000000000001,0.632
1900,13.659,0.748,13.992,0.681,13.856,0.669,13.728,0.631
1901,13.97,0.8340000000000001,13.871,0.6930000000000001,13.749,0.6859999999999999,13.704,0.642
1902,14.397,0.762,13.784,0.6890000000000001,13.785,0.694,13.705,0.645
1903,13.234,0.7989999999999999,13.72,0.742,13.75,0.6930000000000001,13.719000000000001,0.658
1904,13.66,0.841,13.642000000000001,0.743,13.756,0.6950000000000001,13.75,0.657
