year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1825,,,,,,,,
1826,24.968,1.246,,,,,,
1827,25.612000000000002,1.4649999999999999,25.12,1.1829999999999998,,,,
1828,25.124000000000002,1.5110000000000001,25.05,1.159,24.87,1.065,,
1829,24.711000000000002,1.347,25.009,1.1400000000000001,24.896,1.108,,
1830,24.836000000000002,1.482,24.781000000000002,1.155,24.898,1.135,,
1831,24.763,1.6219999999999999,24.632,1.245,24.781000000000002,1.108,,
1832,24.470000000000002,1.343,,,24.689,1.135,,
1833,,,,,24.552,1.147,24.644000000000002,0.996
1834,,,,,24.464000000000002,1.126,24.661,1.007
1835,,,,,24.451,1.109,24.606,1.0030000000000001
1836,24.130000000000003,1.197,,,24.38,1.107,24.565,1.0030000000000001
1837,24.154,1.385,24.254,1.248,24.386,1.1219999999999999,24.55,1.022
1838,23.995,1.212,24.265,1.192,24.418,1.117,24.494,1.034
1839,24.470000000000002,1.689,24.269000000000002,1.133,24.425,1.137,24.488,1.028
1840,24.576,1.278,24.366,1.076,24.314,1.111,24.522000000000002,1.02
1841,24.151,1.363,24.498,1.111,24.35,1.092,24.515,1.03
1842,24.635,1.188,24.498,1.121,24.41,1.0899999999999999,24.519000000000002,1.055
1843,24.655,1.331,24.409,1.164,24.436,1.101,24.535,1.064
1844,24.471,1.5310000000000001,24.466,1.185,24.512,1.084,24.52,1.064
1845,24.131,1.327,24.493000000000002,1.22,24.594,1.056,24.472,1.027
1846,24.438000000000002,1.2429999999999999,24.470000000000002,1.176,24.651,1.063,24.498,1.023
1847,24.769000000000002,1.4409999999999998,24.569,1.085,24.652,1.083,24.508,1.008
1848,24.54,1.1909999999999998,24.819,1.137,24.652,1.083,24.525000000000002,1.017
1849,24.964000000000002,1.357,24.867,1.158,24.615000000000002,1.063,24.548000000000002,1.011
1850,25.382,1.67,24.819,1.208,24.63,1.038,24.558,0.976
1851,24.679000000000002,1.2810000000000001,24.8,1.275,24.646,1.04,24.561,0.95
1852,24.53,1.571,24.681,1.202,24.605,1.013,24.583000000000002,0.9410000000000001
1853,24.442,1.311,24.444,1.038,24.615000000000002,1.021,24.578,0.925
1854,24.372,1.096,24.389,1.058,24.583000000000002,1.026,24.578,0.921
1855,24.195,1.6269999999999998,24.349,1.088,24.523,0.973,24.591,0.923
1856,24.405,1.351,24.401,1.145,24.472,0.913,24.629,0.9259999999999999
1857,24.334,1.263,24.491,1.075,24.514,0.876,24.61,0.921
1858,24.698,1.164,24.513,0.8899999999999999,24.504,0.858,24.638,0.9199999999999999
1859,24.823,1.083,24.555,0.863,24.541,0.881,24.622,0.9099999999999999
1860,24.304000000000002,1.181,24.688000000000002,1.022,24.552,0.9039999999999999,24.632,0.881
1861,24.619,1.113,24.679000000000002,1.177,24.612000000000002,0.9259999999999999,24.623,0.874
1862,24.997,1.476,24.564,1.112,24.614,0.991,24.633,0.86
1863,24.651,1.6840000000000002,24.642,1.161,24.662,1.041,24.638,0.85
1864,24.251,1.1179999999999999,24.655,1.1059999999999999,24.66,1.036,24.654,0.843
1865,24.69,1.255,24.651,1.044,24.741,1.023,24.682000000000002,0.867
1866,24.687,1.063,24.637,0.988,24.774,1.052,24.713,0.8859999999999999
1867,24.977,1.0859999999999999,24.863,1.006,24.752000000000002,0.997,24.712,0.9059999999999999
1868,24.581,1.1709999999999998,24.91,0.961,24.773,0.969,24.737000000000002,0.9139999999999999
1869,25.381,1.142,24.891000000000002,1.025,24.767,0.9079999999999999,24.785,0.9019999999999999
1870,24.921,1.08,24.872,0.989,24.811,0.9119999999999999,24.785,0.889
1871,24.595000000000002,1.3519999999999999,24.897000000000002,0.94,24.814,0.9099999999999999,24.809,0.885
1872,24.882,1.327,24.742,0.9259999999999999,24.809,0.8839999999999999,24.822,0.86
1873,24.709,1.023,24.709,0.929,24.812,0.858,24.834,0.837
1874,24.605,1.1320000000000001,24.779,0.917,24.909,0.854,24.832,0.813
1875,24.754,1.085,24.682000000000002,0.9119999999999999,24.829,0.863,24.844,0.8109999999999999
1876,24.946,1.01,24.885,0.921,24.845000000000002,0.848,24.814,0.8
1877,24.398,1.113,24.917,0.893,24.892,0.851,24.813000000000002,0.7789999999999999
1878,25.720000000000002,1.076,24.947,0.8859999999999999,24.895,0.848,24.781000000000002,0.762
1879,24.765,0.946,24.931,0.893,24.896,0.839,24.775000000000002,0.762
1880,24.908,0.9410000000000001,25.096,0.855,24.878,0.817,24.735,0.756
1881,24.866,0.988,24.887,0.8109999999999999,24.814,0.8119999999999999,24.711000000000002,0.739
1882,25.219,0.9159999999999999,24.845000000000002,0.818,24.817,0.7749999999999999,24.726,0.749
1883,24.675,0.911,24.768,0.836,24.751,0.763,24.701,0.752
1884,24.557000000000002,1.026,24.673000000000002,0.802,24.641000000000002,0.7789999999999999,24.71,0.751
1885,24.524,0.987,24.511,0.846,24.642,0.814,24.708000000000002,0.745
1886,24.388,0.959,24.431,0.8959999999999999,24.576,0.834,24.718,0.762
1887,24.412,1.192,24.465,0.95,24.560000000000002,0.8979999999999999,24.757,0.788
1888,24.271,1.2349999999999999,24.468,1.011,24.508,0.9039999999999999,24.79,0.834
1889,24.73,1.072,24.474,1.034,24.523,0.8979999999999999,24.769000000000002,0.869
1890,24.537,1.077,24.555,1.031,24.539,0.909,24.758,0.853
1891,24.422,1.169,24.626,0.968,24.623,0.953,24.739,0.8119999999999999
1892,24.813000000000002,1.3039999999999998,24.621000000000002,0.905,24.698,0.971,24.681,0.786
1893,24.63,0.757,24.697,0.947,24.829,1.017,24.685000000000002,0.796
1894,24.703,0.8109999999999999,24.808,0.965,24.898,1.079,24.679000000000002,0.802
1895,24.914,1.15,24.985,0.989,24.874000000000002,1.012,24.659,0.8029999999999999
1896,24.978,1.29,25.115000000000002,1.186,24.902,0.883,24.672,0.794
1897,25.698,1.412,25.150000000000002,1.254,24.802,0.738,24.684,0.788
1898,25.282,1.555,25.078,0.958,24.862000000000002,0.743,24.7,0.766
1899,24.876,0.953,24.903000000000002,0.825,24.836000000000002,0.763,24.717000000000002,0.761
1900,24.556,1.658,24.627000000000002,1.072,24.779,0.77,24.732,0.739
1901,24.101,2.2439999999999998,24.609,1.157,24.721,0.833,24.735,0.722
1902,24.319,1.3900000000000001,24.445,1.28,24.67,0.893,24.739,0.723
1903,25.191,1.162,24.379,1.1949999999999998,24.571,0.962,24.776,0.71
1904,24.058,1.083,24.508,0.9219999999999999,24.536,1.04,24.766000000000002,0.72
1905,24.228,1.242,24.595000000000002,0.825,24.59,0.982,24.772000000000002,0.723
1906,24.745,0.868,24.524,0.895,24.568,0.868,24.782,0.735
1907,24.751,0.9099999999999999,24.714000000000002,0.842,24.676000000000002,0.766,24.751,0.765
1908,24.838,0.919,24.748,0.772,24.69,0.756,24.687,0.8029999999999999
1909,25.006,0.7809999999999999,24.714000000000002,0.78,24.696,0.7829999999999999,24.684,0.843
1910,24.398,1.0030000000000001,24.812,0.764,24.766000000000002,0.772,24.726,0.816
1911,24.577,1.0859999999999999,24.802,0.782,24.843,0.749,24.743000000000002,0.769
1912,25.240000000000002,0.75,24.721,0.8099999999999999,24.832,0.757,24.802,0.729
1913,24.788,0.7769999999999999,24.88,0.763,24.804000000000002,0.756,24.817,0.724
1914,24.604,0.889,24.959,0.749,24.833000000000002,0.772,24.848,0.729
1915,25.189,0.844,24.856,0.763,24.861,0.768,24.903000000000002,0.73
1916,24.974,0.874,24.824,0.792,24.917,0.746,24.927,0.716
1917,24.727,0.864,24.938000000000002,0.7969999999999999,24.928,0.726,24.939,0.705
1918,24.624000000000002,0.9410000000000001,24.947,0.7909999999999999,24.944,0.719,24.956,0.702
1919,25.177,0.8109999999999999,24.917,0.748,25.0,0.717,24.972,0.703
1920,25.233,0.7789999999999999,25.022000000000002,0.751,25.04,0.735,24.973,0.72
1921,24.822,1.133,25.137,0.772,25.011,0.751,25.019000000000002,0.731
1922,25.256,0.899,25.148,0.7949999999999999,25.047,0.73,25.028000000000002,0.733
