year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1856,19.942,1.012,,,,,,
1857,19.887,0.9560000000000001,20.239,0.8310000000000001,,,,
1858,20.014,1.236,20.195,0.773,20.303,0.7270000000000001,,
1859,20.556,1.084,20.249,0.766,20.293,0.7370000000000001,,
1860,20.577,1.105,20.347,0.8390000000000001,20.256,0.73,,
1861,20.209,0.9390000000000001,20.412,0.982,20.269000000000002,0.7230000000000001,20.374,0.595
1862,20.378,1.211,20.345,0.91,20.318,0.746,20.372,0.5880000000000001
1863,20.34,1.189,20.272,0.878,20.387,0.777,20.376,0.573
1864,20.221,0.901,20.335,0.867,20.444,0.776,20.407,0.5780000000000001
1865,20.213,0.9650000000000001,20.34,0.805,20.416,0.746,20.387,0.577
1866,20.524,0.9520000000000001,20.401,0.784,20.42,0.744,20.366,0.5740000000000001
1867,20.402,0.932,20.490000000000002,0.787,20.432,0.7310000000000001,20.403,0.5820000000000001
1868,20.645,1.004,20.555,0.79,20.449,0.706,20.462,0.597
1869,20.666,0.9470000000000001,20.516000000000002,0.805,20.521,0.71,20.499,0.5960000000000001
1870,20.536,0.9570000000000001,20.509,0.79,20.518,0.706,20.473,0.5740000000000001
1871,20.329,0.9550000000000001,20.565,0.781,20.463,0.704,20.471,0.565
1872,20.367,0.906,20.54,0.784,20.488,0.7030000000000001,20.488,0.546
1873,20.925,1.202,20.452,0.759,20.537,0.694,20.484,0.539
1874,20.541,1.028,20.45,0.758,20.554000000000002,0.686,20.488,0.532
1875,20.099,1.215,20.571,0.794,20.53,0.67,20.48,0.529
1876,20.318,1.021,20.568,0.807,20.523,0.66,20.471,0.528
1877,20.972,0.986,20.554000000000002,0.796,20.544,0.652,20.452,0.526
1878,20.913,0.9480000000000001,20.62,0.75,20.518,0.662,20.457,0.526
1879,20.471,0.925,20.608,0.736,20.454,0.682,20.456,0.538
1880,20.428,0.845,20.518,0.7310000000000001,20.442,0.677,20.446,0.542
1881,20.256,0.843,20.393,0.7170000000000001,20.479,0.672,20.432,0.546
1882,20.521,0.861,20.321,0.706,20.415,0.659,20.429000000000002,0.545
1883,20.291,0.8360000000000001,20.253,0.7230000000000001,20.376,0.66,20.413,0.547
1884,20.111,0.8360000000000001,20.248,0.732,20.358,0.673,20.37,0.561
1885,20.083000000000002,0.912,20.22,0.728,20.362000000000002,0.681,20.373,0.552
1886,20.235,0.89,20.28,0.756,20.341,0.692,20.418,0.533
1887,20.377,1.005,20.413,0.797,20.314,0.692,20.435,0.519
1888,20.591,1.009,20.415,0.809,20.307,0.682,20.426000000000002,0.517
1889,20.777,0.974,20.423000000000002,0.805,20.285,0.672,20.399,0.51
1890,20.094,0.9420000000000001,20.406,0.771,20.303,0.669,20.416,0.508
1891,20.274,0.855,20.29,0.73,20.356,0.654,20.45,0.502
1892,20.292,0.8340000000000001,20.182,0.7130000000000001,20.455000000000002,0.644,20.467,0.5
1893,20.011,0.894,20.286,0.702,20.475,0.634,20.506,0.496
1894,20.238,0.8220000000000001,20.395,0.6910000000000001,20.44,0.625,20.507,0.501
1895,20.615000000000002,0.803,20.555,0.682,20.47,0.6180000000000001,20.532,0.516
1896,20.822,0.8300000000000001,20.666,0.674,20.56,0.611,20.571,0.522
1897,21.091,0.8,20.687,0.655,20.62,0.609,20.609,0.519
1898,20.565,0.8,20.757,0.643,20.705000000000002,0.6100000000000001,20.599,0.523
1899,20.344,0.7250000000000001,20.787,0.638,20.729,0.6100000000000001,20.582,0.531
1900,20.966,0.7110000000000001,20.784,0.661,20.761,0.599,20.584,0.524
1901,20.972,0.791,20.815,0.669,20.786,0.607,20.599,0.523
1902,21.072,0.785,20.815,0.654,20.763,0.6220000000000001,20.603,0.515
1903,20.719,0.8360000000000001,20.798000000000002,0.7170000000000001,20.723,0.6180000000000001,20.637,0.5
1904,20.347,0.988,20.803,0.7390000000000001,20.723,0.615,20.686,0.489
1905,20.88,1.0070000000000001,20.693,0.718,20.698,0.603,20.731,0.486
1906,20.999,0.6930000000000001,20.631,0.7190000000000001,20.638,0.6120000000000001,20.772000000000002,0.47800000000000004
1907,20.522,0.601,20.593,0.6220000000000001,20.585,0.583,20.747,0.47700000000000004
1908,20.406,0.806,20.534,0.541,20.568,0.544,20.694,0.47100000000000003
1909,20.157,0.543,20.386,0.52,20.643,0.525,20.711,0.467
1910,20.586,0.628,20.458000000000002,0.484,20.702,0.48000000000000004,20.727,0.459
1911,20.257,0.692,20.547,0.47300000000000003,20.758,0.452,20.7,0.452
1912,20.883,0.559,20.763,0.5,20.731,0.44100000000000006,20.678,0.43900000000000006
1913,20.853,0.663,20.939,0.47100000000000003,20.666,0.44700000000000006,20.65,0.42300000000000004
1914,21.239,0.5860000000000001,21.075,0.457,20.699,0.45000000000000007,20.661,0.41400000000000003
1915,21.463,0.5820000000000001,20.936,0.504,20.755,0.42800000000000005,20.662,0.39
1916,20.94,0.7390000000000001,20.787,0.504,20.763,0.40800000000000003,20.658,0.377
1917,20.186,0.851,20.775,0.486,20.77,0.4,20.687,0.379
1918,20.109,0.662,20.584,0.43700000000000006,20.732,0.399,20.709,0.381
1919,21.179000000000002,0.499,20.467,0.42500000000000004,20.678,0.41400000000000003,20.746,0.389
1920,20.507,0.706,20.571,0.43800000000000006,20.622,0.41500000000000004,20.765,0.386
