year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,6.279,1.428,,,,,,
1755,6.999,0.7859999999999999,,,,,,
1756,6.9879999999999995,1.829,6.555999999999999,1.331,,,,
1757,6.606,1.774,6.707999999999999,1.52,,,,
1758,5.9079999999999995,2.4090000000000003,6.686999999999999,1.525,6.808,1.215,,
1759,7.0409999999999995,5.877,6.824999999999999,1.546,6.806,1.215,,
1760,6.893999999999999,4.031,6.949,1.43,6.885,1.2289999999999999,,
1761,7.675999999999999,2.229,6.989,1.165,6.811999999999999,1.257,,
1762,7.226,1.141,7.053999999999999,0.953,6.819999999999999,1.172,,
1763,6.109999999999999,3.0260000000000002,7.023,0.981,6.840999999999999,1.054,6.85,1.224
1764,7.364999999999999,2.9690000000000003,6.7669999999999995,1.046,6.8629999999999995,1.216,6.835999999999999,1.194
1765,6.739,1.853,6.622999999999999,1.12,6.816999999999999,1.038,6.859,1.159
1766,6.394,3.004,6.686,1.9969999999999999,6.774,1.123,6.866,1.1260000000000001
1767,6.508,1.917,6.593,2.128,6.7059999999999995,1.084,6.8839999999999995,1.079
1768,6.425,1.77,6.502,1.889,6.8919999999999995,1.931,6.903,0.954
1769,6.898,5.0969999999999995,6.622999999999999,1.774,6.866,1.769,6.933,0.892
1770,6.287,1.5979999999999999,6.837999999999999,1.7209999999999999,6.832999999999999,1.788,6.9719999999999995,0.832
1771,6.9959999999999996,1.588,7.007,1.367,6.919,0.994,6.975,0.822
1772,7.585999999999999,1.904,7.148,1.191,6.947,1.02,7.002999999999999,0.768
1773,7.268,1.446,7.273,1.263,6.9639999999999995,0.997,6.997999999999999,0.869
1774,7.6049999999999995,1.759,7.260999999999999,0.7969999999999999,7.002,0.69,7.0,0.821
1775,6.911,2.5730000000000004,7.0089999999999995,0.769,7.127999999999999,0.747,6.962999999999999,0.718
1776,6.936999999999999,1.01,7.026,0.681,7.175999999999999,0.825,6.96,0.635
1777,6.324,1.56,6.957999999999999,1.057,7.2989999999999995,0.658,6.944999999999999,0.516
1778,7.353,1.873,7.133,0.777,7.103999999999999,0.57,6.989,0.295
