year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1825,,,,,,,,
1826,,,,,,,,
1827,,,,,,,,
1828,,,,,,,,
1829,,,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,,,,,,,,
1847,,,,,,,,
1848,,,,,,,,
1849,,,,,,,,
1850,,,,,,,,
1851,25.244,1.655,,,,,,
1852,25.293,1.975,25.231,1.631,,,,
1853,25.15,1.641,25.31,1.5339999999999998,,,,
1854,,,25.312,1.54,,,,
1855,25.581,1.6039999999999999,25.244,1.48,,,,
1856,25.257,1.698,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,25.243,1.678,,,,,,
1868,25.376,1.754,25.375,1.532,,,,
1869,25.537,1.5339999999999998,25.295,1.573,25.27,1.4909999999999999,,
1870,25.321,1.596,25.265,1.53,25.256,1.507,,
1871,24.998,1.709,25.236,1.514,25.24,1.51,25.27,1.4609999999999999
1872,25.092,1.557,25.172,1.5379999999999998,25.24,1.503,25.292,1.4529999999999998
1873,25.231,1.591,25.135,1.524,25.271,1.472,25.301,1.4409999999999998
1874,25.216,1.755,25.188,1.4909999999999999,25.313,1.4889999999999999,25.304,1.428
1875,25.138,1.587,25.228,1.521,25.289,1.4769999999999999,25.287,1.434
1876,25.265,1.625,25.366,1.4749999999999999,25.283,1.4609999999999999,25.29,1.43
1877,25.289,1.688,25.425,1.4989999999999999,25.336,1.458,25.295,1.424
1878,25.92,1.528,25.412,1.502,25.33,1.435,25.284,1.4249999999999998
1879,25.513,1.609,25.432,1.48,25.338,1.417,25.284,1.432
1880,25.073,1.52,25.44,1.421,25.319,1.419,25.296,1.427
1881,25.364,1.592,25.322,1.4,25.34,1.407,25.298000000000002,1.417
1882,25.328,1.4649999999999999,25.227,1.406,25.35,1.385,25.306,1.405
1883,25.334,1.455,25.231,1.401,25.297,1.406,25.297,1.403
1884,25.034,1.512,25.245,1.3639999999999999,25.254,1.404,25.287,1.4
1885,25.095,1.6019999999999999,25.225,1.387,25.304,1.408,25.292,1.39
1886,25.435,1.451,25.198,1.4529999999999998,25.312,1.407,25.303,1.383
1887,25.225,1.596,25.346,1.471,25.275,1.398,25.316,1.349
1888,25.201,1.632,25.402,1.48,25.265,1.411,25.319,1.3539999999999999
1889,25.774,1.501,25.325,1.47,25.236,1.423,25.298000000000002,1.3519999999999999
1890,25.374,1.639,25.339,1.446,25.265,1.411,25.308,1.3579999999999999
1891,25.054,1.4929999999999999,25.271,1.416,25.265,1.399,25.336,1.351
1892,25.291,1.52,25.152,1.414,25.281,1.365,25.334,1.351
