year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1823,,,,,,,,
1824,26.478,1.405,,,,,,
1825,26.854,1.12,26.666,0.876,,,,
1826,26.797,1.232,26.905,1.2,26.69,0.9259999999999999,,
1827,27.264,1.327,26.91,1.167,26.684,0.99,,
1828,27.132,1.675,26.874,1.186,26.665,1.072,26.418,0.9590000000000001
1829,26.505,1.367,26.827,1.15,26.696,1.132,26.404,0.9690000000000001
1830,26.672,1.505,26.644,1.264,26.707,1.196,26.444,0.9690000000000001
1831,26.562,1.579,26.449,1.296,26.628,1.208,26.454,0.9750000000000001
1832,26.349,1.5739999999999998,26.48,1.314,26.537,1.25,26.443,0.984
1833,26.155,1.536,26.425,1.294,26.401,1.23,26.444,0.9990000000000001
1834,26.664,1.482,26.335,1.326,26.297,1.184,26.448,0.994
1835,26.395,1.6239999999999999,26.244,1.272,26.291,1.158,26.392,0.9590000000000001
1836,26.113,1.24,26.195,1.245,26.218,1.131,26.349,0.9359999999999999
1837,25.891000000000002,1.304,26.122,1.268,26.203,1.098,26.331,0.9450000000000001
1838,25.909,1.122,26.124,1.165,26.223,1.058,26.261,0.935
1839,26.303,1.664,26.072,1.028,26.2,1.047,26.244,0.9199999999999999
1840,26.404,1.135,26.154,0.933,26.077,0.96,26.279,0.9179999999999999
1841,25.851,1.154,26.202,0.9450000000000001,26.07,0.948,26.266000000000002,0.9299999999999999
1842,26.302,0.913,26.152,0.974,26.125,0.96,26.261,0.954
1843,26.152,1.265,26.052,1.085,26.121,0.996,26.266000000000002,0.956
1844,26.052,1.5899999999999999,26.079,1.18,26.191,0.968,26.261,0.9570000000000001
1845,25.903,1.343,26.11,1.243,26.267,0.919,26.211,0.906
1846,25.986,1.301,26.125,1.158,26.314,0.9139999999999999,26.232,0.901
1847,26.455000000000002,1.318,26.252,0.96,26.32,0.964,26.255,0.884
1848,26.228,0.976,26.504,0.97,26.309,0.948,26.247,0.887
1849,26.688,1.198,26.597,1.013,26.322,0.917,26.252,0.872
1850,27.161,1.683,26.509,1.048,26.345,0.88,26.258,0.8440000000000001
1851,26.454,1.025,26.517,1.101,26.394,0.898,26.261,0.8200000000000001
1852,26.012,1.395,26.448,1.032,26.385,0.876,26.296,0.8220000000000001
1853,26.268,1.014,26.172,0.879,26.372,0.873,26.3,0.8069999999999999
1854,26.346,0.856,26.196,0.898,26.313,0.875,26.319,0.81
1855,25.778,1.369,26.216,0.8140000000000001,26.25,0.8320000000000001,26.322,0.823
1856,26.574,0.919,26.17,0.827,26.207,0.772,26.365,0.845
1857,26.115,0.8460000000000001,26.184,0.7889999999999999,26.272,0.748,26.346,0.859
1858,26.038,0.994,26.259,0.749,26.291,0.741,26.369,0.863
1859,26.414,1.049,26.233,0.7929999999999999,26.316,0.8140000000000001,26.365,0.853
1860,26.155,0.847,26.374,0.9710000000000001,26.3,0.883,26.371,0.8160000000000001
1861,26.445,1.057,26.487000000000002,1.199,26.336,0.921,26.355,0.817
1862,26.821,1.4689999999999999,26.361,1.137,26.307,0.996,26.37,0.81
1863,26.6,1.882,26.41,1.224,26.367,1.036,26.378,0.8340000000000001
1864,25.785,0.9710000000000001,26.409,1.16,26.418,1.055,26.372,0.8240000000000001
1865,26.399,1.214,26.35,1.06,26.491,1.057,26.402,0.87
1866,26.439,0.859,26.296,0.948,26.503,1.091,26.427,0.889
1867,26.528,0.9870000000000001,26.581,0.986,26.467,1.011,26.424,0.903
1868,26.331,1.229,26.612000000000002,0.99,26.464,1.018,26.457,0.904
1869,27.208,1.183,26.591,1.044,26.428,0.904,26.515,0.896
1870,26.554,1.177,26.575,1.037,26.504,0.9119999999999999,26.521,0.884
1871,26.334,1.194,26.572,0.9610000000000001,26.517,0.9,26.545,0.879
1872,26.445,1.416,26.394,0.913,26.541,0.847,26.539,0.845
1873,26.317,0.906,26.394,0.845,26.548000000000002,0.808,26.547,0.812
1874,26.32,0.956,26.489,0.8400000000000001,26.612000000000002,0.781,26.554,0.766
1875,26.554,0.87,26.445,0.782,26.551000000000002,0.7869999999999999,26.582,0.756
1876,26.806,0.761,26.648,0.768,26.586,0.769,26.554,0.737
1877,26.228,0.94,26.68,0.783,26.611,0.777,26.543,0.7070000000000001
1878,27.333,0.902,26.713,0.7909999999999999,26.629,0.741,26.517,0.685
1879,26.481,0.9450000000000001,26.678,0.8200000000000001,26.68,0.729,26.501,0.677
1880,26.72,0.819,26.777,0.762,26.661,0.6970000000000001,26.463,0.663
1881,26.63,0.976,26.658,0.714,26.591,0.7010000000000001,26.447,0.639
1882,26.721,0.7070000000000001,26.648,0.6910000000000001,26.546,0.65,26.449,0.64
1883,26.739,0.872,26.574,0.6890000000000001,26.485,0.631,26.428,0.645
1884,26.429,0.833,26.44,0.645,26.39,0.666,26.446,0.652
1885,26.352,0.8420000000000001,26.288,0.734,26.374,0.72,26.427,0.64
1886,25.961,0.852,26.15,0.808,26.307,0.759,26.408,0.638
1887,25.961,1.272,26.148,0.898,26.287,0.821,26.411,0.63
1888,26.046,1.257,26.127,1.026,26.228,0.841,26.424,0.648
1889,26.418,0.972,26.165,1.072,26.211,0.854,26.396,0.659
1890,26.246,1.077,26.244,1.012,26.194,0.866,26.392,0.6779999999999999
1891,26.155,1.174,26.292,0.896,26.226,0.877,26.386,0.675
1892,26.353,0.9970000000000001,26.277,0.8280000000000001,26.277,0.813,26.355,0.67
1893,26.286,0.669,26.287,0.743,26.362000000000002,0.751,26.356,0.6799999999999999
1894,26.343,0.6970000000000001,26.311,0.641,26.402,0.716,26.343,0.6910000000000001
1895,26.298000000000002,0.664,26.416,0.5720000000000001,26.411,0.669,26.324,0.7070000000000001
1896,26.272,0.577,26.484,0.5740000000000001,26.465,0.601,26.355,0.718
1897,26.88,0.604,26.531,0.5800000000000001,26.422,0.584,26.372,0.7070000000000001
1898,26.626,0.775,26.578,0.542,26.484,0.582,26.39,0.679
1899,26.579,0.7030000000000001,26.586,0.587,26.474,0.603,26.404,0.668
1900,26.532,0.839,26.445,0.662,26.454,0.628,26.402,0.656
1901,26.316,1.028,26.497,0.694,26.485,0.648,26.397,0.64
1902,26.173000000000002,0.79,26.4,0.77,26.466,0.6779999999999999,26.417,0.637
1903,26.888,0.704,26.337,0.777,26.417,0.694,26.455000000000002,0.625
1904,26.092,1.034,26.382,0.762,26.407,0.72,26.443,0.625
1905,26.214,0.883,26.411,0.786,26.393,0.7130000000000001,26.462,0.623
1906,26.541,0.778,26.351,0.8009999999999999,26.329,0.7070000000000001,26.487000000000002,0.62
1907,26.318,0.831,26.433,0.749,26.411,0.718,26.477,0.631
1908,26.592,0.765,26.384,0.74,26.426000000000002,0.7030000000000001,26.431,0.641
1909,26.501,0.765,26.326,0.767,26.412,0.696,26.431,0.645
1910,25.966,0.856,26.447,0.688,26.471,0.675,26.448,0.642
1911,26.254,0.8109999999999999,26.451,0.669,26.489,0.668,26.454,0.635
1912,26.92,0.6859999999999999,26.411,0.6779999999999999,26.489,0.652,26.497,0.634
1913,26.615,0.7,26.55,0.619,26.445,0.648,26.505,0.629
1914,26.303,0.7150000000000001,26.641000000000002,0.59,26.455000000000002,0.622,26.523,0.615
1915,26.658,0.615,26.523,0.621,26.504,0.612,26.568,0.603
1916,26.711,0.647,26.431,0.619,26.578,0.586,26.577,0.594
1917,26.329,0.6930000000000001,26.514,0.582,26.583,0.5720000000000001,26.595,0.581
1918,26.152,0.643,26.538,0.581,26.584,0.5760000000000001,26.619,0.581
1919,26.719,0.5660000000000001,26.538,0.583,26.634,0.581,26.635,0.575
1920,26.78,0.611,26.649,0.609,26.665,0.584,26.661,0.563
1921,26.71,0.738,26.783,0.646,26.666,0.588,26.702,0.563
1922,26.883,0.786,26.811,0.663,26.702,0.584,26.707,0.56
1923,26.825,0.722,26.806,0.666,26.792,0.586,26.708,0.563
1924,26.858,0.6859999999999999,26.838,0.625,26.816,0.597,26.739,0.56
1925,26.754,0.7,26.845,0.597,26.817,0.595,26.736,0.562
1926,26.871,0.588,26.826,0.598,26.826,0.596,26.729,0.56
1927,26.918,0.692,26.838,0.599,26.830000000000002,0.592,26.754,0.556
1928,26.731,0.6970000000000001,26.838,0.621,26.832,0.581,26.794,0.553
1929,26.917,0.696,26.781,0.655,26.843,0.5740000000000001,26.801,0.558
1930,26.753,0.651,26.806,0.635,26.806,0.5800000000000001,26.792,0.5589999999999999
1931,26.582,0.6839999999999999,26.87,0.605,26.792,0.573,26.789,0.556
1932,27.045,0.595,26.798000000000002,0.5760000000000001,26.806,0.5720000000000001,26.805,0.543
1933,27.052,0.623,26.812,0.556,26.796,0.565,26.815,0.536
1934,26.558,0.598,26.793,0.55,26.786,0.552,26.808,0.53
1935,26.824,0.562,26.788,0.573,26.766000000000002,0.558,26.804,0.529
1936,26.484,0.608,26.713,0.579,26.751,0.569,26.812,0.527
1937,27.023,0.692,26.75,0.593,26.779,0.56,26.843,0.527
1938,26.679,0.599,26.686,0.611,26.798000000000002,0.5700000000000001,26.857,0.531
1939,26.742,0.683,26.748,0.599,26.773,0.567,26.885,0.538
1940,26.504,0.65,26.793,0.579,26.801,0.5780000000000001,26.895,0.546
1941,26.793,0.627,26.819,0.593,26.832,0.577,26.873,0.555
1942,27.247,0.6910000000000001,26.861,0.615,26.88,0.59,26.873,0.558
1943,26.808,0.635,26.941,0.63,26.918,0.587,26.867,0.5589999999999999
1944,26.954,0.694,26.981,0.641,26.985,0.604,26.89,0.556
1945,26.905,0.609,26.971,0.634,27.023,0.61,26.894000000000002,0.5609999999999999
1946,26.991,0.661,27.069,0.621,26.994,0.613,26.891000000000002,0.558
1947,27.196,0.698,27.145,0.625,26.967,0.595,26.888,0.553
1948,27.3,0.673,27.106,0.629,26.937,0.584,26.888,0.553
1949,27.333,0.6990000000000001,26.981,0.626,27.007,0.573,26.911,0.555
1950,26.713,0.6779999999999999,26.944,0.586,26.986,0.5660000000000001,26.939,0.55
1951,26.366,0.6,26.892,0.56,26.95,0.555,26.959,0.549
1952,27.009,0.679,26.845,0.539,26.895,0.544,26.959,0.542
1953,27.041,0.628,26.804,0.55,26.859,0.549,26.945,0.532
1954,27.098,0.598,26.872,0.5720000000000001,26.837,0.538,26.955000000000002,0.525
1955,26.504,0.653,26.851,0.582,26.854,0.544,26.965,0.518
1956,26.707,0.627,26.792,0.575,26.923000000000002,0.539,26.961,0.515
1957,26.904,0.577,26.856,0.5640000000000001,26.95,0.538,26.928,0.514
1958,26.748,0.651,26.956,0.549,26.953,0.528,26.906,0.511
1959,27.419,0.587,27.031,0.536,26.903,0.513,26.862000000000002,0.504
1960,27.004,0.597,27.055,0.519,26.944,0.495,26.856,0.506
1961,27.079,0.59,27.054,0.527,26.973,0.498,26.878,0.508
1962,27.023,0.519,26.98,0.522,26.961,0.503,26.879,0.506
1963,26.747,0.553,26.963,0.537,26.953,0.516,26.893,0.506
1964,27.048000000000002,0.5800000000000001,26.897,0.506,26.887,0.532,26.879,0.509
1965,26.919,0.62,26.824,0.517,26.858,0.532,26.887,0.505
1966,26.747,0.59,26.784,0.541,26.834,0.526,26.902,0.513
1967,26.66,0.577,26.765,0.555,26.808,0.525,26.904,0.514
1968,26.549,0.6779999999999999,26.731,0.584,26.834,0.515,26.919,0.512
1969,26.948,0.573,26.726,0.5780000000000001,26.855,0.534,26.913,0.506
1970,26.754,0.665,26.787,0.567,26.829,0.534,26.903,0.503
