year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1824,,,,,,,,
1825,25.655,0.9259999999999999,,,,,,
1826,25.473,0.8959999999999999,25.583,0.8939999999999999,,,,
1827,25.844,1.141,25.623,0.8740000000000001,25.432,0.736,,
1828,25.752,1.21,25.591,0.873,25.396,0.792,,
1829,25.39,1.241,25.581,0.8879999999999999,25.422,0.8420000000000001,,
1830,25.496,1.312,25.396,0.9530000000000001,25.425,0.8899999999999999,,
1831,25.424,1.3820000000000001,25.217,1.038,25.337,0.9139999999999999,,
1832,24.918,1.039,,,,,,
1833,,,,,,,25.192999999999998,0.796
1834,,,,,,,25.197,0.798
1835,,,,,,,25.145,0.776
1836,,,,,,,25.102999999999998,0.752
1837,,,,,,,25.101,0.767
1838,24.707,1.041,,,,,25.049,0.764
1839,25.198,1.4300000000000002,24.874,0.869,24.971,0.9059999999999999,25.021,0.744
1840,25.14,0.9970000000000001,24.936,0.8140000000000001,24.864,0.8109999999999999,25.02,0.731
1841,24.623,0.8979999999999999,24.983999999999998,0.788,24.87,0.761,24.996,0.74
1842,25.011,0.8,24.9,0.735,24.928,0.756,25.009,0.769
1843,24.948,1.029,24.823999999999998,0.781,24.944,0.778,25.014,0.771
1844,24.779,1.162,24.905,0.8919999999999999,24.969,0.743,25.024,0.785
1845,24.756999999999998,1.049,24.945999999999998,0.97,24.987,0.718,24.997,0.742
1846,25.032,1.152,24.951,0.903,25.022,0.7230000000000001,25.04,0.729
1847,25.214,1.15,25.028,0.785,25.061,0.786,25.075,0.716
1848,24.972,0.782,25.15,0.767,25.038999999999998,0.774,25.075,0.7110000000000001
1849,25.166999999999998,0.942,25.198999999999998,0.764,25.076999999999998,0.754,25.065,0.6890000000000001
1850,25.368,1.172,25.143,0.774,25.13,0.712,25.059,0.667
1851,25.275,0.751,25.177,0.8300000000000001,25.21,0.7250000000000001,25.056,0.652
1852,24.933,1.249,25.198999999999998,0.831,25.221,0.7250000000000001,25.082,0.665
1853,25.143,0.942,25.142,0.735,25.205,0.7190000000000001,25.079,0.657
1854,25.276,0.8069999999999999,25.25,0.744,25.162,0.726,25.098,0.651
1855,25.083,0.767,25.294999999999998,0.655,25.131,0.694,25.121,0.642
1856,25.815,0.841,25.194,0.623,25.091,0.65,25.148,0.658
1857,25.159,0.821,25.111,0.631,25.102999999999998,0.631,25.12,0.667
1858,24.636,0.8660000000000001,25.084,0.667,25.119,0.634,25.136,0.661
1859,24.864,0.8400000000000001,24.927,0.653,25.118,0.6799999999999999,25.146,0.659
1860,24.944,0.726,24.951999999999998,0.6819999999999999,25.111,0.6859999999999999,25.162,0.64
1861,25.03,0.687,25.076,0.835,25.086,0.6890000000000001,25.155,0.631
1862,25.283,0.9570000000000001,25.086,0.785,25.019,0.708,25.166,0.624
1863,25.259999999999998,1.45,25.148,0.79,25.066,0.743,25.186,0.667
1864,24.912,0.8440000000000001,25.157,0.8140000000000001,25.13,0.759,25.172,0.65
1865,25.255,0.761,25.114,0.817,25.192999999999998,0.757,25.175,0.6719999999999999
1866,25.073999999999998,0.76,25.115,0.739,25.218,0.757,25.156,0.6719999999999999
1867,25.069,0.9119999999999999,25.27,0.756,25.227999999999998,0.727,25.149,0.663
1868,25.267,1.006,25.274,0.784,25.253999999999998,0.788,25.198999999999998,0.6699999999999999
1869,25.684,0.9039999999999999,25.31,0.8049999999999999,25.224999999999998,0.688,25.259999999999998,0.6679999999999999
1870,25.277,0.923,25.361,0.8,25.239,0.7030000000000001,25.283,0.66
1871,25.253,0.9139999999999999,25.326999999999998,0.738,25.227,0.6950000000000001,25.297,0.652
1872,25.322,1.285,25.224,0.6819999999999999,25.278,0.66,25.288,0.636
1873,25.098,0.656,25.175,0.679,25.331,0.641,25.281,0.612
1874,25.168,0.735,25.176,0.662,25.39,0.645,25.27,0.5680000000000001
1875,25.034,0.8380000000000001,25.209,0.63,25.372,0.65,25.262,0.5660000000000001
1876,25.256,0.577,25.428,0.6819999999999999,25.377,0.634,25.259999999999998,0.544
1877,25.487,0.944,25.496,0.748,25.347,0.641,25.256999999999998,0.541
1878,26.195999999999998,1.069,25.567999999999998,0.724,25.308,0.5900000000000001,25.239,0.541
1879,25.506999999999998,0.958,25.534,0.724,25.316,0.56,25.230999999999998,0.542
1880,25.393,0.781,25.411,0.629,25.284,0.526,25.219,0.536
1881,25.09,0.8620000000000001,25.213,0.542,25.294,0.528,25.214,0.531
1882,24.872,0.735,25.088,0.529,25.236,0.526,25.21,0.529
1883,25.201,0.869,25.023,0.517,25.148,0.515,25.189,0.534
1884,24.881999999999998,0.7230000000000001,25.034,0.547,25.073,0.53,25.188,0.534
1885,25.069,0.5920000000000001,25.0,0.633,25.065,0.565,25.178,0.517
1886,25.147,0.727,24.961,0.587,25.052,0.5720000000000001,25.184,0.512
1887,24.698999999999998,1.09,25.079,0.638,25.073,0.603,25.184,0.491
1888,25.008,0.716,25.092,0.671,25.07,0.595,25.184,0.48
1889,25.472,0.704,25.08,0.6890000000000001,25.06,0.61,25.152,0.481
1890,25.131,0.739,25.182,0.6970000000000001,25.072,0.612,25.152,0.492
