year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1867,21.459,1.741,,,,,,
1868,21.483,1.7960000000000003,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,,,,,,,,
1877,,,,,,,,
1878,,,,,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,21.376,1.814,,,,,,
1883,21.046,1.687,21.155,1.405,,,,
1884,20.799,1.725,21.091,1.4020000000000001,,,,
1885,,,21.046,1.411,,,,
1886,,,21.043,1.4080000000000001,,,,
1887,21.153,1.6750000000000003,,,,,,
1888,21.032,1.665,,,,,,
1889,,,,,,,,
1890,,,,,,,21.252,1.28
1891,,,,,21.209,1.3410000000000002,21.287,1.2830000000000001
1892,21.282,1.5050000000000001,,,21.263,1.3370000000000002,21.278,1.268
1893,20.879,1.7590000000000001,21.169,1.3410000000000002,21.319,1.326,21.304000000000002,1.27
1894,21.066,1.6300000000000001,21.25,1.3250000000000002,21.325,1.324,21.329,1.2770000000000001
1895,21.41,1.5170000000000001,21.353,1.308,21.309,1.318,21.349,1.2770000000000001
1896,21.612000000000002,1.59,21.44,1.3430000000000002,21.406,1.318,21.376,1.2970000000000002
1897,21.796,1.6400000000000001,21.487000000000002,1.407,21.404,1.312,21.395,1.3030000000000002
1898,21.316,1.617,21.574,1.3940000000000001,21.466,1.308,21.406,1.2970000000000002
1899,21.301000000000002,1.6740000000000002,21.578,1.371,21.521,1.3070000000000002,21.402,1.2950000000000002
1900,21.846,1.734,21.505,1.383,21.522000000000002,1.302,21.381,1.282
1901,21.63,1.55,21.597,1.3610000000000002,21.543,1.342,21.378,1.2630000000000001
1902,21.431,1.488,21.543,1.352,21.526,1.37,21.383,1.268
1903,21.778,1.6110000000000002,21.519000000000002,1.3940000000000001,21.493000000000002,1.364,21.413,1.27
1904,21.029,1.493,21.517,1.472,21.478,1.358,21.435,1.2480000000000002
1905,21.726,2.039,21.485,1.534,21.452,1.334,21.468,1.2600000000000002
1906,21.623,1.6110000000000002,21.406,1.497,21.351,1.302,21.48,1.2630000000000001
1907,21.27,1.457,21.396,1.485,21.361,1.3290000000000002,21.457,1.27
1908,21.382,1.4780000000000002,21.256,1.298,21.36,1.318,21.427,1.2590000000000001
1909,20.978,1.445,21.173000000000002,1.282,21.348,1.294,21.439,1.249
1910,21.029,1.7080000000000002,21.278,1.346,21.414,1.312,21.46,1.2440000000000002
1911,21.207,1.3940000000000001,21.248,1.3780000000000001,21.417,1.304,21.446,1.239
1912,21.793,1.8410000000000002,21.386,1.3940000000000001,21.388,1.298,21.453,1.254
1913,21.233,1.4620000000000002,21.587,1.403,21.362000000000002,1.2810000000000001,21.454,1.2560000000000002
1914,21.67,1.3890000000000002,21.629,1.375,21.400000000000002,1.262,21.472,1.2690000000000001
1915,22.03,1.423,21.493000000000002,1.276,21.469,1.268,21.478,1.266
1916,21.421,1.512,21.45,1.247,21.541,1.264,21.471,1.268
1917,21.113,1.4520000000000002,21.504,1.266,21.545,1.272,21.494,1.2710000000000001
1918,21.018,1.3920000000000001,21.437,1.2750000000000001,21.548000000000002,1.2970000000000002,21.516000000000002,1.2750000000000001
1919,21.938,1.52,21.443,1.27,21.596,1.3430000000000002,21.552,1.276
1920,21.694,1.363,21.568,1.318,21.542,1.346,21.572,1.28
1921,21.45,1.3980000000000001,21.683,1.4400000000000002,21.525000000000002,1.3450000000000002,21.62,1.2810000000000001
1922,21.738,1.5590000000000002,21.668,1.471,21.599,1.3490000000000002,21.637,1.2770000000000001
1923,21.597,1.7600000000000002,21.576,1.4660000000000002,21.671,1.3570000000000002,21.642,1.2750000000000001
1924,21.859,1.6460000000000001,21.697,1.483,21.703,1.3770000000000002,21.64,1.272
1925,21.234,1.372,21.686,1.449,21.676000000000002,1.374,21.624,1.274
1926,22.056,1.463,21.740000000000002,1.356,21.699,1.366,21.608,1.2750000000000001
1927,21.683,1.4280000000000002,21.691,1.2950000000000002,21.73,1.3270000000000002,21.636,1.2810000000000001
1928,21.87,1.371,21.78,1.3110000000000002,21.736,1.2970000000000002,21.676000000000002,1.2810000000000001
1929,21.611,1.4240000000000002,21.778,1.3,21.684,1.264,21.679000000000002,1.2870000000000001
1930,21.68,1.3880000000000001,21.791,1.2790000000000001,21.707,1.27,21.694,1.2810000000000001
1931,22.046,1.3030000000000002,21.725,1.2870000000000001,21.692,1.268,21.726,1.2770000000000001
1932,21.747,1.2400000000000002,21.68,1.266,21.673000000000002,1.2650000000000001,21.774,1.2600000000000002
1933,21.54,1.359,21.652,1.2610000000000001,21.682000000000002,1.2610000000000001,21.79,1.247
1934,21.385,1.306,21.567,1.2590000000000001,21.654,1.242,21.792,1.2340000000000002
1935,21.541,1.4020000000000001,21.584,1.27,21.713,1.2280000000000002,21.82,1.235
1936,21.62,1.346,21.611,1.249,21.753,1.2320000000000002,21.849,1.239
1937,21.834,1.3490000000000002,21.693,1.2590000000000001,21.818,1.2320000000000002,21.848,1.237
1938,21.676000000000002,1.2770000000000001,21.82,1.2710000000000001,21.845,1.2340000000000002,21.858,1.2340000000000002
1939,21.794,1.28,21.997,1.2810000000000001,21.900000000000002,1.238,21.867,1.2300000000000002
1940,22.175,1.37,22.084,1.268,21.933,1.2400000000000002,21.873,1.231
1941,22.505,1.3270000000000002,22.105,1.272,22.006,1.2510000000000001,21.844,1.231
1942,22.27,1.4440000000000002,22.147000000000002,1.2750000000000001,22.022000000000002,1.2480000000000002,21.854,1.2340000000000002
1943,21.78,1.3770000000000002,22.107,1.3070000000000002,22.034,1.2360000000000002,21.862000000000002,1.238
1944,22.002,1.344,22.041,1.3310000000000002,22.079,1.242,21.906,1.241
1945,21.98,1.3450000000000002,21.971,1.2590000000000001,22.033,1.25,21.899,1.249
1946,22.174,1.352,22.009,1.233,21.935,1.2530000000000001,21.896,1.249
1947,21.921,1.489,21.977,1.2590000000000001,21.889,1.254,21.879,1.2530000000000001
1948,21.968,1.2990000000000002,21.858,1.284,21.88,1.2590000000000001,21.914,1.2530000000000001
1949,21.839000000000002,1.3450000000000002,21.761,1.2950000000000002,21.911,1.266,21.951,1.247
1950,21.387,1.3780000000000001,21.777,1.2810000000000001,21.865000000000002,1.2790000000000001,21.943,1.243
1951,21.689,1.2790000000000001,21.792,1.2990000000000002,21.786,1.298,21.921,1.2360000000000002
1952,22.0,1.4520000000000002,21.802,1.3110000000000002,21.736,1.292,21.886,1.235
1953,22.044,1.471,21.808,1.3470000000000002,21.794,1.298,21.882,1.2320000000000002
1954,21.889,1.3800000000000001,21.752,1.359,21.822,1.2950000000000002,21.892,1.2280000000000002
1955,21.417,1.4040000000000001,21.739,1.344,21.852,1.2890000000000001,21.888,1.225
1956,21.408,1.3800000000000001,21.828,1.3250000000000002,21.906,1.286,21.892,1.2360000000000002
1957,21.935,1.4480000000000002,21.868000000000002,1.2810000000000001,21.883,1.254,21.897000000000002,1.227
1958,22.488,1.3530000000000002,21.948,1.25,21.883,1.2340000000000002,21.891000000000002,1.221
1959,22.089000000000002,1.231,22.051000000000002,1.235,21.872,1.2060000000000002,21.889,1.2140000000000002
1960,21.82,1.304,22.016000000000002,1.2200000000000002,21.911,1.193,21.927,1.2100000000000002
1961,21.922,1.27,21.905,1.217,21.997,1.197,21.957,1.205
1962,21.76,1.2520000000000002,21.906,1.2160000000000002,22.058,1.1920000000000002,21.932000000000002,1.1940000000000002
1963,21.934,1.215,21.943,1.2020000000000002,21.989,1.199,21.967,1.1880000000000002
1964,22.095,1.2850000000000001,22.006,1.207,21.956,1.1960000000000002,21.957,1.175
