year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,22.294,0.677,,,,,,
1877,22.631999999999998,0.736,,,,,,
1878,23.046,0.743,22.659,0.535,,,,
1879,,,22.79,0.577,22.647,0.542,,
1880,,,22.826999999999998,0.597,22.613,0.5680000000000001,,
1881,22.95,0.8680000000000001,22.701999999999998,0.604,22.648,0.615,,
1882,22.817999999999998,0.74,22.598,0.634,22.668,0.683,22.602999999999998,0.614
1883,22.421,0.687,22.586,0.7070000000000001,22.608,0.679,22.605,0.609
1884,22.312,0.764,22.524,0.761,22.533,0.6659999999999999,22.596,0.608
1885,22.432,0.986,22.444,0.812,22.564,0.6950000000000001,22.592,0.602
1886,22.637999999999998,1.107,22.43,0.7789999999999999,22.576,0.761,22.614,0.607
1887,22.419999999999998,0.938,22.512,0.733,22.531,0.746,22.628,0.603
1888,22.347,0.653,22.576,0.802,22.53,0.708,22.634,0.619
1889,22.721,0.637,22.579,0.757,22.544999999999998,0.712,22.634,0.649
1890,22.752,1.333,22.63,0.692,22.570999999999998,0.669,22.653,0.6559999999999999
1891,22.657,0.893,22.637999999999998,0.6639999999999999,22.579,0.626,22.661,0.616
1892,22.674,0.6739999999999999,22.61,0.6759999999999999,22.588,0.5569999999999999,22.654,0.556
1893,22.387,0.595,22.59,0.552,22.661,0.5820000000000001,22.663999999999998,0.537
1894,22.581,0.688,22.628999999999998,0.5549999999999999,22.735,0.648,22.669,0.535
