year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,6.289,1.363,,,,,,
1755,6.554,1.3290000000000002,,,,,,
1756,6.981,1.5310000000000001,6.471,1.137,,,,
1757,6.57,1.4620000000000002,6.514,1.187,,,,
1758,5.963,1.952,6.308,1.187,6.4190000000000005,1.135,,
1759,6.501,4.958,6.335,1.314,6.373,1.121,,
1760,5.525,3.832,6.313,1.357,6.3420000000000005,1.139,,
1761,7.113,2.129,6.26,1.307,6.26,1.1800000000000002,,
1762,6.462,1.5190000000000001,6.226,1.262,6.273,1.19,,
1763,5.7,2.981,6.281,1.295,6.226,1.186,6.274,1.233
1764,6.327,2.992,6.12,1.26,6.226,1.4289999999999998,6.259,1.209
1765,5.804,2.221,6.05,1.248,6.258,1.298,6.257,1.1840000000000002
1766,6.309,2.992,6.191,2.161,6.23,1.226,6.268,1.186
1767,6.112,1.899,6.208,2.324,6.11,1.1179999999999999,6.28,1.224
1768,6.405,2.187,6.222,1.8970000000000002,6.13,2.009,6.251,1.1960000000000002
1769,6.4110000000000005,4.537,6.1080000000000005,1.7959999999999998,6.145,1.842,6.283,1.1840000000000002
1770,5.875,1.6139999999999999,6.043,1.6789999999999998,6.173,1.859,6.357,1.158
1771,5.7379999999999995,1.379,6.135,1.404,6.275,1.001,6.409,1.1360000000000001
1772,5.787,2.05,6.133,1.3290000000000002,6.288,1.1219999999999999,6.4030000000000005,1.084
1773,6.863,1.7360000000000002,6.308,1.328,6.276,1.115,6.37,1.072
1774,6.4030000000000005,2.311,6.426,1.254,6.339,1.121,6.386,1.013
1775,6.748,2.521,6.517,1.468,6.455,0.989,6.352,1.0030000000000001
1776,6.331,1.5060000000000002,6.529,1.259,6.589,0.912,6.36,0.9390000000000001
1777,6.24,2.115,6.718,1.303,6.695,1.0070000000000001,6.344,0.9590000000000001
1778,6.92,1.7429999999999999,6.793,1.1360000000000001,6.61,1.107,6.352,1.034
1779,7.349,2.093,6.923,1.0470000000000002,6.627,0.988,6.381,0.984
1780,7.124,1.428,6.868,0.8320000000000001,6.531,1.009,6.421,0.9530000000000001
