year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1856,,,,,,,,
1857,,,,,,,,
1858,24.073999999999998,0.835,,,,,,
1859,,,,,,,,
1860,24.607,0.827,24.308,0.5640000000000001,,,,
1861,24.111,0.571,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,24.688,0.6859999999999999,,,,,,
1875,24.476,0.619,24.474999999999998,0.481,,,,
1876,23.936999999999998,0.876,24.516,0.484,,,,
1877,24.585,0.683,24.384999999999998,0.608,24.418,0.45399999999999996,,
1878,24.896,0.715,24.266,0.651,24.391,0.441,,
1879,24.029,1.1909999999999998,24.366,0.516,24.363,0.432,24.369,0.428
1880,23.884999999999998,0.5780000000000001,24.335,0.504,24.340999999999998,0.44,24.358,0.422
1881,24.436999999999998,0.77,24.241,0.44799999999999995,24.364,0.429,24.307,0.43
1882,24.428,0.513,24.328,0.612,24.375,0.415,24.282999999999998,0.426
1883,24.427,0.723,24.432,0.629,24.269,0.429,24.259,0.426
1884,24.462,0.961,24.418,0.5800000000000001,24.221,0.5,24.224,0.415
1885,24.407,0.599,24.31,0.616,24.278,0.575,24.213,0.415
1886,24.368,0.594,24.215,0.609,24.206,0.611,24.215,0.417
1887,23.887,0.646,24.208,0.567,24.147,0.593,24.221999999999998,0.42
1888,23.948999999999998,0.753,24.055999999999997,0.6950000000000001,24.127,0.605,24.214,0.423
1889,24.429,0.586,23.924,0.687,24.084,0.585,24.195999999999998,0.46099999999999997
1890,23.644,1.344,23.958,0.659,24.084,0.556,24.241,0.488
1891,23.71,0.623,23.973,0.626,24.066,0.552,24.273,0.479
1892,24.058999999999997,0.546,23.938,0.593,24.069,0.521,24.288,0.46799999999999997
1893,24.021,0.738,24.06,0.45599999999999996,24.159,0.504,24.302,0.46799999999999997
