year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1824,,,,,,,,
1825,25.822,0.7250000000000001,,,,,,
1826,25.398,0.593,25.552,0.511,,,,
1827,26.020999999999997,0.8550000000000001,25.605,0.511,,,,
1828,25.410999999999998,0.782,25.528,0.507,,,,
1829,25.371,0.858,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,25.480999999999998,0.55,,,,,,
1847,25.174999999999997,1.016,25.253999999999998,0.54,,,,
1848,25.262,0.613,25.294999999999998,0.599,25.230999999999998,0.514,,
1849,25.369,0.8380000000000001,25.244999999999997,0.551,25.224,0.495,,
1850,25.189,0.799,25.250999999999998,0.5730000000000001,25.267,0.46199999999999997,,
1851,25.230999999999998,0.596,25.247999999999998,0.547,25.288999999999998,0.45999999999999996,25.218,0.43300000000000005
1852,25.205,0.917,25.214,0.484,25.221999999999998,0.43300000000000005,25.227,0.44600000000000006
1853,25.244999999999997,0.514,25.278,0.381,25.22,0.44300000000000006,25.209,0.44500000000000006
1854,25.198999999999998,0.557,25.259999999999998,0.43000000000000005,25.201999999999998,0.42300000000000004,25.195999999999998,0.43700000000000006
1855,25.511,0.639,25.176,0.354,25.218,0.403,25.215999999999998,0.44200000000000006
1856,25.139,0.618,25.177,0.378,25.194,0.388,25.229,0.43800000000000006
1857,24.785999999999998,0.5660000000000001,25.209,0.398,25.203,0.394,25.22,0.42900000000000005
1858,25.25,0.652,25.154,0.45499999999999996,25.186,0.41100000000000003,25.247999999999998,0.42700000000000005
1859,25.358,0.7160000000000001,25.144,0.45100000000000007,25.168,0.43800000000000006,25.246,0.40800000000000003
1860,25.238,0.582,25.212,0.509,25.163999999999998,0.475,25.268,0.398
1861,25.087,0.607,25.180999999999997,0.577,25.169,0.45899999999999996,25.262999999999998,0.394
1862,25.125,0.806,25.14,0.545,25.218,0.476,25.276999999999997,0.384
1863,25.096999999999998,1.026,25.145,0.5640000000000001,25.276,0.484,25.287,0.366
1864,25.15,0.636,25.221,0.551,25.291,0.45899999999999996,25.301,0.365
1865,25.264,0.6880000000000001,25.294,0.5,25.317999999999998,0.43100000000000005,25.305999999999997,0.379
1866,25.468,0.5660000000000001,25.365,0.43800000000000006,25.333,0.43700000000000006,25.294,0.368
1867,25.493,0.5730000000000001,25.467,0.4,25.352,0.41000000000000003,25.305999999999997,0.368
1868,25.451,0.7050000000000001,25.482,0.367,25.387,0.355,25.346,0.36
1869,25.657,0.545,25.459999999999997,0.399,25.433999999999997,0.333,25.386,0.35
1870,25.343,0.583,25.442,0.355,25.448,0.328,25.381999999999998,0.34199999999999997
1871,25.355,0.676,25.436999999999998,0.377,25.418,0.326,25.383,0.341
1872,25.404999999999998,0.673,25.407,0.388,25.393,0.327,25.401999999999997,0.327
1873,25.426,0.554,25.397,0.377,25.416999999999998,0.339,25.412,0.314
1874,25.506999999999998,0.603,25.36,0.352,25.480999999999998,0.369,25.412,0.31000000000000005
1875,25.291,0.5630000000000001,25.381,0.389,25.447,0.367,25.395,0.30300000000000005
1876,25.171,0.629,25.508,0.404,25.432,0.349,25.381999999999998,0.30800000000000005
1877,25.509,0.7080000000000001,25.517999999999997,0.45999999999999996,25.453,0.34199999999999997,25.352999999999998,0.32
1878,26.064999999999998,0.637,25.480999999999998,0.474,25.436,0.352,25.336,0.329
1879,25.557,0.668,25.526999999999997,0.42900000000000005,25.389,0.34,25.337999999999997,0.34199999999999997
1880,25.102999999999998,0.517,25.523,0.387,25.343,0.348,25.325,0.345
1881,25.403,0.5670000000000001,25.331999999999997,0.356,25.346,0.345,25.304,0.34199999999999997
1882,25.488,0.555,25.215,0.356,25.311999999999998,0.346,25.296999999999997,0.345
1883,25.108999999999998,0.5670000000000001,25.191,0.376,25.255,0.356,25.279,0.357
1884,24.971,0.521,25.139,0.401,25.194,0.371,25.259,0.35
1885,24.985,0.605,25.023999999999997,0.42900000000000005,25.203,0.384,25.247,0.348
1886,,,25.075,0.45100000000000007,25.174999999999997,0.386,25.266,0.34299999999999997
1887,24.913,0.679,25.211,0.479,25.14,0.391,25.282,0.333
1888,25.363,0.578,25.156,0.526,25.122,0.39,25.265,0.327
1889,25.648999999999997,0.55,25.147,0.495,25.128,0.392,25.221,0.328
1890,24.711,0.922,25.232,0.45499999999999996,25.151,0.384,25.23,0.33
1891,25.099999999999998,0.41500000000000004,25.153,0.43000000000000005,25.186999999999998,0.382,25.258,0.337
1892,25.337,0.46599999999999997,25.070999999999998,0.381,25.252,0.347,25.268,0.358
1893,24.965999999999998,0.43500000000000005,25.209999999999997,0.29300000000000004,25.276,0.327,25.282999999999998,0.353
1894,25.24,0.372,25.268,0.29800000000000004,25.249,0.326,25.302,0.347
1895,25.407999999999998,0.5700000000000001,25.326999999999998,0.30500000000000005,25.256999999999998,0.29100000000000004,25.305999999999997,0.352
1896,25.389,0.38,25.378999999999998,0.29500000000000004,25.342,0.30900000000000005,25.326999999999998,0.351
