year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1824,,,,,,,,
1825,26.215,0.917,,,,,,
1826,26.096,0.961,26.212,0.9390000000000001,,,,
1827,26.547,1.101,26.228,0.912,26.017,0.755,,
1828,26.399,1.336,26.19,0.92,25.990000000000002,0.8220000000000001,,
1829,25.885,1.169,26.159000000000002,0.903,26.019000000000002,0.875,,
1830,26.023,1.289,25.971,0.989,26.024,0.93,,
1831,25.943,1.356,25.783,1.048,25.944,0.954,,
1832,25.603,1.193,,,25.869,1.002,25.782,0.768
1833,,,,,25.739,1.001,25.781000000000002,0.784
1834,,,,,25.649,0.958,25.785,0.78
1835,,,,,25.639,0.935,25.728,0.75
1836,25.444,1.13,,,25.564,0.913,25.686,0.7250000000000001
1837,25.294,1.0590000000000002,25.498,1.079,25.547,0.892,25.675,0.735
1838,25.247,0.954,25.489,0.971,25.572,0.865,25.613,0.7270000000000001
1839,25.71,1.432,25.439,0.826,25.551000000000002,0.858,25.593,0.7090000000000001
1840,25.751,0.9440000000000001,25.496000000000002,0.75,25.432000000000002,0.765,25.612000000000002,0.702
1841,25.191000000000003,0.911,25.553,0.747,25.428,0.738,25.596,0.7130000000000001
1842,25.581,0.751,25.481,0.747,25.481,0.742,25.599,0.737
1843,25.531000000000002,1.058,25.382,0.839,25.487000000000002,0.774,25.602,0.736
1844,25.351,1.302,25.44,0.9430000000000001,25.537,0.743,25.607,0.744
1845,25.259,1.112,25.485,1.008,25.586000000000002,0.704,25.569,0.6990000000000001
1846,25.477,1.113,25.490000000000002,0.927,25.629,0.702,25.606,0.694
1847,25.807000000000002,1.1019999999999999,25.604,0.754,25.652,0.758,25.642,0.6799999999999999
1848,25.557000000000002,0.772,25.806,0.745,25.632,0.74,25.633,0.6759999999999999
1849,25.919,0.981,25.871000000000002,0.778,25.662,0.71,25.627000000000002,0.657
1850,26.272000000000002,1.359,25.792,0.789,25.706,0.6739999999999999,25.62,0.632
1851,25.802,0.763,25.815,0.833,25.785,0.6990000000000001,25.622,0.615
1852,25.411,1.162,25.787,0.798,25.804000000000002,0.7,25.650000000000002,0.621
1853,25.673000000000002,0.811,25.627000000000002,0.687,25.779,0.6910000000000001,25.649,0.61
1854,25.778000000000002,0.71,25.737000000000002,0.7050000000000001,25.717000000000002,0.6930000000000001,25.672,0.61
1855,25.469,0.871,25.785,0.603,25.655,0.65,25.681,0.612
1856,26.353,0.853,25.681,0.581,25.615000000000002,0.5920000000000001,25.713,0.634
1857,25.649,0.698,25.619,0.579,25.648,0.5700000000000001,25.676000000000002,0.647
1858,25.155,0.912,25.621000000000002,0.593,25.667,0.5780000000000001,25.688000000000002,0.645
1859,25.466,0.838,25.499000000000002,0.6020000000000001,25.682000000000002,0.646,25.698,0.639
1860,25.481,0.7170000000000001,25.560000000000002,0.687,25.656000000000002,0.673,25.720000000000002,0.61
1861,25.744,0.637,25.703,0.879,25.641000000000002,0.6819999999999999,25.703,0.5900000000000001
1862,25.955000000000002,1.057,25.651,0.8200000000000001,25.547,0.722,25.711000000000002,0.5840000000000001
1863,25.867,1.557,25.719,0.872,25.597,0.755,25.737000000000002,0.657
1864,25.207,0.743,25.66,0.85,25.68,0.775,25.718,0.632
1865,25.82,0.984,25.609,0.8,25.784,0.782,25.729,0.666
1866,25.45,0.647,25.573,0.743,25.792,0.776,25.732,0.673
1867,25.701,0.801,25.861,0.777,25.774,0.728,25.725,0.671
1868,25.688000000000002,1.1640000000000001,25.889,0.748,25.807000000000002,0.829,25.776,0.6779999999999999
1869,26.647000000000002,1.0710000000000002,25.924,0.794,25.754,0.69,25.852,0.6719999999999999
1870,25.959,0.903,25.966,0.861,25.802,0.7130000000000001,25.88,0.6699999999999999
1871,25.627000000000002,0.914,25.961000000000002,0.77,25.823,0.7090000000000001,25.892,0.664
1872,25.909,1.842,25.749000000000002,0.71,25.903000000000002,0.6679999999999999,25.872,0.641
1873,25.665,0.6819999999999999,25.71,0.7230000000000001,25.956,0.646,25.864,0.606
1874,25.586000000000002,0.7170000000000001,25.807000000000002,0.755,26.024,0.623,25.863,0.55
1875,25.761,0.739,25.8,0.5760000000000001,25.976,0.656,25.869,0.54
1876,26.112000000000002,0.622,26.072,0.646,25.992,0.652,25.86,0.514
1877,25.877000000000002,0.784,26.182000000000002,0.708,25.969,0.663,25.874000000000002,0.5
1878,27.022000000000002,1.1139999999999999,26.228,0.766,25.92,0.5680000000000001,25.862000000000002,0.487
1879,26.138,1.088,26.143,0.803,25.971,0.524,25.847,0.479
1880,25.990000000000002,0.83,26.031000000000002,0.6890000000000001,25.937,0.472,25.816000000000003,0.462
1881,25.689,0.874,25.827,0.513,25.896,0.475,25.811,0.457
1882,25.317,0.856,25.71,0.482,25.845000000000002,0.46,25.829,0.462
1883,26.001,1.1520000000000001,25.618000000000002,0.525,25.768,0.446,25.803,0.483
1884,25.551000000000002,0.999,25.615000000000002,0.615,25.67,0.476,25.806,0.472
1885,25.531000000000002,0.533,25.632,0.692,25.655,0.5780000000000001,25.788,0.459
1886,25.673000000000002,0.741,25.542,0.615,25.631,0.609,25.767,0.452
1887,25.403000000000002,1.117,25.661,0.6859999999999999,25.689,0.6699999999999999,25.753,0.441
1888,25.554000000000002,0.687,25.668,0.7210000000000001,25.686,0.654,25.756,0.45
1889,26.143,0.843,25.698,0.787,25.642,0.649,25.713,0.455
1890,25.568,0.852,25.804000000000002,0.763,25.639,0.628,25.703,0.491
1891,25.823,1.261,25.783,0.7110000000000001,25.637,0.6020000000000001,25.721,0.484
1892,25.932000000000002,0.899,25.639,0.616,25.661,0.5449999999999999,25.726,0.479
1893,25.45,0.645,25.627000000000002,0.529,25.745,0.495,25.746000000000002,0.469
1894,25.425,0.706,25.576,0.53,25.756,0.46799999999999997,25.753,0.48
1895,25.508,0.595,25.631,0.5760000000000001,25.751,0.435,25.766000000000002,0.498
1896,25.568,0.625,25.737000000000002,0.496,25.811,0.41500000000000004,25.79,0.5
1897,26.205000000000002,0.461,25.837,0.455,25.762,0.495,25.803,0.506
1898,25.981,0.486,25.956,0.441,25.807000000000002,0.506,25.825,0.498
1899,25.924,0.685,26.018,0.461,25.864,0.51,25.830000000000002,0.506
1900,26.1,0.5680000000000001,25.907,0.47,25.893,0.531,25.816000000000003,0.507
1901,25.881,0.677,25.963,0.476,25.944,0.513,25.811,0.509
1902,25.650000000000002,0.518,25.922,0.5840000000000001,25.945,0.542,25.814,0.533
1903,26.261,0.5549999999999999,25.866,0.639,25.906000000000002,0.56,25.844,0.517
1904,25.720000000000002,1.125,25.895,0.6679999999999999,25.905,0.589,25.851,0.504
1905,25.817,0.791,25.917,0.728,25.881,0.6000000000000001,25.886,0.497
1906,26.026,0.632,25.866,0.742,25.811,0.613,25.919,0.485
1907,25.759,0.687,25.902,0.645,25.867,0.644,25.912,0.498
1908,26.01,0.589,25.811,0.589,25.881,0.6020000000000001,25.869,0.524
1909,25.897000000000002,0.648,25.759,0.607,25.838,0.5529999999999999,25.863,0.527
1910,25.364,0.537,25.841,0.523,25.88,0.514,25.879,0.526
1911,25.765,0.7170000000000001,25.826,0.462,25.893,0.496,25.875,0.515
1912,26.17,0.501,25.795,0.471,25.88,0.484,25.897000000000002,0.514
1913,25.931,0.458,25.943,0.441,25.833000000000002,0.512,25.899,0.504
1914,25.743000000000002,0.617,26.008,0.42200000000000004,25.82,0.485,25.905,0.482
1915,26.106,0.388,25.899,0.48,25.878,0.46699999999999997,25.935000000000002,0.46599999999999997
1916,26.09,0.5880000000000001,25.813000000000002,0.5489999999999999,25.94,0.436,25.934,0.455
1917,25.625,0.662,25.87,0.502,25.927,0.41100000000000003,25.961000000000002,0.435
1918,25.5,0.636,25.876,0.472,25.917,0.434,25.978,0.437
1919,26.029,0.41000000000000003,25.854,0.439,25.972,0.451,25.996000000000002,0.433
1920,26.137,0.457,25.931,0.453,25.991,0.456,26.02,0.42100000000000004
