year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,23.464,0.527,,,,,,
1877,23.733999999999998,0.558,,,,,,
1878,24.142999999999997,0.569,23.747,0.363,,,,
1879,,,23.814,0.377,23.703,0.351,,
1880,,,23.822,0.397,23.653,0.36,,
1881,23.796,0.599,23.686,0.401,23.660999999999998,0.38,,
1882,23.776,0.623,23.583,0.42200000000000004,23.666999999999998,0.41100000000000003,23.631,0.359
1883,23.464,0.587,23.561,0.45099999999999996,23.61,0.41800000000000004,23.637999999999998,0.353
1884,23.334,0.626,23.522,0.473,23.546999999999997,0.42200000000000004,23.63,0.349
1885,23.436,0.681,23.456999999999997,0.495,23.575,0.43200000000000005,23.633,0.345
1886,23.596999999999998,0.731,23.45,0.496,23.56,0.44699999999999995,23.651999999999997,0.344
1887,23.451999999999998,0.687,23.552999999999997,0.485,23.517999999999997,0.43700000000000006,23.671999999999997,0.34299999999999997
1888,23.429,0.594,23.581999999999997,0.506,23.540999999999997,0.41100000000000003,23.676,0.351
1889,23.852999999999998,0.567,23.555999999999997,0.46499999999999997,23.557,0.41000000000000003,23.683,0.361
1890,23.581999999999997,0.76,23.607999999999997,0.42700000000000005,23.613,0.393,23.700999999999997,0.359
1891,23.468,0.58,23.631999999999998,0.394,23.644,0.373,23.726,0.34199999999999997
1892,23.706999999999997,0.499,23.608999999999998,0.39,23.676,0.34099999999999997,23.744,0.324
