year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1825,,,,,,,,
1826,,,,,,,,
1827,,,,,,,,
1828,,,,,,,,
1829,,,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,25.979,0.946,,,,,,
1841,26.304,1.536,26.271,0.9239999999999999,,,,
1842,26.681,1.264,26.297,0.8540000000000001,26.057,0.732,,
1843,26.323999999999998,0.8939999999999999,26.244,0.7789999999999999,26.076999999999998,0.7130000000000001,,
1844,26.198,0.9470000000000001,26.186999999999998,0.6839999999999999,26.093,0.687,,
1845,25.715,0.9590000000000001,26.018,0.8680000000000001,26.107,0.6839999999999999,,
1846,26.019,1.193,25.941,0.8620000000000001,26.117,0.702,,
1847,25.836,1.347,,,26.07,0.777,26.095,0.69
1848,,,,,26.044,0.784,26.119,0.688
1849,,,,,26.058,0.764,26.134999999999998,0.675
1850,,,,,26.116,0.726,26.159,0.6599999999999999
1851,26.221,0.9450000000000001,,,26.157,0.723,26.159,0.646
1852,26.253,1.17,26.24,0.761,26.134,0.72,26.119,0.659
1853,26.223,0.829,26.317999999999998,0.6839999999999999,26.160999999999998,0.728,26.093,0.65
1854,26.427,0.8779999999999999,26.273,0.696,26.177,0.725,26.079,0.644
1855,26.466,0.8540000000000001,26.179,0.6559999999999999,26.21,0.698,26.085,0.644
1856,25.996,0.933,26.171,0.6950000000000001,26.201,0.652,26.118,0.639
1857,25.782999999999998,0.919,26.154999999999998,0.729,26.166999999999998,0.628,26.122999999999998,0.63
1858,26.185,1.046,26.088,0.6990000000000001,26.142,0.62,26.159,0.626
1859,26.346999999999998,0.847,26.083,0.648,26.099,0.65,26.177,0.603
1860,26.127,0.753,26.133,0.6679999999999999,26.054,0.6759999999999999,26.176,0.583
1861,25.974999999999998,0.6659999999999999,26.098,0.722,26.079,0.6539999999999999,26.163999999999998,0.577
1862,,,25.986,0.7030000000000001,26.113,0.644,26.154,0.5609999999999999
1863,,,25.992,0.741,26.157,0.637,26.168,0.538
1864,25.787,0.944,26.093999999999998,0.6990000000000001,26.178,0.598,26.169,0.534
1865,26.154999999999998,0.8500000000000001,26.154999999999998,0.6619999999999999,26.142,0.567,26.166999999999998,0.5489999999999999
1866,26.485,0.8620000000000001,26.218,0.594,26.127,0.5820000000000001,26.16,0.5489999999999999
1867,26.341,0.7050000000000001,26.34,0.624,26.141,0.575,26.157999999999998,0.54
1868,26.323,0.925,26.306,0.702,26.195,0.5449999999999999,26.188,0.534
1869,26.396,1.053,26.226,0.665,26.238,0.5569999999999999,26.221999999999998,0.523
1870,25.986,0.8300000000000001,26.175,0.6819999999999999,26.279999999999998,0.579,26.221999999999998,0.516
1871,26.087,0.905,26.176,0.6950000000000001,26.24,0.579,26.227,0.522
1872,26.084,0.8819999999999999,26.22,0.628,26.203,0.598,26.252,0.515
