year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,3.9139999999999997,2.455,,,,,,
1755,4.567,1.779,,,,,,
1756,4.8149999999999995,2.884,4.274,2.419,,,,
1757,4.468999999999999,2.999,4.447,2.588,,,,
1758,3.604,3.338,4.42,2.601,4.504,2.267,,
1759,4.779999999999999,6.9,4.553,2.576,4.507,2.2800000000000002,,
1760,4.433,5.0600000000000005,4.637,2.415,4.596,2.283,,
1761,5.478,3.208,4.667,2.17,4.523,2.315,,
1762,4.89,2.193,4.721,1.9849999999999999,4.504,2.215,,
1763,3.7539999999999996,4.007,4.707,2.011,4.495,2.102,4.494,2.306
1764,5.048,3.961,4.444999999999999,2.121,4.49,2.279,4.489,2.2720000000000002
1765,4.366,2.895,4.26,2.197,4.444,2.112,4.51,2.2439999999999998
1766,4.1659999999999995,4.071,4.2909999999999995,3.093,4.397,2.172,4.515,2.207
1767,3.965,2.99,4.176,3.1959999999999997,4.301,2.088,4.515,2.1470000000000002
1768,3.912,2.8520000000000003,4.077999999999999,2.916,4.484999999999999,2.964,4.532,2.024
1769,4.47,6.08,4.148,2.738,4.471,2.782,4.561,1.954
1770,3.8779999999999997,2.518,4.391,2.669,4.4239999999999995,2.799,4.606,1.892
1771,4.513999999999999,2.524,4.601,2.299,4.507,1.932,4.6049999999999995,1.8820000000000001
1772,5.181,2.972,4.773,2.19,4.526,1.964,4.6259999999999994,1.821
1773,4.962,2.449,4.878,2.322,4.569999999999999,1.9609999999999999,4.627,1.917
1774,5.3309999999999995,2.748,4.895,1.915,4.632,1.717,4.624,1.867
1775,4.401,3.781,4.648,1.834,4.769,1.798,4.577999999999999,1.77
1776,4.601999999999999,2.142,4.683,1.7610000000000001,4.813,1.876,4.552,1.687
1777,3.944,2.701,4.6129999999999995,2.09,4.951,1.683,4.524,1.577
1778,5.138999999999999,2.867,4.803,1.7690000000000001,4.769,1.639,4.572,1.367
1779,4.9799999999999995,3.222,4.938,1.784,4.777,1.5110000000000001,4.582,1.394
1780,5.35,1.763,5.109,1.533,4.732,1.525,4.595,1.483
1781,5.276,3.302,5.011,1.974,4.596,1.532,4.622999999999999,1.592
