year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1857,,,,,,,,
1858,13.167,1.3439999999999999,,,,,,
1859,13.302999999999999,1.3900000000000001,13.107,1.052,,,,
1860,13.071,1.314,13.190999999999999,1.029,13.152,1.002,,
1861,13.225999999999999,1.262,13.166,1.111,13.18,0.96,,
1862,13.190999999999999,1.309,13.132,1.074,13.231,0.955,,
1863,13.04,1.6429999999999998,13.211,1.036,13.286,0.96,13.28,0.848
1864,13.133,1.241,13.278,1.043,13.291,0.954,13.307,0.841
1865,13.465,1.3639999999999999,13.334,1.012,13.321,0.929,13.296999999999999,0.843
1866,13.56,1.272,13.398,0.977,13.334,0.9319999999999999,13.286,0.833
1867,13.469999999999999,1.196,13.482,0.955,13.344999999999999,0.9139999999999999,13.291,0.834
1868,13.363,1.407,13.447,0.964,13.391,0.885,13.318999999999999,0.836
1869,13.554,1.163,13.397,0.994,13.445,0.879,13.33,0.85
1870,13.289,1.276,13.388,0.958,13.442,0.875,13.315,0.844
1871,13.309999999999999,1.2109999999999999,13.435,0.957,13.392,0.878,13.32,0.852
1872,13.423,1.2650000000000001,13.387,0.9530000000000001,13.350999999999999,0.881,13.331,0.852
1873,13.597999999999999,1.325,13.402,0.946,13.352,0.884,13.325,0.818
1874,,,13.353,0.9359999999999999,13.369,0.9159999999999999,13.341,0.804
1875,13.369,1.161,13.334999999999999,0.955,13.308,0.9430000000000001,13.328999999999999,0.8069999999999999
1876,13.062,1.186,13.334,1.041,13.306,0.938,13.327,0.822
1877,13.336,1.198,13.28,1.084,13.318,0.9470000000000001,13.327,0.834
1878,13.591,1.3820000000000001,13.202,1.129,13.258,0.9490000000000001,13.304,0.836
1879,13.042,1.7280000000000002,13.182,1.116,13.237,0.959,13.325,0.844
1880,12.978,1.27,13.238,1.0939999999999999,13.215,0.921,13.336,0.851
1881,12.964,1.321,13.167,0.996,13.262,0.9179999999999999,13.339,0.849
1882,13.616,1.009,13.177999999999999,0.889,13.302999999999999,0.915,13.346,0.857
1883,13.233,1.0150000000000001,13.234,0.834,13.256,0.909,13.336,0.881
1884,13.097999999999999,1.067,13.421,0.901,13.280999999999999,0.87,13.306,0.884
1885,13.259,1.145,13.315,0.907,13.363999999999999,0.853,13.302,0.861
1886,13.897,1.141,13.318,0.984,13.372,0.861,13.312,0.862
1887,13.088,1.058,13.481,0.984,13.373999999999999,0.864,13.350999999999999,0.862
1888,13.246,1.089,13.514,1.004,13.413,0.9019999999999999,13.354,0.857
1889,13.914,1.085,13.458,1.043,13.373999999999999,0.883,13.334,0.828
1890,13.427,1.3820000000000001,13.508,1.061,13.388,0.867,13.352,0.82
1891,13.615,1.1600000000000001,13.491,1.052,13.360999999999999,0.877,13.388,0.824
1892,13.336,0.975,13.314,1.016,13.398,0.8959999999999999,13.373999999999999,0.837
1893,13.161999999999999,0.978,13.263,0.89,13.452,0.893,13.392,0.847
1894,13.030999999999999,0.9490000000000001,13.274,0.877,13.387,0.895,13.382,0.862
1895,13.17,1.055,13.355,0.879,13.34,0.893,13.389,0.874
1896,13.671,0.972,13.368,0.933,13.403,0.903,13.376999999999999,0.876
1897,13.738999999999999,0.866,13.379,1.005,13.373999999999999,0.9219999999999999,13.347,0.883
1898,13.229,1.2149999999999999,13.519,0.993,13.371,0.94,13.346,0.897
1899,13.087,1.19,13.485999999999999,0.984,13.389,0.965,13.333,0.919
1900,13.87,0.944,13.376,1.002,13.389999999999999,0.972,13.312,0.935
1901,13.504,0.965,13.349,0.95,13.392999999999999,0.967,13.295,0.948
1902,13.192,0.968,13.403,0.967,13.295,0.96,13.282,0.946
1903,13.09,1.013,13.261,0.98,13.24,0.986,13.305,0.966
1904,13.359,1.18,13.225999999999999,0.97,13.279,0.991,13.341999999999999,0.972
1905,13.16,0.957,13.158999999999999,0.995,13.283999999999999,1.022,13.376999999999999,0.978
1906,13.331,0.8999999999999999,13.161999999999999,1.024,13.187999999999999,1.041,13.375,0.966
1907,12.853,1.073,13.184999999999999,1.071,13.190999999999999,1.0110000000000001,13.355,0.9510000000000001
1908,13.108,1.184,13.2,1.109,13.238,1.032,13.315,0.961
1909,13.471,1.346,13.081,1.116,13.296,1.013,13.334999999999999,0.9450000000000001
1910,13.235999999999999,1.174,13.254,1.115,13.363999999999999,1.021,13.36,0.9359999999999999
1911,12.738999999999999,0.9490000000000001,13.373999999999999,1.054,13.357,0.993,13.341999999999999,0.929
1912,13.718,1.0859999999999999,13.461,0.982,13.415,0.97,13.341,0.919
1913,13.706,0.903,13.536999999999999,0.8979999999999999,13.389999999999999,0.966,13.371,0.9319999999999999
1914,13.905999999999999,0.983,13.654,0.855,13.391,0.915,13.41,0.9139999999999999
1915,13.618,0.907,13.57,0.851,13.436,0.868,13.395,0.9019999999999999
1916,13.318999999999999,0.781,13.392999999999999,0.851,13.496,0.83,13.408999999999999,0.888
1917,13.302,0.948,13.383,0.814,13.491,0.834,13.452,0.879
1918,12.822,0.921,13.354,0.796,13.503,0.84,13.491999999999999,0.861
1919,13.855,0.862,13.379,0.816,13.524,0.824,13.508,0.837
1920,13.469999999999999,0.821,13.424,0.823,13.426,0.796,13.527,0.802
1921,13.447,0.9259999999999999,13.587,0.814,13.462,0.802,13.552,0.779
1922,13.526,1.004,13.576,0.846,13.49,0.81,13.572,0.767
1923,13.638,0.986,13.491,0.88,13.594999999999999,0.79,13.594999999999999,0.751
1924,13.796999999999999,0.9099999999999999,13.584999999999999,0.855,13.623999999999999,0.7989999999999999,13.596,0.739
1925,13.049,1.074,13.625,0.839,13.618,0.7989999999999999,13.593,0.73
1926,13.913,0.802,13.667,0.804,13.608,0.798,13.581999999999999,0.725
1927,13.731,0.917,13.642,0.818,13.652,0.782,13.584999999999999,0.718
1928,13.844999999999999,1.053,13.732,0.818,13.687999999999999,0.777,13.642999999999999,0.713
1929,13.671,0.873,13.689,0.823,13.668,0.786,13.67,0.717
1930,13.503,0.834,13.703999999999999,0.861,13.761,0.816,13.655,0.729
1931,13.695,0.835,13.772,0.844,13.702,0.8109999999999999,13.683,0.741
1932,13.806,1.049,13.791,0.867,13.68,0.806,13.741,0.746
1933,14.187,0.878,13.76,0.867,13.690999999999999,0.812,13.737,0.759
1934,13.764,0.9079999999999999,13.701,0.859,13.715,0.841,13.696,0.764
1935,13.349,0.863,13.652,0.854,13.693,0.873,13.746,0.768
1936,13.4,0.907,13.639999999999999,0.9019999999999999,13.759,0.879,13.764,0.771
1937,13.56,1.096,13.622,1.028,13.83,0.886,13.785,0.777
1938,14.129,1.084,13.699,1.063,13.786999999999999,0.8919999999999999,13.789,0.7829999999999999
1939,13.671,1.335,13.873,1.029,13.724,0.893,13.802,0.7889999999999999
1940,13.737,0.985,14.012,0.973,13.731,0.9019999999999999,13.815999999999999,0.781
1941,14.267999999999999,0.742,13.853,0.891,13.826,0.879,13.834999999999999,0.781
1942,14.256,0.879,13.761,0.8,13.889,0.849,13.834,0.7849999999999999
1943,13.333,0.986,13.821,0.786,13.887,0.7989999999999999,13.828,0.7849999999999999
1944,13.213,0.957,13.818,0.773,13.889,0.767,13.812999999999999,0.784
1945,14.036,0.8069999999999999,13.78,0.79,13.94,0.718,13.793,0.7869999999999999
1946,14.251,0.865,13.882,0.747,13.911,0.714,13.793,0.78
1947,14.068,0.784,14.057,0.721,13.838,0.718,13.796999999999999,0.77
1948,13.842,0.748,14.089,0.716,13.869,0.706,13.791,0.745
1949,14.087,0.704,13.908999999999999,0.707,13.902,0.703,13.794,0.729
1950,14.198,0.743,13.895999999999999,0.729,13.855,0.696,13.809,0.709
1951,13.350999999999999,0.965,13.876,0.736,13.761,0.711,13.799,0.698
1952,14.001999999999999,0.788,13.735999999999999,0.746,13.705,0.714,13.788,0.698
1953,13.74,0.747,13.605,0.739,13.695,0.716,13.808,0.691
1954,13.389999999999999,0.726,13.599,0.724,13.7,0.722,13.846,0.6849999999999999
1955,13.543,0.711,13.514999999999999,0.724,13.677999999999999,0.731,13.837,0.6829999999999999
1956,13.32,0.861,13.565,0.718,13.687,0.703,13.841,0.6809999999999999
1957,13.581999999999999,0.756,13.673,0.729,13.738999999999999,0.691,13.84,0.679
1958,13.99,0.7949999999999999,13.66,0.716,13.747,0.6869999999999999,13.837,0.6809999999999999
1959,13.931,0.768,13.887,0.694,13.79,0.6829999999999999,13.818,0.6799999999999999
1960,13.475,0.774,13.937999999999999,0.705,13.818,0.69,13.83,0.6809999999999999
1961,14.456999999999999,0.784,13.901,0.715,13.921,0.6809999999999999,13.847999999999999,0.671
1962,13.837,0.8089999999999999,13.977,0.719,13.975,0.6839999999999999,13.857999999999999,0.6719999999999999
1963,13.805,0.738,14.025,0.715,13.979,0.694,13.855,0.677
1964,14.311,0.638,13.948,0.708,13.937,0.699,13.866999999999999,0.6809999999999999
1965,13.718,0.753,13.955,0.69,13.982,0.695,13.875,0.6839999999999999
1966,14.067,0.711,13.943,0.677,14.009,0.6839999999999999,13.897,0.6759999999999999
1967,13.875,0.715,13.921,0.693,13.977,0.6849999999999999,13.895999999999999,0.675
1968,13.743,0.696,14.038,0.6819999999999999,13.963,0.692,13.915,0.6819999999999999
1969,14.201,0.725,14.029,0.6779999999999999,13.943999999999999,0.697,13.905999999999999,0.6829999999999999
1970,14.307,0.747,13.965,0.69,13.933,0.695,13.93,0.6799999999999999
