year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,4.838,1.746,,,,,,
1755,5.045999999999999,1.576,,,,,,
1756,6.02,2.2880000000000003,5.132,1.833,,,,
1757,5.566,2.327,5.189,1.913,,,,
1758,4.188,2.48,4.933,1.925,5.047,1.802,,
1759,5.1259999999999994,6.147,4.8709999999999996,2.0460000000000003,5.003,1.816,,
1760,3.764,4.8950000000000005,4.869999999999999,1.972,5.076,1.806,,
1761,5.708,2.606,4.859999999999999,1.88,5.0329999999999995,1.804,,
1762,5.561999999999999,1.939,4.928,1.7449999999999999,5.045999999999999,1.725,,
1763,4.141,3.011,5.207,1.732,4.997999999999999,1.666,5.004,1.972
1764,5.465999999999999,3.3739999999999997,5.167999999999999,1.686,5.037999999999999,2.018,5.052,1.93
1765,5.156,2.495,4.951,1.717,5.076,1.897,5.079,1.897
1766,5.513999999999999,3.3040000000000003,5.072,2.537,5.117,1.915,5.117999999999999,1.855
1767,4.4799999999999995,2.261,5.14,2.606,4.933,1.813,5.16,1.842
1768,4.7459999999999996,2.463,4.901999999999999,2.177,4.96,2.323,5.122,1.775
1769,5.803999999999999,4.178,4.731,2.128,5.101,2.113,5.176,1.7469999999999999
1770,3.9639999999999995,2.12,4.6659999999999995,2.012,5.0809999999999995,2.105,5.289,1.72
1771,4.66,1.816,5.031,1.786,5.204,1.513,5.308999999999999,1.698
1772,4.154999999999999,2.105,5.162,1.62,5.273,1.6099999999999999,5.308999999999999,1.627
1773,6.571999999999999,1.943,5.3999999999999995,1.662,5.245,1.591,5.2669999999999995,1.611
1774,6.460999999999999,2.379,5.6899999999999995,1.467,5.314,1.381,5.324999999999999,1.517
1775,5.151,2.644,5.872,1.495,5.5009999999999994,1.438,5.274,1.498
1776,6.114,2.075,5.694,1.4729999999999999,5.5,1.463,5.207,1.421
1777,5.064,2.448,5.617,1.794,5.685,1.424,5.154,1.4100000000000001
1778,5.683,2.2960000000000003,5.739999999999999,1.583,5.574,1.2650000000000001,5.165,1.405
1779,6.0729999999999995,2.692,5.527,1.458,5.5489999999999995,1.2469999999999999,5.12,1.168
