year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1824,,,,,,,,
1825,26.685,0.9710000000000001,,,,,,
1826,26.358999999999998,0.812,26.477999999999998,0.837,,,,
1827,26.752,1.262,26.546,0.806,,,,
1828,26.505,1.042,26.503999999999998,0.7849999999999999,,,,
1829,26.427999999999997,1.292,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,26.226,1.04,,,,,,
1847,26.165,1.232,26.043999999999997,0.84,,,,
1848,25.993,0.849,26.092,0.863,26.057,0.839,,
1849,26.008999999999997,0.9889999999999999,26.095999999999997,0.834,26.075,0.833,,
1850,26.069,1.057,26.083,0.84,26.121,0.798,,
1851,26.244,0.8109999999999999,26.118,0.885,26.171,0.8009999999999999,26.066,0.733
1852,26.098999999999997,1.311,26.154,0.893,26.145,0.782,26.084999999999997,0.75
1853,26.168,1.031,26.186999999999998,0.808,26.141,0.7769999999999999,26.078,0.746
1854,26.191,0.888,26.229,0.81,26.122999999999998,0.7709999999999999,26.084999999999997,0.736
1855,26.232,0.7989999999999999,26.211,0.718,26.125,0.74,26.108999999999998,0.73
1856,26.456999999999997,0.764,26.145999999999997,0.6890000000000001,26.099999999999998,0.712,26.133999999999997,0.73
1857,26.005,0.897,26.093,0.6779999999999999,26.098,0.6950000000000001,26.116999999999997,0.723
1858,25.845999999999997,0.838,26.06,0.692,26.098999999999997,0.6910000000000001,26.133999999999997,0.712
1859,25.923,0.946,25.962999999999997,0.6990000000000001,26.093999999999998,0.724,26.153,0.7
1860,26.066999999999997,0.768,26.003999999999998,0.743,26.096999999999998,0.728,26.173,0.6890000000000001
1861,25.976,0.802,26.064999999999998,0.864,26.095999999999997,0.724,26.173,0.687
1862,26.206,1.099,26.090999999999998,0.821,26.09,0.748,26.189,0.6779999999999999
1863,26.154,1.405,26.136,0.838,26.128,0.7769999999999999,26.208,0.675
1864,26.049999999999997,0.884,26.198999999999998,0.847,26.182,0.778,26.206999999999997,0.6739999999999999
1865,26.291999999999998,0.8899999999999999,26.200999999999997,0.8240000000000001,26.220999999999997,0.755,26.206999999999997,0.6950000000000001
1866,26.291999999999998,0.7929999999999999,26.229,0.753,26.246,0.7649999999999999,26.191,0.6910000000000001
1867,26.217,0.913,26.336,0.735,26.279999999999998,0.74,26.2,0.688
1868,26.296,0.9770000000000001,26.323999999999998,0.735,26.317999999999998,0.727,26.241999999999997,0.69
1869,26.586,0.8180000000000001,26.334,0.786,26.319999999999997,0.673,26.285999999999998,0.6910000000000001
