year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1787,,,,,,,,
1788,,,,,,,,
1789,22.353,1.1469999999999998,22.459,1.365,,,,
1790,22.401,1.261,22.524,1.019,,,,
1791,22.549,1.65,22.512,0.938,,,,
1792,22.72,1.299,,,,,,
1793,,,,,,,,
1794,,,,,,,,
1795,,,,,,,,
1796,,,,,,,,
1797,,,,,,,,
1798,,,,,,,,
1799,,,,,,,,
1800,,,,,,,,
1801,,,,,,,,
1802,,,,,,,,
1803,,,,,,,,
1804,23.188,1.323,,,,,,
1805,,,,,,,,
1806,,,,,,,,
1807,,,,,,,,
1808,,,,,,,,
1809,,,,,,,,
1810,,,,,,,,
1811,,,,,,,,
1812,,,,,,,,
1813,,,,,,,,
1814,,,,,,,,
1815,,,,,,,,
1816,,,,,,,,
1817,,,,,,,,
1818,,,,,,,,
1819,,,,,,,,
1820,,,,,,,,
1821,,,,,,,,
1822,,,,,,,,
1823,,,,,,,,
1824,,,,,,,,
1825,,,,,,,,
1826,,,,,,,,
1827,,,,,,,,
1828,,,,,,,,
1829,,,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,,,,,,,,
1847,,,,,,,,
1848,,,,,,,,
1849,,,,,,,,
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,22.209,1.03,,,,,,
1855,22.474,1.133,22.108,0.867,22.161,0.8859999999999999,,
1856,22.002,0.9769999999999999,22.103,0.895,22.171,0.846,,
1857,21.745,1.003,22.134,0.9079999999999999,22.161,0.825,,
1858,22.087,1.134,22.093,0.859,22.14,0.818,,
1859,22.36,1.079,22.139,0.8579999999999999,22.142,0.832,,
1860,22.272,1.0779999999999998,22.197,0.9059999999999999,22.127,0.841,,
1861,22.231,1.217,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,22.111,0.976,,,,,,
1877,22.375,0.9949999999999999,,,,,,
1878,22.84,0.98,22.409,0.7859999999999999,,,,
1879,,,,,,,,
1880,,,,,,,,
1881,,,,,,,,
1882,,,,,,,,
1883,,,,,,,,
1884,,,,,,,,
1885,,,,,,,,
1886,,,,,,,,
1887,,,,,,,,
1888,,,,,,,,
1889,,,,,,,,
1890,22.028,0.945,,,,,,
1891,21.728,1.331,22.153,0.7749999999999999,,,,
1892,22.154,0.9239999999999999,22.025,0.889,22.229,0.696,,
1893,22.056,0.8919999999999999,22.108999999999998,0.838,22.296,0.717,,
1894,22.159,0.9179999999999999,22.285,0.717,22.323,0.726,22.334,0.6779999999999999
1895,22.448,0.853,22.363,0.73,22.283,0.7859999999999999,22.352,0.697
1896,22.607,0.846,22.46,0.7549999999999999,22.419,0.688,22.383,0.715
1897,22.544,0.897,22.517,0.72,22.48,0.694,22.403,0.727
1898,22.542,1.0659999999999998,22.55,0.7569999999999999,22.529,0.75,22.416,0.741
1899,22.443,0.828,22.621,0.735,22.59,0.772,22.431,0.762
1900,22.612,0.8839999999999999,22.641,0.822,22.567,0.7949999999999999,22.43,0.762
1901,22.961,1.462,22.696,0.958,22.584,0.832,22.456,0.7669999999999999
1902,22.645,1.194,22.648,0.953,22.576999999999998,0.8539999999999999,22.464,0.772
1903,22.817,1.2959999999999998,22.59,1.021,22.536,0.881,22.488,0.7929999999999999
1904,22.205,0.881,22.556,1.017,22.539,0.913,22.52,0.7989999999999999
1905,22.323,1.133,22.454,0.948,22.576999999999998,0.9099999999999999,22.541,0.7919999999999999
1906,22.79,1.1469999999999998,22.392,0.893,22.493,0.9079999999999999,22.548,0.7929999999999999
1907,22.136,0.8109999999999999,22.47,0.946,22.448999999999998,0.8799999999999999,22.54,0.7709999999999999
1908,22.507,1.009,22.506,0.8819999999999999,22.447,0.853,22.515,0.7629999999999999
1909,22.592,0.9249999999999999,22.343,0.8059999999999999,22.448999999999998,0.857,22.501,0.756
1910,22.503,0.827,22.456,0.8059999999999999,22.514,0.8039999999999999,22.518,0.762
1911,21.976,0.7769999999999999,22.468,0.8069999999999999,22.512,0.768,22.482,0.752
1912,22.701,0.7919999999999999,22.488,0.7629999999999999,22.504,0.717,22.465,0.725
1913,22.568,1.005,22.559,0.737,22.494,0.706,22.445,0.696
1914,22.691,0.879,22.647,0.723,22.463,0.71,22.45,0.697
1915,22.861,0.8009999999999999,22.576999999999998,0.764,22.459,0.719,22.46,0.692
1916,22.415,0.8009999999999999,22.477,0.8539999999999999,22.472,0.721,22.465,0.6819999999999999
1917,22.351,1.091,22.433,0.911,22.481,0.741,22.496,0.6759999999999999
1918,22.067,0.967,22.343,0.853,22.443,0.816,22.505,0.6709999999999999
1919,22.472,1.119,22.331,0.7989999999999999,22.45,0.7959999999999999,22.503,0.6709999999999999
1920,22.41,0.8979999999999999,22.308,0.7969999999999999,22.406,0.77,22.5,0.6609999999999999
1921,22.353,0.825,22.422,0.7999999999999999,22.417,0.762,22.509,0.6619999999999999
1922,22.241,1.077,22.438,0.715,22.488,0.707,22.544999999999998,0.6679999999999999
1923,22.636,0.963,22.467,0.717,22.516,0.6739999999999999,22.538,0.6789999999999999
1924,22.551,0.9209999999999999,22.578,0.733,22.544,0.6629999999999999,22.54,0.6619999999999999
1925,22.557,0.7839999999999999,22.651,0.6559999999999999,22.541,0.6589999999999999,22.531,0.6579999999999999
1926,22.908,0.7869999999999999,22.662,0.6559999999999999,22.546,0.6569999999999999,22.524,0.6529999999999999
1927,22.602,0.7469999999999999,22.657,0.729,22.608,0.637,22.551,0.637
1928,22.694,0.772,22.617,0.6849999999999999,22.633,0.6479999999999999,22.585,0.629
1929,22.527,0.84,22.583,0.6689999999999999,22.629,0.6839999999999999,22.604,0.626
1930,22.353,0.83,22.612,0.6779999999999999,22.655,0.701,22.612,0.622
1931,22.738,0.7829999999999999,22.614,0.714,22.63,0.6869999999999999,22.65,0.62
1932,22.748,0.74,22.641,0.716,22.615,0.6729999999999999,22.687,0.61
1933,22.703,0.978,22.651,0.734,22.653,0.6679999999999999,22.701,0.624
1934,22.663,0.7739999999999999,22.654,0.726,22.665,0.6609999999999999,22.689,0.6299999999999999
1935,22.403,0.7869999999999999,22.674,0.702,22.683,0.6539999999999999,22.711,0.633
1936,22.753,0.693,22.717,0.6549999999999999,22.753,0.6469999999999999,22.706,0.628
1937,22.846,0.826,22.73,0.6599999999999999,22.766,0.6359999999999999,22.696,0.622
1938,22.919999999999998,0.705,22.812,0.6589999999999999,22.769,0.627,22.707,0.622
1939,22.728,0.724,22.869,0.6469999999999999,22.749,0.621,22.723,0.618
1940,22.813,0.6809999999999999,22.885,0.633,22.766,0.6439999999999999,22.744,0.618
1941,23.038,0.828,22.794999999999998,0.6359999999999999,22.782,0.635,22.751,0.624
1942,22.926,0.6739999999999999,22.756,0.6399999999999999,22.777,0.6449999999999999,22.74,0.625
1943,22.467,0.6749999999999999,22.738,0.6559999999999999,22.762,0.6479999999999999,22.752,0.625
1944,22.535,0.6799999999999999,22.689,0.6489999999999999,22.781,0.6609999999999999,22.762,0.621
1945,22.726,0.738,22.665,0.6569999999999999,22.805,0.6569999999999999,22.778,0.6299999999999999
1946,22.791,0.71,22.749,0.6839999999999999,22.749,0.6509999999999999,22.783,0.626
1947,22.805,0.703,22.802,0.6779999999999999,22.713,0.6419999999999999,22.774,0.627
1948,22.889,0.7469999999999999,22.816,0.6619999999999999,22.735,0.6439999999999999,22.772,0.627
1949,22.8,0.6839999999999999,22.754,0.6489999999999999,22.776,0.6459999999999999,22.779,0.631
1950,22.797,0.729,22.786,0.6569999999999999,22.791,0.635,22.781,0.6299999999999999
1951,22.48,0.7989999999999999,22.762,0.6639999999999999,22.785,0.6339999999999999,22.766,0.633
1952,22.964,0.705,22.765,0.6579999999999999,22.771,0.635,22.784,0.6339999999999999
1953,22.771,0.6819999999999999,22.765,0.6619999999999999,22.783,0.6409999999999999,22.793,0.6379999999999999
1954,22.815,0.6709999999999999,22.79,0.6429999999999999,22.777,0.6509999999999999,22.8,0.633
1955,22.797,0.715,22.728,0.637,22.756,0.6649999999999999,22.782,0.635
