year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1821,-1.374,1.328,,,,,,
1822,-0.905,1.2429999999999999,-1.358,0.849,,,,
1823,-1.7650000000000001,1.2449999999999999,-1.1760000000000002,0.7739999999999999,-1.208,0.739,,
1824,-1.232,1.26,-1.154,0.727,-1.189,0.736,,
1825,-0.602,1.246,-1.017,0.752,-1.1059999999999999,0.72,,
1826,-1.264,1.079,-0.937,0.9019999999999999,-1.061,0.675,-1.459,0.669
1827,-0.22200000000000003,1.406,-0.956,0.866,-1.196,0.657,-1.408,0.657
1828,-1.3639999999999999,1.3539999999999999,-1.0030000000000001,0.7989999999999999,-1.275,0.696,-1.396,0.633
1829,-1.329,1.2149999999999999,-1.1219999999999999,0.8079999999999999,-1.321,0.762,-1.4,0.631
1830,-0.838,1.404,-1.5150000000000001,0.849,-1.3519999999999999,0.7869999999999999,-1.408,0.638
1831,-1.8570000000000002,1.3359999999999999,-1.678,0.939,-1.3980000000000001,0.754,-1.428,0.655
1832,-2.189,1.425,-1.7160000000000002,1.0190000000000001,-1.46,0.7909999999999999,-1.486,0.6859999999999999
1833,-2.179,1.384,-1.7389999999999999,1.037,-1.584,0.819,-1.464,0.6859999999999999
1834,-1.518,1.518,-1.698,0.9339999999999999,-1.6099999999999999,0.8099999999999999,-1.403,0.677
1835,-0.952,1.195,-1.619,0.9249999999999999,-1.7109999999999999,0.837,-1.4340000000000002,0.677
1836,-1.6509999999999998,1.163,-1.518,0.819,-1.7959999999999998,0.874,-1.4489999999999998,0.6789999999999999
1837,-1.7930000000000001,1.298,-1.541,0.816,-1.7759999999999998,0.88,-1.429,0.6869999999999999
1838,-1.6749999999999998,1.067,-1.7109999999999999,0.815,-1.653,0.8009999999999999,-1.4729999999999999,0.702
1839,-1.634,1.212,-1.876,0.9149999999999999,-1.4849999999999999,0.703,-1.451,0.699
1840,-1.802,1.386,-1.8290000000000002,0.872,-1.5150000000000001,0.646,-1.468,0.705
1841,-2.476,1.442,-1.654,0.9229999999999999,-1.5,0.677,-1.499,0.7
1842,-1.557,0.872,-1.484,0.764,-1.397,0.641,-1.49,0.6859999999999999
1843,-0.8,0.823,-1.2890000000000001,0.636,-1.361,0.648,-1.495,0.678
1844,-0.786,0.988,-1.0350000000000001,0.628,-1.2930000000000001,0.657,-1.495,0.653
1845,-0.827,1.19,-0.88,0.698,-1.224,0.668,-1.502,0.646
1846,-1.206,1.166,-1.037,0.708,-1.202,0.628,-1.448,0.662
1847,-0.782,1.135,-1.024,0.75,-1.2029999999999998,0.645,-1.436,0.641
1848,-1.581,1.165,-1.202,0.7929999999999999,-1.337,0.703,-1.4060000000000001,0.645
1849,-0.726,1.048,-1.369,0.766,-1.505,0.755,-1.37,0.646
1850,-1.7160000000000002,1.125,-1.702,0.9329999999999999,-1.488,0.7859999999999999,-1.306,0.632
1851,-2.038,1.023,-1.8250000000000002,0.968,-1.397,0.759,-1.343,0.641
1852,-2.451,1.738,-1.9649999999999999,1.029,-1.476,0.753,-1.307,0.639
1853,-2.195,1.22,-1.6869999999999998,0.9239999999999999,-1.45,0.732,-1.3559999999999999,0.675
1854,-1.4260000000000002,0.989,-1.521,0.862,-1.447,0.734,-1.365,0.676
1855,-0.328,1.1340000000000001,-1.3399999999999999,0.6839999999999999,-1.388,0.699,-1.411,0.697
1856,-1.204,0.954,-1.057,0.645,-1.4849999999999999,0.753,-1.396,0.694
1857,-1.5470000000000002,0.9219999999999999,-0.876,0.608,-1.411,0.704,-1.408,0.6829999999999999
1858,-0.782,0.89,-1.186,0.631,-1.375,0.701,-1.335,0.653
1859,-0.518,0.945,-1.375,0.717,-1.226,0.65,-1.3479999999999999,0.647
1860,-1.88,1.192,-1.454,0.876,-1.334,0.671,-1.333,0.625
1861,-2.147,1.427,-1.4569999999999999,0.9249999999999999,-1.396,0.6869999999999999,-1.346,0.597
1862,-1.9420000000000002,1.49,-1.654,0.8979999999999999,-1.339,0.669,-1.299,0.5609999999999999
1863,-0.798,1.267,-1.6309999999999998,0.9039999999999999,-1.221,0.636,-1.288,0.541
1864,-1.504,0.988,-1.407,0.7809999999999999,-1.249,0.632,-1.183,0.529
1865,-1.766,1.296,-1.081,0.67,-1.278,0.642,-1.139,0.526
1866,-1.026,0.9369999999999999,-0.976,0.663,-1.206,0.576,-1.142,0.533
1867,-0.309,1.304,-0.84,0.691,-1.187,0.564,-1.143,0.543
1868,-0.276,1.228,-0.86,0.835,-1.2,0.575,-1.141,0.543
1869,-0.825,1.121,-0.987,0.856,-1.1400000000000001,0.541,-1.153,0.547
1870,-1.867,1.417,-1.295,0.706,-0.9450000000000001,0.566,-1.163,0.547
1871,-1.658,1.0050000000000001,-1.4380000000000002,0.627,-0.888,0.582,-1.058,0.516
1872,-1.85,0.972,-1.225,0.545,-0.9470000000000001,0.546,-1.036,0.5
1873,-0.993,0.9129999999999999,-0.872,0.697,-1.061,0.538,-1.01,0.481
1874,0.24,1.075,-0.74,0.813,-1.058,0.542,-1.039,0.47
1875,-0.10199999999999998,1.077,-0.628,0.763,-1.048,0.536,-1.018,0.481
1876,-0.997,0.9349999999999999,-0.584,0.688,-0.91,0.608,-1.009,0.485
1877,-1.288,0.983,-0.981,0.645,-0.885,0.587,-1.048,0.476
1878,-0.772,1.157,-1.108,0.595,-0.821,0.594,-1.078,0.46699999999999997
1879,-1.749,1.0210000000000001,-1.111,0.636,-0.9390000000000001,0.534,-1.1139999999999999,0.469
1880,-0.733,1.002,-0.9470000000000001,0.616,-1.09,0.535,-1.1179999999999999,0.477
1881,-1.0150000000000001,1.037,-1.193,0.64,-1.129,0.53,-1.082,0.514
1882,-0.46499999999999997,0.995,-1.064,0.601,-1.15,0.541,-1.061,0.516
1883,-2.0020000000000002,0.862,-1.232,0.639,-1.095,0.53,-1.085,0.526
1884,-1.1059999999999999,0.755,-1.213,0.605,-1.169,0.544,-1.098,0.523
1885,-1.5699999999999998,1.274,-1.343,0.617,-1.1880000000000002,0.538,-1.1360000000000001,0.531
1886,-0.923,0.875,-1.191,0.583,-1.254,0.522,-1.161,0.529
1887,-1.116,0.9209999999999999,-1.2,0.608,-1.238,0.537,-1.151,0.532
1888,-1.2389999999999999,0.869,-1.228,0.568,-1.35,0.5559999999999999,-1.158,0.524
1889,-1.151,0.862,-1.259,0.58,-1.258,0.602,-1.167,0.511
1890,-1.7109999999999999,0.877,-1.3559999999999999,0.603,-1.181,0.59,-1.167,0.506
1891,-1.078,0.7789999999999999,-1.355,0.699,-1.193,0.589,-1.1720000000000002,0.488
1892,-1.6,0.855,-1.1949999999999998,0.739,-1.1520000000000001,0.585,-1.147,0.492
1893,-1.233,1.092,-1.141,0.691,-1.221,0.576,-1.124,0.488
1894,-0.351,0.884,-1.105,0.676,-1.1640000000000001,0.533,-1.141,0.491
1895,-1.4449999999999998,0.667,-1.085,0.61,-1.146,0.518,-1.1059999999999999,0.46299999999999997
1896,-0.896,0.764,-1.1600000000000001,0.541,-1.091,0.505,-1.155,0.44799999999999995
1897,-1.498,0.739,-1.098,0.594,-1.055,0.512,-1.137,0.45399999999999996
1898,-1.611,1.125,-1.075,0.669,-0.898,0.502,-1.17,0.45299999999999996
1899,-0.040000000000000036,0.771,-1.01,0.734,-1.024,0.505,-1.1520000000000001,0.441
1900,-1.33,0.9279999999999999,-0.894,0.662,-1.03,0.495,-1.165,0.432
1901,-0.571,0.872,-0.737,0.5579999999999999,-1.117,0.481,-1.177,0.428
1902,-0.9199999999999999,0.74,-1.065,0.528,-1.1219999999999999,0.48,-1.169,0.43
1903,-0.825,0.673,-1.054,0.502,-1.12,0.45399999999999996,-1.157,0.428
1904,-1.678,0.63,-1.213,0.473,-1.141,0.419,-1.165,0.432
1905,-1.275,0.738,-1.288,0.44599999999999995,-1.1840000000000002,0.40700000000000003,-1.182,0.434
1906,-1.369,0.636,-1.411,0.439,-1.263,0.41000000000000003,-1.179,0.44
1907,-1.2930000000000001,0.646,-1.3639999999999999,0.432,-1.283,0.405,-1.22,0.441
1908,-1.443,0.672,-1.379,0.46199999999999997,-1.416,0.406,-1.193,0.431
1909,-1.4380000000000002,0.591,-1.371,0.47,-1.306,0.423,-1.212,0.423
