year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,8.887,1.274,,,,,,
1755,9.191,0.972,,,,,,
1756,9.778,1.5910000000000002,9.235000000000001,1.1640000000000001,,,,
1757,9.311,1.5150000000000001,9.481,1.37,,,,
1758,9.011000000000001,2.749,9.431000000000001,1.4020000000000001,9.368,1.058,,
1759,10.113000000000001,6.249,9.543000000000001,1.42,9.353,1.052,,
1760,8.945,4.494,9.584000000000001,1.3450000000000002,9.408000000000001,1.046,,
1761,10.334,2.072,9.415000000000001,1.048,9.352,1.095,,
1762,9.517000000000001,1.125,9.372,0.959,9.338000000000001,1.044,,
1763,8.165000000000001,3.294,9.363000000000001,0.918,9.304,0.9520000000000001,9.280000000000001,1.166
1764,9.901,3.044,9.124,0.953,9.280000000000001,1.1099999999999999,9.280000000000001,1.146
1765,8.9,1.968,8.965,0.987,9.239,0.9470000000000001,9.309000000000001,1.1469999999999998
1766,9.138,3.108,9.169,2.172,9.171000000000001,0.995,9.322000000000001,1.129
1767,8.724,1.854,9.053,2.3160000000000003,9.040000000000001,0.991,9.349,1.1400000000000001
1768,9.184000000000001,2.047,9.018,1.924,9.192,2.035,9.336,1.02
1769,9.318000000000001,4.928999999999999,8.976,1.754,9.206000000000001,1.8900000000000001,9.353,0.932
1770,8.727,1.661,9.052000000000001,1.6669999999999998,9.21,1.907,9.415000000000001,0.865
1771,8.925,1.287,9.221,1.3039999999999998,9.293000000000001,1.008,9.418000000000001,0.843
1772,9.107000000000001,1.867,9.377,1.146,9.360000000000001,1.1179999999999999,9.458,0.8140000000000001
1773,10.029,1.407,9.568000000000001,1.154,9.368,1.089,9.471,0.919
1774,10.095,1.694,9.669,0.665,9.427000000000001,0.747,9.477,0.873
1775,9.684000000000001,2.545,9.649000000000001,0.74,9.592,0.7010000000000001,9.436,0.757
1776,9.432,0.935,9.617,0.64,9.665000000000001,0.685,9.412,0.636
1777,9.006,1.6360000000000001,9.673,1.048,9.876000000000001,0.5569999999999999,9.376000000000001,0.541
1778,9.870000000000001,1.669,9.769,0.773,9.751000000000001,0.651,9.412,0.445
