year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1853,,,,,,,,
1854,9.558,1.144,,,,,,
1855,9.651,1.336,9.494,1.254,,,,
1856,9.456000000000001,1.514,9.48,1.448,9.631,1.036,,
1857,9.568000000000001,1.885,9.540000000000001,1.443,9.691,0.925,,
1858,9.169,1.9140000000000001,9.617,1.283,9.74,0.8200000000000001,9.88,0.704
1859,9.854000000000001,1.015,9.796000000000001,0.9019999999999999,9.783000000000001,0.8440000000000001,9.878,0.6659999999999999
1860,10.039000000000001,0.6419999999999999,9.921000000000001,0.594,9.870000000000001,0.725,9.913,0.6419999999999999
1861,10.352,1.165,10.063,0.708,9.923,0.659,9.926,0.632
1862,10.191,1.21,10.079,0.7889999999999999,10.035,0.571,9.928,0.611
1863,9.879000000000001,1.256,10.193000000000001,0.757,10.149000000000001,0.558,9.968,0.584
1864,9.935,0.696,10.138,0.687,10.175,0.6,10.035,0.5489999999999999
1865,10.606,0.643,10.285,0.572,10.211,0.6359999999999999,10.047,0.519
1866,10.078000000000001,0.6839999999999999,10.294,0.51,10.221,0.617,10.07,0.497
1867,10.926,0.667,10.264000000000001,0.492,10.165000000000001,0.578,10.121,0.491
1868,9.926,0.855,10.224,0.56,10.196,0.5349999999999999,10.154,0.523
1869,9.786000000000001,0.8140000000000001,10.209000000000001,0.619,10.287,0.582,10.186,0.577
1870,10.403,0.7,10.084,0.665,10.224,0.5409999999999999,10.193000000000001,0.605
1871,10.005,0.851,10.168000000000001,0.673,10.216000000000001,0.552,10.225000000000001,0.584
1872,10.3,0.964,10.237,0.6339999999999999,10.207,0.573,10.217,0.5549999999999999
1873,10.346,0.667,10.208,0.578,10.16,0.588,10.216000000000001,0.519
1874,10.131,0.611,10.247,0.583,10.196,0.632,10.225000000000001,0.532
1875,10.257000000000001,0.619,10.247,0.577,10.175,0.637,10.161000000000001,0.513
1876,10.203000000000001,0.731,10.15,0.615,10.228,0.611,10.138,0.511
1877,10.299000000000001,0.7749999999999999,10.147,0.714,10.270000000000001,0.581,10.104000000000001,0.51
1878,9.863000000000001,0.958,10.22,0.736,10.235000000000001,0.5309999999999999,10.083,0.51
1879,10.115,0.9989999999999999,10.3,0.661,10.162,0.505,10.072000000000001,0.526
1880,10.622,0.544,10.26,0.575,10.097000000000001,0.509,10.054,0.517
1881,10.601,0.697,10.324,0.485,10.06,0.504,10.063,0.498
1882,10.102,0.629,10.119,0.563,10.001000000000001,0.516,10.06,0.489
1883,10.18,0.6719999999999999,9.922,0.624,10.007000000000001,0.5569999999999999,10.053,0.486
1884,9.091000000000001,0.688,9.779,0.6519999999999999,9.948,0.608,10.065000000000001,0.475
1885,9.637,0.78,9.81,0.711,9.932,0.647,10.081000000000001,0.48
1886,9.885,0.788,9.658000000000001,0.708,9.897,0.625,10.06,0.48
1887,10.257000000000001,0.998,9.779,0.723,9.849,0.607,10.025,0.478
1888,9.421000000000001,0.734,9.879000000000001,0.711,9.870000000000001,0.575,10.027000000000001,0.48
1889,9.696000000000002,0.6639999999999999,9.873000000000001,0.622,9.967,0.5489999999999999,10.011000000000001,0.496
1890,10.137,0.819,9.9,0.518,10.066,0.554,9.988000000000001,0.517
1891,9.855,0.46399999999999997,10.067,0.498,10.061,0.526,9.957,0.5249999999999999
1892,10.389000000000001,0.584,10.237,0.503,10.049000000000001,0.5,9.923,0.515
1893,10.259,0.619,10.207,0.474,10.047,0.46699999999999997,9.867,0.501
1894,10.543000000000001,0.755,10.23,0.498,10.074,0.45499999999999996,9.882000000000001,0.499
1895,9.99,0.5700000000000001,10.156,0.513,10.044,0.45699999999999996,9.893,0.501
1896,9.971,0.556,10.029,0.48,10.016,0.486,9.883000000000001,0.5
1897,10.019,0.524,9.895000000000001,0.497,9.997,0.5,9.862,0.499
1898,9.625,0.518,9.859,0.507,9.864,0.521,9.88,0.487
1899,9.874,0.6339999999999999,9.828000000000001,0.54,9.797,0.534,9.893,0.481
1900,9.808,0.6890000000000001,9.769,0.5449999999999999,9.719000000000001,0.532,9.925,0.479
1901,9.816,0.741,9.633000000000001,0.572,9.705,0.5469999999999999,9.936,0.482
1902,9.723,0.688,9.684000000000001,0.597,9.674000000000001,0.544,9.949,0.486
1903,8.945,0.6950000000000001,9.619,0.625,9.713000000000001,0.54,9.921000000000001,0.499
1904,10.127,0.841,9.531,0.61,9.713000000000001,0.5409999999999999,9.898,0.497
1905,9.484,0.651,9.602,0.574,9.807,0.5349999999999999,9.884,0.485
1906,9.378,0.6439999999999999,9.84,0.552,9.856,0.517,9.911000000000001,0.488
1907,10.078000000000001,0.509,9.823,0.509,9.902000000000001,0.495,9.971,0.502
1908,10.134,0.552,10.035,0.498,9.978,0.492,10.009,0.526
1909,10.040000000000001,0.614,10.287,0.489,9.999,0.48,10.019,0.53
1910,10.547,0.611,10.178,0.471,10.049000000000001,0.46399999999999997,10.030000000000001,0.522
1911,10.635,0.5700000000000001,10.142000000000001,0.482,10.117,0.48,10.037,0.515
1912,9.534,0.7829999999999999,10.196,0.518,10.267000000000001,0.521,10.065000000000001,0.511
1913,9.952,0.5509999999999999,10.062000000000001,0.569,10.304,0.578,10.132000000000001,0.508
1914,10.314,0.6859999999999999,10.144,0.626,10.325000000000001,0.594,10.144,0.499
1915,9.873000000000001,0.643,10.402000000000001,0.681,10.253,0.589,10.217,0.499
1916,11.048,0.768,10.496,0.736,10.218,0.592,10.232000000000001,0.496
1917,10.822000000000001,1.004,10.414,0.677,10.228,0.59,10.258000000000001,0.492
1918,10.423,0.8069999999999999,10.43,0.645,10.286000000000001,0.577,10.246,0.498
1919,9.903,0.5,10.232000000000001,0.598,10.288,0.552,10.306000000000001,0.502
1920,9.957,0.487,10.121,0.508,10.385,0.5529999999999999,10.286000000000001,0.505
1921,10.055,0.594,10.052000000000001,0.44599999999999995,10.348,0.5329999999999999,10.247,0.507
1922,10.268,0.5529999999999999,10.261000000000001,0.43899999999999995,10.249,0.491,10.227,0.501
1923,10.08,0.625,10.342,0.498,10.187000000000001,0.46299999999999997,10.246,0.498
1924,10.946,0.565,10.335,0.532,10.288,0.46199999999999997,10.253,0.489
1925,10.361,0.688,10.298,0.5549999999999999,10.319,0.485,10.294,0.49
1926,10.020000000000001,0.607,10.440000000000001,0.5549999999999999,10.275,0.505,10.313,0.484
1927,10.081000000000001,0.556,10.342,0.5589999999999999,10.227,0.511,10.265,0.46699999999999997
1928,10.791,0.626,10.247,0.5269999999999999,10.206000000000001,0.503,10.241,0.44799999999999995
1929,10.457,0.534,10.16,0.513,10.217,0.489,10.290000000000001,0.44599999999999995
1930,9.886000000000001,0.54,10.14,0.501,10.203000000000001,0.474,10.319,0.45299999999999996
1931,9.582,0.5509999999999999,10.052000000000001,0.45599999999999996,10.278,0.46599999999999997,10.321,0.45299999999999996
1932,9.982000000000001,0.472,9.992,0.471,10.280000000000001,0.46799999999999997,10.304,0.45799999999999996
1933,10.355,0.45999999999999996,10.26,0.49,10.295,0.46499999999999997,10.314,0.44899999999999995
1934,10.154,0.621,10.38,0.492,10.292,0.46699999999999997,10.318000000000001,0.44499999999999995
1935,11.227,0.606,10.38,0.488,10.319,0.45699999999999996,10.288,0.43599999999999994
1936,10.184000000000001,0.534,10.557,0.509,10.367,0.44299999999999995,10.290000000000001,0.43
1937,9.979000000000001,0.477,10.585,0.475,10.382000000000001,0.44599999999999995,10.294,0.43399999999999994
1938,11.24,0.532,10.351,0.44099999999999995,10.423,0.427,10.326,0.43399999999999994
1939,10.296000000000001,0.45199999999999996,10.404,0.422,10.42,0.424,10.305,0.43099999999999994
1940,10.054,0.45499999999999996,10.438,0.408,10.373000000000001,0.415,10.325000000000001,0.422
1941,10.449,0.415,10.261000000000001,0.39199999999999996,10.301,0.412,10.369,0.417
1942,10.153,0.408,10.294,0.39299999999999996,10.309000000000001,0.42,10.378,0.417
1943,10.355,0.46099999999999997,10.290000000000001,0.427,10.357000000000001,0.43,10.392000000000001,0.407
1944,10.461,0.591,10.293000000000001,0.45299999999999996,10.319,0.427,10.401,0.40199999999999997
1945,10.031,0.558,10.261000000000001,0.481,10.331000000000001,0.425,10.4,0.39499999999999996
1946,10.464,0.518,10.362,0.515,10.371,0.43299999999999994,10.424000000000001,0.389
1947,9.996,0.5489999999999999,10.366,0.477,10.374,0.43499999999999994,10.466000000000001,0.387
1948,10.858,0.45099999999999996,10.464,0.44399999999999995,10.361,0.428,10.486,0.386
1949,10.481,0.43699999999999994,10.448,0.426,10.382000000000001,0.411,10.48,0.385
