year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1849,,,,,,,,
1850,27.474,0.962,,,,,,
1851,27.511,0.736,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,27.057,0.6910000000000001,,,,,,
1858,27.172,0.942,27.381,0.506,,,,
1859,27.714,0.768,27.409,0.487,27.401999999999997,0.491,,
1860,27.602,0.746,27.448999999999998,0.591,27.396,0.485,,
1861,27.5,0.6950000000000001,27.428,0.627,27.404,0.451,,
1862,27.258,1.179,27.352,0.577,27.422,0.46499999999999997,,
1863,27.067999999999998,1.658,27.404,0.548,27.506999999999998,0.475,,
1864,27.332,0.6940000000000001,27.381999999999998,0.553,27.535999999999998,0.459,,
1865,27.863,0.877,27.483,0.539,27.514,0.438,,
1866,27.392,0.747,,,27.544,0.455,27.465,0.41600000000000004
1867,,,,,,,27.476,0.42800000000000005
1868,,,,,,,27.497999999999998,0.447
1869,27.744,0.668,,,,,27.537,0.471
1870,27.561999999999998,0.684,,,,,27.503999999999998,0.46799999999999997
1871,,,,,,,27.517,0.434
1872,,,,,,,27.538,0.41500000000000004
1873,,,,,,,27.561,0.387
1874,27.278,1.228,,,,,27.608999999999998,0.337
1875,27.142,0.993,27.369,0.752,,,27.607,0.332
1876,27.430999999999997,1.119,27.441,0.84,27.49,0.504,27.581,0.332
1877,27.451,1.302,27.483,0.876,27.528,0.481,27.564999999999998,0.336
1878,27.901,0.96,27.522,0.702,27.544,0.441,27.538999999999998,0.342
1879,27.491999999999997,0.819,27.64,0.43000000000000005,27.592,0.348,27.532999999999998,0.34700000000000003
1880,27.336,0.77,27.706,0.41300000000000003,27.625999999999998,0.378,27.491999999999997,0.366
1881,28.018,1.099,27.671,0.542,27.636,0.42900000000000005,27.455,0.383
1882,27.785999999999998,0.705,27.771,0.906,27.599999999999998,0.555,27.47,0.386
1883,27.721999999999998,0.826,27.724,0.902,27.589,0.576,27.493,0.398
1884,27.993,1.974,27.604,0.8039999999999999,27.528,0.643,27.516,0.41300000000000003
1885,27.099,0.713,27.488,0.84,27.491,0.706,27.514,0.42400000000000004
1886,27.419,0.645,27.418,0.764,27.419999999999998,0.658,27.541,0.454
1887,27.209,0.663,27.279,0.528,27.410999999999998,0.656,27.561,0.499
1888,27.368,0.671,27.226,0.605,27.442,0.662,27.605,0.524
1889,27.3,0.9179999999999999,27.22,0.629,27.439,0.603,27.604,0.5720000000000001
1890,26.834,1.0290000000000001,27.349,0.633,27.401999999999997,0.523,27.641,0.595
1891,27.387999999999998,0.764,27.486,0.699,27.445999999999998,0.544,27.656,0.5650000000000001
1892,27.854,0.636,27.544,0.654,27.521,0.526,27.659,0.5630000000000001
1893,28.051,0.9259999999999999,27.59,0.575,27.621,0.556,27.668,0.561
1894,27.593999999999998,0.512,27.744999999999997,0.5650000000000001,27.68,0.5700000000000001,27.657999999999998,0.53
1895,27.061999999999998,1.0070000000000001,27.817,0.525,27.791999999999998,0.544,27.639,0.493
1896,28.163999999999998,0.5680000000000001,27.816,0.527,27.892,0.532,27.666999999999998,0.497
1897,28.214,0.561,27.892,0.648,27.907,0.531,27.689,0.492
1898,28.047,0.9179999999999999,28.07,0.678,27.895,0.515,27.66,0.485
1899,27.971,1.008,28.090999999999998,0.647,27.877,0.528,27.672,0.485
1900,27.955,0.6960000000000001,28.006,0.629,27.875999999999998,0.54,27.689999999999998,0.46699999999999997
1901,28.269,0.59,27.971999999999998,0.535,27.887999999999998,0.525,27.737,0.448
1902,27.785999999999998,0.507,27.845,0.492,27.855999999999998,0.543,27.730999999999998,0.458
1903,27.88,0.388,27.73,0.43300000000000005,27.7,0.508,27.718999999999998,0.46
1904,27.336,0.6910000000000001,27.645,0.487,27.663999999999998,0.475,27.73,0.46799999999999997
1905,27.378,0.461,27.526,0.48,27.589,0.449,27.764,0.474
1906,27.846,0.8069999999999999,27.375999999999998,0.504,27.582,0.43200000000000005,27.791,0.46799999999999997
1907,27.188,0.495,27.4,0.479,27.555999999999997,0.455,27.779,0.473
1908,27.131,0.496,27.459,0.457,27.544,0.46799999999999997,27.73,0.46599999999999997
1909,27.455,0.543,27.409,0.513,27.584,0.475,27.714,0.464
1910,27.675,0.678,27.567999999999998,0.502,27.651,0.473,27.705,0.471
1911,27.593999999999998,0.64,27.712999999999997,0.539,27.694,0.488,27.697,0.475
1912,27.987,0.5650000000000001,27.851,0.537,27.701999999999998,0.49,27.692,0.473
1913,27.854,0.616,27.9,0.515,27.759999999999998,0.487,27.686999999999998,0.461
1914,28.144,0.6890000000000001,27.953,0.523,27.764,0.512,27.708,0.451
1915,27.923,0.548,27.887999999999998,0.533,27.820999999999998,0.518,27.739,0.45
