year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1824,,,,,,,,
1825,26.261,0.859,,,,,,
1826,25.841,0.736,25.988,0.641,,,,
1827,26.437,1.004,26.044999999999998,0.6379999999999999,,,,
1828,25.852,0.915,25.971,0.639,,,,
1829,25.834,1.02,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
1841,,,,,,,,
1842,,,,,,,,
1843,,,,,,,,
1844,,,,,,,,
1845,,,,,,,,
1846,25.93,0.704,,,,,,
1847,25.624,1.153,25.681,0.6679999999999999,,,,
1848,25.675,0.714,25.716,0.71,25.674,0.6539999999999999,,
1849,25.75,0.8799999999999999,25.674,0.665,25.669,0.631,,
1850,25.601,0.883,25.684,0.685,25.709,0.592,,
1851,25.722,0.757,25.701,0.685,25.733,0.585,25.66,0.563
1852,25.671,1.083,25.677,0.6379999999999999,25.666999999999998,0.5549999999999999,25.669999999999998,0.577
1853,25.759,0.712,25.741,0.524,25.661,0.5640000000000001,25.652,0.575
1854,25.63,0.6719999999999999,25.719,0.558,25.648,0.5529999999999999,25.637999999999998,0.567
1855,25.919999999999998,0.8109999999999999,25.627,0.477,25.666,0.5369999999999999,25.658,0.572
1856,25.614,0.7769999999999999,25.61,0.5,25.644,0.523,25.671,0.567
1857,25.214,0.696,25.639,0.523,25.65,0.526,25.661,0.5589999999999999
1858,25.671,0.7849999999999999,25.594,0.591,25.629,0.54,25.688,0.556
1859,25.778,0.853,25.58,0.585,25.605999999999998,0.5700000000000001,25.689,0.54
1860,25.694,0.722,25.653,0.6479999999999999,25.607,0.612,25.715,0.5329999999999999
1861,25.543,0.745,25.622,0.72,25.61,0.597,25.709,0.528
1862,25.579,0.964,25.586,0.688,25.656,0.616,25.721,0.515
1863,25.519,1.202,25.594,0.708,25.715,0.624,25.729,0.496
1864,25.595,0.7749999999999999,25.661,0.697,25.73,0.599,25.742,0.496
1865,25.736,0.835,25.73,0.645,25.762999999999998,0.573,25.747,0.513
1866,25.876,0.709,25.8,0.58,25.775,0.578,25.733999999999998,0.503
1867,25.923,0.703,25.908,0.542,25.793,0.55,25.747,0.504
1868,25.87,0.8500000000000001,25.916,0.501,25.829,0.495,25.791,0.496
1869,26.136,0.698,25.902,0.5329999999999999,25.878,0.474,25.834,0.485
1870,25.774,0.704,25.891,0.491,25.886,0.46699999999999997,25.832,0.479
1871,25.808,0.821,25.892,0.52,25.858,0.46699999999999997,25.826999999999998,0.477
1872,25.869,0.7949999999999999,25.849,0.522,25.837,0.469,25.847,0.46299999999999997
1873,25.871,0.6859999999999999,25.836,0.509,25.867,0.482,25.854,0.44999999999999996
1874,25.923,0.733,25.8,0.485,25.938,0.513,25.854,0.44899999999999995
1875,25.708,0.6890000000000001,25.823,0.528,25.9,0.506,25.837,0.44199999999999995
1876,25.627,0.77,25.965,0.5429999999999999,25.88,0.489,25.823999999999998,0.44699999999999995
1877,25.983999999999998,0.871,25.983999999999998,0.604,25.9,0.483,25.796,0.45899999999999996
1878,26.584,0.758,25.948,0.618,25.879,0.495,25.78,0.469
1879,26.018,0.8009999999999999,25.983,0.569,25.83,0.484,25.785,0.482
1880,25.527,0.651,25.967,0.526,25.788,0.495,25.772,0.483
1881,25.803,0.69,25.758,0.499,25.79,0.491,25.747,0.48
1882,25.902,0.6890000000000001,25.634,0.5,25.754,0.495,25.743,0.484
1883,25.538,0.6930000000000001,25.613,0.519,25.692,0.504,25.723,0.497
1884,25.401,0.647,25.572,0.5489999999999999,25.631999999999998,0.522,25.698999999999998,0.491
1885,25.419999999999998,0.748,25.457,0.58,25.643,0.5329999999999999,25.685,0.491
1886,,,25.523,0.602,25.613,0.534,25.704,0.484
1887,25.328,0.8320000000000001,25.669999999999998,0.628,25.585,0.538,25.72,0.475
1888,25.864,0.706,25.624,0.6639999999999999,25.567,0.536,25.698999999999998,0.471
1889,26.137999999999998,0.677,25.6,0.641,25.568,0.54,25.653,0.471
1890,25.188,0.9849999999999999,25.692,0.602,25.581,0.5349999999999999,25.666,0.474
1891,25.483999999999998,0.6459999999999999,25.589,0.585,25.618,0.5289999999999999,25.698,0.478
1892,25.785,0.58,25.479,0.5469999999999999,25.686,0.492,25.712,0.497
1893,25.352,0.544,25.599,0.426,25.706,0.478,25.73,0.493
1894,25.588,0.492,25.681,0.427,25.673,0.46799999999999997,25.749,0.489
