year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1817,24.622,1.261,,,,,,
1818,25.058,1.0150000000000001,24.823999999999998,0.741,,,,
1819,24.604999999999997,1.076,24.947999999999997,0.7729999999999999,25.098,0.617,,
1820,25.122,1.036,25.223999999999997,0.716,25.185,0.648,,
1821,25.331,1.07,25.278,0.63,25.279999999999998,0.617,,
1822,26.005,0.995,25.458,0.656,25.442999999999998,0.608,,
1823,25.326999999999998,1.0150000000000001,25.656999999999996,0.631,,,,
1824,,,,,,,,
1825,,,,,,,,
1826,,,,,,,,
1827,,,,,,,,
1828,,,,,,,,
1829,,,,,,,,
1830,,,,,,,,
1831,,,,,,,,
1832,,,,,,,,
1833,,,,,,,,
1834,25.616,0.959,,,,,,
1835,25.358999999999998,1.049,25.25,0.769,,,,
1836,24.866999999999997,0.876,25.205,0.7789999999999999,,,,
1837,,,25.177999999999997,0.864,25.395999999999997,0.764,,
1838,,,25.188,0.831,25.439,0.742,,
1839,,,25.378,0.821,25.451999999999998,0.746,,
1840,25.406999999999996,0.836,25.566,0.846,25.391,0.698,25.392,0.59
1841,25.816,1.5959999999999999,25.691999999999997,0.8119999999999999,25.444,0.652,25.377,0.599
1842,26.101,1.1420000000000001,25.701999999999998,0.722,25.444999999999997,0.602,25.404,0.622
1843,25.656,0.721,25.636,0.63,25.453,0.584,25.412999999999997,0.63
1844,25.529,0.825,25.535999999999998,0.546,25.459999999999997,0.5569999999999999,25.433,0.622
1845,25.075999999999997,0.862,25.34,0.8039999999999999,25.467,0.5549999999999999,25.432,0.59
1846,25.319,1.129,25.261,0.8029999999999999,25.468,0.581,25.482999999999997,0.591
1847,25.122999999999998,1.349,25.226,0.8079999999999999,25.412999999999997,0.6859999999999999,25.477999999999998,0.575
1848,25.258,0.76,25.294999999999998,0.7979999999999999,25.387999999999998,0.695,25.497999999999998,0.575
1849,25.354,0.966,25.357,0.73,25.415,0.668,25.511999999999997,0.5589999999999999
1850,25.419999999999998,0.993,25.462,0.71,25.473999999999997,0.631,25.534,0.544
1851,25.630999999999997,0.866,25.537,0.706,25.520999999999997,0.629,25.529,0.534
1852,25.645,1.066,25.627,0.654,25.511,0.614,25.482,0.5579999999999999
1853,25.636999999999997,0.721,25.717,0.579,25.541999999999998,0.623,25.459,0.549
1854,25.802,0.764,25.671999999999997,0.591,25.564999999999998,0.616,25.447,0.546
1855,25.869999999999997,0.738,25.570999999999998,0.5549999999999999,25.601,0.587,25.453,0.548
1856,25.406,0.8069999999999999,25.561999999999998,0.592,25.589,0.545,25.488999999999997,0.545
1857,25.141,0.846,25.548,0.623,25.552,0.522,25.505999999999997,0.53
1858,25.592,0.944,25.470999999999997,0.595,25.529999999999998,0.512,25.543999999999997,0.523
1859,25.729,0.721,25.459999999999997,0.547,25.479,0.5539999999999999,25.558,0.494
1860,25.485999999999997,0.641,25.511999999999997,0.565,25.432,0.578,25.554,0.479
1861,25.351999999999997,0.5589999999999999,25.47,0.623,25.458,0.5539999999999999,25.540999999999997,0.475
1862,,,25.354,0.611,25.500999999999998,0.54,25.537,0.45699999999999996
1863,,,25.362,0.648,25.546,0.526,25.552999999999997,0.435
1864,25.148999999999997,0.891,25.485999999999997,0.597,25.552,0.481,25.549,0.438
1865,25.528,0.747,25.558999999999997,0.552,25.505999999999997,0.474,25.544999999999998,0.44999999999999996
1866,25.973999999999997,0.85,25.602999999999998,0.499,25.493,0.493,25.535999999999998,0.44499999999999995
1867,25.764,0.599,25.705,0.591,25.523,0.488,25.537999999999997,0.435
1868,25.599999999999998,0.837,25.662999999999997,0.709,25.575999999999997,0.473,25.566,0.43
1869,25.656999999999996,1.205,25.575999999999997,0.629,25.619,0.498,25.602999999999998,0.416
1870,25.319,0.869,25.532999999999998,0.651,25.657999999999998,0.522,25.607999999999997,0.41000000000000003
1871,25.54,0.8049999999999999,25.558999999999997,0.635,25.613999999999997,0.505,25.612,0.415
1872,25.551,0.707,25.605999999999998,0.529,25.575,0.514,25.639,0.41000000000000003
1873,25.730999999999998,0.688,25.65,0.484,25.586,0.551,25.659999999999997,0.405
1874,25.889999999999997,0.744,25.615,0.474,25.654999999999998,0.499,25.665999999999997,0.41000000000000003
1875,25.540999999999997,0.955,25.61,0.576,25.709,0.482,25.663999999999998,0.423
1876,25.362,0.859,25.714,0.626,25.732,0.46499999999999997,25.656,0.41100000000000003
1877,25.523999999999997,0.9149999999999999,25.741,0.643,25.755999999999997,0.45999999999999996,25.65,0.402
1878,26.252999999999997,0.742,25.77,0.566,25.744999999999997,0.46699999999999997,25.639,0.41200000000000003
1879,26.026,0.633,25.845999999999997,0.491,25.712999999999997,0.487,25.65,0.405
1880,25.683999999999997,0.498,25.897,0.439,25.668999999999997,0.496,25.685,0.425
1881,25.741999999999997,0.648,25.756999999999998,0.41100000000000003,25.698999999999998,0.433,25.706,0.425
1882,25.781,0.474,25.61,0.425,25.726,0.414,25.717,0.425
1883,25.549,0.443,25.59,0.432,25.691999999999997,0.405,25.695999999999998,0.438
1884,25.291999999999998,0.551,25.575999999999997,0.425,25.644,0.417,25.668999999999997,0.44699999999999995
1885,25.584999999999997,0.567,25.494,0.45899999999999996,25.660999999999998,0.437,25.660999999999998,0.444
1886,25.674999999999997,0.635,25.563,0.472,25.68,0.441,25.683999999999997,0.41300000000000003
1887,25.369,0.588,25.726,0.502,25.677999999999997,0.44999999999999996,25.714,0.404
1888,25.892,0.641,25.738,0.512,25.647,0.45899999999999996,25.721999999999998,0.406
1889,26.107999999999997,0.543,25.782999999999998,0.479,25.625,0.46099999999999997,25.689,0.406
1890,25.648,0.629,25.83,0.496,25.651999999999997,0.44999999999999996,25.682,0.41100000000000003
1891,25.895999999999997,0.431,25.680999999999997,0.46799999999999997,25.669999999999998,0.438,25.715,0.40800000000000003
1892,25.607,0.574,25.573999999999998,0.45499999999999996,25.701999999999998,0.435,25.718,0.40700000000000003
1893,25.148,0.47,25.570999999999998,0.438,25.750999999999998,0.44599999999999995,25.744,0.399
1894,25.567999999999998,0.5599999999999999,25.584,0.438,25.732999999999997,0.434,25.758999999999997,0.399
1895,25.633999999999997,0.523,25.683,0.44699999999999995,25.703,0.422,25.770999999999997,0.4
1896,25.964,0.424,25.808999999999997,0.435,25.75,0.41100000000000003,25.784999999999997,0.396
1897,26.099999999999998,0.602,25.802,0.435,25.758999999999997,0.402,25.808999999999997,0.396
1898,25.778,0.45599999999999996,25.883,0.44499999999999995,25.840999999999998,0.375,25.811999999999998,0.392
1899,25.534,0.533,25.907999999999998,0.442,25.892999999999997,0.372,25.802,0.389
1900,26.037,0.501,25.88,0.405,25.889,0.385,25.796999999999997,0.377
1901,26.092,0.44799999999999995,25.982999999999997,0.382,25.901,0.387,25.793999999999997,0.364
1902,25.959999999999997,0.402,25.947999999999997,0.353,25.915,0.391,25.802999999999997,0.366
1903,26.293,0.431,25.881999999999998,0.345,25.872999999999998,0.387,25.831999999999997,0.363
1904,25.355999999999998,0.46099999999999997,25.924,0.353,25.869999999999997,0.382,25.854999999999997,0.371
1905,25.709,0.46299999999999997,25.854999999999997,0.391,25.891,0.357,25.887999999999998,0.379
1906,26.301,0.5539999999999999,25.735,0.417,25.837999999999997,0.34299999999999997,25.894,0.378
1907,25.613999999999997,0.429,25.825999999999997,0.41200000000000003,25.848,0.351,25.877999999999997,0.371
1908,25.695999999999998,0.379,25.863,0.373,25.823999999999998,0.367,25.848,0.358
1909,25.808999999999997,0.383,25.741,0.33099999999999996,25.816,0.383,25.854,0.358
1910,25.895,0.32999999999999996,25.872,0.345,25.886,0.384,25.877999999999997,0.34099999999999997
1911,25.692999999999998,0.429,25.869,0.361,25.886999999999997,0.376,25.869999999999997,0.33099999999999996
1912,26.266,0.529,25.886999999999997,0.376,25.842,0.366,25.868,0.325
1913,25.680999999999997,0.45099999999999996,25.965999999999998,0.405,25.822,0.349,25.858999999999998,0.32799999999999996
1914,25.901,0.527,25.980999999999998,0.435,25.837999999999997,0.361,25.869,0.32899999999999996
1915,26.287999999999997,0.435,25.831999999999997,0.401,25.863999999999997,0.35,25.889,0.324
1916,25.77,0.44,25.753999999999998,0.384,25.901,0.349,25.877,0.316
1917,25.520999999999997,0.45899999999999996,25.852999999999998,0.362,25.887999999999998,0.33699999999999997,25.884999999999998,0.309
1918,25.287999999999997,0.5,25.798,0.356,25.895,0.32899999999999996,25.907999999999998,0.302
1919,26.397,0.426,25.834,0.345,25.921,0.314,25.916999999999998,0.302
1920,26.014999999999997,0.33599999999999997,25.927999999999997,0.325,25.892999999999997,0.322,25.909,0.303
1921,25.945999999999998,0.41200000000000003,26.02,0.32999999999999996,25.866999999999997,0.319,25.924999999999997,0.303
1922,25.994999999999997,0.393,25.974999999999998,0.375,25.927999999999997,0.322,25.944999999999997,0.3
1923,25.744999999999997,0.518,25.907,0.39,25.994,0.322,25.947999999999997,0.295
1924,26.174,0.479,25.955,0.385,25.996,0.348,25.962,0.292
1925,25.671999999999997,0.403,25.939999999999998,0.383,25.953999999999997,0.33899999999999997,25.944,0.298
1926,26.186,0.32999999999999996,26.008,0.347,25.947999999999997,0.345,25.959999999999997,0.295
1927,25.921999999999997,0.45199999999999996,25.93,0.33999999999999997,26.000999999999998,0.33599999999999997,25.983999999999998,0.292
1928,26.086,0.357,25.962,0.315,26.002,0.308,26.034,0.289
1929,25.784,0.375,26.041999999999998,0.317,26.002,0.291,26.04,0.298
1930,25.833,0.348,26.04,0.29,25.994999999999997,0.298,26.023,0.295
1931,26.586,0.33399999999999996,26.043,0.28099999999999997,26.052999999999997,0.294,26.046999999999997,0.303
1932,25.910999999999998,0.38,26.048,0.306,26.040999999999997,0.294,26.09,0.305
1933,26.101999999999997,0.433,26.11,0.327,26.075,0.294,26.107999999999997,0.304
1934,25.808999999999997,0.377,26.023999999999997,0.33499999999999996,26.083,0.303,26.11,0.309
1935,26.145,0.359,26.107,0.352,26.092,0.321,26.134999999999998,0.315
1936,26.154,0.37,26.11,0.33199999999999996,26.145999999999997,0.347,26.153,0.32
1937,26.322999999999997,0.373,26.168,0.354,26.177999999999997,0.36,26.173,0.32
1938,26.119,0.361,26.125999999999998,0.375,26.212999999999997,0.358,26.186,0.319
1939,26.096999999999998,0.427,26.269,0.401,26.218999999999998,0.349,26.194999999999997,0.318
1940,25.938,0.435,26.311,0.391,26.276,0.349,26.224999999999998,0.317
1941,26.866,0.531,26.288999999999998,0.379,26.252,0.359,26.226,0.32
1942,26.535999999999998,0.33599999999999997,26.334,0.357,26.305999999999997,0.354,26.223,0.319
1943,26.009999999999998,0.371,26.377,0.368,26.298,0.353,26.238999999999997,0.313
1944,26.319999999999997,0.34299999999999997,26.276,0.323,26.308,0.345,26.264999999999997,0.308
