year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,,,,,,,,
1859,,,,,,,,
1860,,,,,,,,
1861,,,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,,,,,,,,
1876,20.616999999999997,1.075,,,,,,
1877,20.901999999999997,1.103,20.898,0.8979999999999999,,,,
1878,21.299999999999997,1.0819999999999999,20.816,0.903,20.799,0.839,,
1879,20.852,1.105,20.799,0.9039999999999999,20.762,0.835,,
1880,20.409,1.173,20.788,0.909,20.706,0.83,,
1881,20.531,1.1099999999999999,20.645,0.9199999999999999,20.723,0.821,20.77,0.749
1882,20.849999999999998,1.0899999999999999,20.561999999999998,0.9219999999999999,20.74,0.819,20.764,0.753
1883,20.584999999999997,1.075,20.619999999999997,0.883,20.688,0.833,20.762999999999998,0.761
1884,20.436,1.1059999999999999,20.686,0.877,20.637,0.84,20.746,0.753
1885,20.695999999999998,1.08,20.636,0.8879999999999999,20.708,0.831,20.747999999999998,0.745
1886,20.863,1.085,20.637999999999998,0.901,20.701,0.828,20.770999999999997,0.738
1887,20.598,1.141,20.805999999999997,0.9099999999999999,20.695,0.831,20.794999999999998,0.735
1888,20.599,1.153,20.799999999999997,0.931,20.726,0.831,20.799999999999997,0.731
1889,21.273999999999997,1.1019999999999999,20.746,0.9299999999999999,20.730999999999998,0.82,20.779999999999998,0.728
1890,20.666999999999998,1.103,20.773999999999997,0.907,20.79,0.8109999999999999,20.796999999999997,0.73
1891,20.593999999999998,1.064,20.805,0.8959999999999999,20.819,0.813,20.840999999999998,0.733
1892,20.732999999999997,0.99,20.726,0.865,20.849,0.8069999999999999,20.855999999999998,0.736
